title,author,uid,aid,play,coins,pts
超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,8KRAW_OFFICIAL,21151219,69241910,1921589,330202,6611258
【何同学】挺稳的 华为Mate 30 Pro深度体验,老师好我叫何同学,163637592,69358135,1833392,267874,2878429
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,1337604,145616,2669720
【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,BML制作指挥部,403748305,68736420,818665,77026,2039996
陪玩小姐姐竟然给我B站号盗了？【小潮国基网骗】,小潮院长,5970160,69226950,1074304,125803,1824801
【全明星rap】精舞门  进来嗨就完事了,倒悬的橘子,40966108,69044720,897943,82060,1755889
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,588188,72089,1729303
史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,Director鹤唳云端,22779089,66583807,313902,57361,1701172
用雪糕棍制作了一台造浪机,司马好奇,388560897,69173826,969235,102715,1649201
拥有VAN的声线是种什么体验,怪物彼岸花,11299160,69044503,1338533,49790,1576708
我是你爹,枪弹轨迹,515993,69045071,1275347,39671,1504953
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,1250644,22081,1445457
装X被疯狂打脸是种什么感受？这部穿越剧看得我尴尬症都犯了！,LexBurner,777536,69359661,1464468,75544,1412935
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,326257,69860,1411080
【震惊】我竟发现了歌曲《我和我的祖国》乐谱中不为人知的秘密,安念Lanny,30057852,69160134,1007606,46596,1405143
爹就是爹，儿就是儿,小龙哥co,351427067,55892248,893901,15147,1384826
被全球最富女歌手Rihanna邀请到私人派对是什么样的一个体验？,狠毒女孩Money,95494347,69052629,965383,67775,1374903
【党妹】首试黑皮！瓦尔基里VS雅典娜，选谁？罗马斗兽场/许愿池震撼实拍~咖啡拟人妆！,机智的党妹,466272,69512010,623851,93730,1325208
【敖厂长】2019年超辣眼垃圾游戏(PS4/STEAM),敖厂长,122879,69450863,1115778,82333,1268023
习近平跟袁隆平的悄悄话，被我听到了,广东共青团,330383888,69420853,1670574,43625,1262147
他们 死在了祖国胜利的前夜,噩梦Crazy,6711923,68180250,393146,50438,1246843
世界上BUG最多的搞笑游戏 每局3000个BUG,黑镖客梦回,10558098,69165109,1214264,33683,1229614
【云顶之弈】凌冬将至，极地亚索冻翻全场！,靠脸吃饭的徐大王,16794231,69226545,884614,78214,1218703
新中国密码：15665，611612！,共青团中央,20165629,69162538,755380,31209,1181883
只要思想不滑坡，办法总比困难多！,摇曳兔,36394728,69226764,1263078,6056,1139200
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,515190,14483,1130636
【游戏侦查冰】游戏公司为什么要上市,芒果冰OL,617285,69222967,545426,62108,1115095
罗汉鬼套路：揍亚索最狠套路 大B兜流石头人,罗汉解说,51896064,69024725,627496,57230,1108358
播音系师哥教你如何让“声音变得更加好听”，一学就会！一用就灵，不灵不要币！拒绝声卡战士！,高冷小姜,449825072,68876584,297587,18191,1076925
医学博士：如何做到每天合理睡眠？ I 如何解决一学习就困？,兔叭咯,7788379,68512912,563362,19402,1024073
尝试吃自助餐把老板吃破产！结果老板还送了我瓶红酒！,敬汉卿,9824766,69175123,1805286,35963,1007537
中国地图出来那一幕，我眼睛湿了,谁在深海的菠萝里,432858056,68856088,512221,24678,1006970
再来亿遍！吴京把哔哩哔哩说成呷哺呷哺？？——9.27《攀登者》主创见面会【bilibili观影团】,哔斯卡金像奖,32708626,69269057,2288464,6656,991925
“开口跪”哥又一首《知否知否》惊艳央视综艺，马来西亚凉凉哥显惊人反串音色！,凉凉哥邝珌万,473962743,68875967,999711,28430,989261
最强表白！【238位顶级摄影师献礼！4K“国家宣传片”《韵动中国2019》震撼来袭】,中国延时摄影联盟,458102256,69258653,234303,39703,971227
【石原里美】2分钟告诉你什么叫教科书级别的表情管理✔,颜值爆表啦,12855280,69285789,538061,11586,922917
【派大星】我李云龙什么诗词接不上？,浅初阳,328371739,69236782,479361,34279,914088
“终于找到我爸痴迷邓丽君的原因了……”,小爱大叔,345685773,68761865,688341,7262,913520
习近平为共和国勋章获得者颁授勋章,浙江共青团,384298638,69383130,840929,26900,900962
【野狼Disco】星爷真情演绎版~,终极大熊,24812187,69282629,413761,43997,895027
这可能就是外国人做不出来的文化吧 别眨眼 带你一秒沉沦这山水墨染的中国风,小x文,3079413,67522089,324199,25725,870742
这小姐姐一定是TVB的配音员吧，简直像的不要不要的~,小飞虫hhh,28830022,69017457,808791,8092,864483
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,294654,19152,856496
出于无聊，我统计了古代393位帝王的死因,无桥233,1760723,68992451,637587,13059,853964
负  能  酿,小明为啥不合法,269499025,69277938,624481,12942,853101
游戏史上最肉BOSS！18小时才打得死的怪什么样？,神秘店长A,295711424,69238512,1091367,19031,851446
见识什么叫大神级别的dubstep  bbox,YINJIEi,289847870,67095143,526771,7650,834120
又一个UP主要退出B站，去拍抖音视频赚钱！？,nG家的猫,39893537,67421911,425007,57594,833144
日本网友神作《消失吧痛经》，唱出了每个女孩子的心声啊啊啊！,不正经的日语卡片,291043358,69294193,285596,6648,823234
【C菌】八岁少女如何度过生命最后一天？《不幸小姐/Little Misfortune》实况连载,渗透之C君,4162287,69511380,229939,27748,819065
华农兄弟：山药带我们去摘野生猕猴桃，顺便摘了一点核桃,华农兄弟,250858633,69165560,1633079,22959,814352
当中国地图出来那一幕，我眼泪都出来了！真是太棒了,卧龙寺,258457966,68899174,498156,17496,804019
安倍晋三录视频祝新中国成立70周年 用中文问好,山东共青团,228832527,69143627,1256541,4637,791840
【是大腿TOP10】国庆特别篇：薪火传承！中国电竞风雨二十年,起小点是大腿,1565155,69406391,529663,50970,790631
试吃500一公斤的新西兰“深海鳌虾”，刺身中的极品真的好吃吗,翔翔大作战,196356191,69274857,1729729,17570,789674
爷爷每天孤独一人，中午只吃白面条，老人们的辛酸谁能懂？,正能量孙鼎,440547139,69241370,573810,80893,777690
【祢豆子】九九八十一,萌宠教主,23976014,67398437,233851,42807,776264
【派大星的独白】一个关于正常人的故事,洛温阿特金森,30222764,60731116,317852,25001,771913
【C座802】悲催小伙帮老板写杂志，没想老板提出这种过分要求，小伙欲哭无泪,正经C座802,434716461,69267863,435697,53375,768840
试吃鲜活牡丹虾！这辈子吃过最好吃的刺身！！太爱你了！！！,大祥哥来了,2920960,69099896,925617,36275,768627
【朱一旦】76 在街边被记者们围住，问我月薪多少,朱一旦的枯燥生活,437316738,69289400,1779892,12590,767950
《我是歌手》全七季最经典的现场LiveShow!（超清/高音质/个人收藏版）,狼探阿狗,205961300,68793164,268587,7230,767050
别让我泳装了,假的校花,138885741,69383572,845490,26951,759354
【定格动画】国产超流畅煎饼制作！,麻子蹲,47244488,69335074,391348,39065,755618
这喷嚏威力真大,猫耳乱乱,607588,69244833,712224,3914,748349
