title,author,uid,aid,play,coins,pts
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,4944766,640408,8767815
超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,8KRAW_OFFICIAL,21151219,69241910,1114414,214949,4291668
罗汉鬼套路：揍亚索最狠套路 大B兜流石头人,罗汉解说,51896064,69024725,2361079,301542,3836172
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,1263112,150504,3049965
总理，您听到了吗？飞机再也不用飞两遍了,共青团中央,20165629,68873605,3608804,125331,3025791
【耗时近千小时！每月电费上千！】新人自制攻壳机动队Title开场设计,_CiZY_,563095,68957107,1286856,197915,2974168
【全明星rap】野狼disco 最骚版本,倒悬的橘子,40966108,68740307,1570527,103661,2442598
播音系师哥教你如何让“声音变得更加好听”，一学就会！一用就灵，不灵不要币！拒绝声卡战士！,高冷小姜,449825072,68876584,631294,41395,2401344
被全球最富女歌手Rihanna邀请到私人派对是什么样的一个体验？,狠毒女孩Money,95494347,69052629,1791642,138978,2316112
那两个说中文的老外得知自己火了，高兴到说不出话！,信徒Shinja,798527,68643552,1886589,125370,2255454
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,2253959,40743,2200097
【何同学】挺稳的 华为Mate 30 Pro深度体验,老师好我叫何同学,163637592,69358135,1166779,197735,2185590
史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,Director鹤唳云端,22779089,66583807,426033,69158,2084945
他们 死在了祖国胜利的前夜,噩梦Crazy,6711923,68180250,776511,98486,2064988
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,878702,55584,1993236
博君一肖 | 年少有为·伪现实剧情向,_Lxuxuuuu,281227344,68758742,327131,51075,1881570
【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,BML制作指挥部,403748305,68736420,580154,66786,1669776
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,908080,22377,1653641
日语版《说好不哭》翻唱【鹿乃/花寄女生宿舍】,鹿乃ちゃん,316381099,68746541,657585,74181,1623118
我是你爹,枪弹轨迹,515993,69045071,1434165,43580,1603734
拥有VAN的声线是种什么体验,怪物彼岸花,11299160,69044503,1317977,51880,1568668
【党妹】vlog｜在飞机上洗澡！？全世界最豪华的阿联酋航空头等舱测评！,机智的党妹,466272,68944415,1493620,93001,1552306
陪玩小姐姐竟然给我B站号盗了？【小潮国基网骗】,小潮院长,5970160,69226950,895469,107757,1538190
【欣小萌】今天天气好，去天台蹦个迪,-欣小萌-,8366990,68815060,1903606,33971,1537416
王者荣耀真人硬核模仿合辑（一）,吃吧大小贰,208130286,68746222,835928,59755,1535766
用雪糕棍制作了一台造浪机,司马好奇,388560897,69173826,856892,91769,1516536
耗时178小时，戴上耳机！感受每一帧都踩点的视听盛宴！,卢本偽的师傅丶r,313724156,68365122,765700,42642,1478740
小伙挑战冰岛鲨鱼肉，这鲨鱼肉远远闻上去就比鲱鱼臭好几倍,敬汉卿,9824766,68759178,2419606,89270,1458669
世界上BUG最多的搞笑游戏 每局3000个BUG,黑镖客梦回,10558098,69165109,1389268,47006,1454265
【全网最清晰1080P】开国大典彩色修复完整版,浙江共青团,384298638,68508487,524376,49161,1440525
【派大星的独白】一个关于正常人的故事,洛温阿特金森,30222764,60731116,607590,51130,1416649
当中国地图出来那一幕，我眼泪都出来了！真是太棒了,卧龙寺,258457966,68899174,1133168,32973,1380952
爹就是爹，儿就是儿,小龙哥co,351427067,55892248,780058,14109,1348062
医学博士：如何做到每天合理睡眠？ I 如何解决一学习就困？,兔叭咯,7788379,68512912,772246,29991,1318325
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,380752,62327,1314907
“终于找到我爸痴迷邓丽君的原因了……”,小爱大叔,345685773,68761865,1320233,10516,1314339
邓丽君的皮是真的皮,热视频,22706176,68638951,975286,10965,1302702
你也想起舞吗？前方有毒！万恶之源与名场面舞蹈，要素过多，抖就完事了。,沉默的xiaoK,400528713,68801267,753587,40747,1283712
Van要来中国了！,神秘的白小黑,54759887,68722610,1429861,11854,1275665
华农兄弟：抓6只竹鼠去王刚跟山药家玩，尝一下他们烤竹鼠的厨艺,华农兄弟,250858633,68974878,2379513,67558,1268354
电影《我和我的祖国》预告片1080P完整版-不分集，七个故事，完整15分钟,Qdeig,131140476,68412044,1043364,19841,1237342
[JK]教练我想穿制服！[不同厚度袜子对比]西式&水手服的夏秋换季LOOKBOOK,爆喵Nyaboom,1517430,68756043,573128,20267,1229573
电影最TOP 134:《哈利•波特》全系列解读（下）,电影最TOP,17819768,68940008,761365,85339,1229561
【震惊】我竟发现了歌曲《我和我的祖国》乐谱中不为人知的秘密,安念Lanny,30057852,69160134,806193,41085,1228215
试吃鲜活牡丹虾！这辈子吃过最好吃的刺身！！太爱你了！！！,大祥哥来了,2920960,69099896,1686204,90153,1223793
【妻管严鬼混】对不起老婆，我昨晚又出去鬼混了！,约谈人参,9117212,68864754,535214,31942,1221454
【博君一肖】9.21泰国见面会最全糖点集合 || 细节分析+显微镜 || 禁搬运,栀子绾绾,3696915,68565720,433535,12556,1210677
请问up，这个三个UP主并排站着的是啥番？【阅片无数15】,凉风Kaze,14110780,68932916,869580,69182,1201494
飞机坠毁！与老坛孤岛求生！！,徐大虾咯,13354765,68853698,1006364,54685,1146179
东北第一狠人孙红雷领衔极限男人帮版《野狼disco》，什么水平？,董润祺,10977842,66892552,1089646,28614,1140605
这小姐姐一定是TVB的配音员吧，简直像的不要不要的~,小飞虫hhh,28830022,69017457,1236360,11702,1104543
装X被疯狂打脸是种什么感受？这部穿越剧看得我尴尬症都犯了！,LexBurner,777536,69359661,978706,57744,1086573
消除斜方肌！背越练越薄，还你少女体态！,海洋饼干Sophie,291945385,68853699,187740,5916,1071628
【朱一旦】71 每年的这一天，都会变身潮男，祭奠爱情,朱一旦的枯燥生活,437316738,68615520,1638409,38916,1059074
【小仙若】I'm So Hot❤,一只小仙若,16539048,69151682,827814,12410,1057497
【云顶之弈】凌冬将至，极地亚索冻翻全场！,靠脸吃饭的徐大王,16794231,69226545,676077,64760,1037328
【火影忍者全集/AMV】血与泪丨史上超长超燃震撼混剪,少帅放肆的我,47392469,68520813,296659,43729,1009703
网易云看到的这个神级MV简直震撼到了歌曲名Cymatics,骑猪专业户,181051265,54819056,393884,10332,1005333
假如游戏进高考：好好学习走位，不要攀比装备！,papi酱,1532165,68726964,1359436,31348,986361
【游戏侦查冰】游戏公司为什么要上市,芒果冰OL,617285,69222967,461545,56045,985719
