title,author,uid,aid,play,coins,pts
超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,8KRAW_OFFICIAL,21151219,69241910,807175,115253,2752118
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,529280,65532,1362049
【党妹】首试黑皮！瓦尔基里VS雅典娜，选谁？罗马斗兽场/许愿池震撼实拍~咖啡拟人妆！,机智的党妹,466272,69512010,623851,93730,1325208
【敖厂长】2019年超辣眼垃圾游戏(PS4/STEAM),敖厂长,122879,69450863,1115778,82333,1268023
习近平跟袁隆平的悄悄话，被我听到了,广东共青团,330383888,69420853,1642687,42979,1249630
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,232362,53354,1056370
【何同学】挺稳的 华为Mate 30 Pro深度体验,老师好我叫何同学,163637592,69358135,666613,70139,1052907
【C菌】八岁少女如何度过生命最后一天？《不幸小姐/Little Misfortune》实况连载,渗透之C君,4162287,69511380,229939,27748,819065
他们 死在了祖国胜利的前夜,噩梦Crazy,6711923,68180250,214996,29223,756183
史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,Director鹤唳云端,22779089,66583807,138517,23743,754593
【定格动画】国产超流畅煎饼制作！,麻子蹲,47244488,69335074,390654,38980,754126
【全明星rap】精舞门  进来嗨就完事了,倒悬的橘子,40966108,69044720,301112,24679,711577
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,476347,8727,701995
电视剧《中华大当家》——京城料理对决篇,泽野螳螂,398510,69342487,228602,41777,681039
华农兄弟：帮摄影小哥把板栗摘回去，顺便把南瓜也全部摘回去,华农兄弟,250858633,69408894,1068473,13505,680172
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,190722,24274,663132
把可口可乐咖啡+放到加湿器里面完全可以兴奋肝一晚上？,敬汉卿,9824766,69506429,965005,16769,661422
【石原里美】2分钟告诉你什么叫教科书级别的表情管理✔,颜值爆表啦,12855280,69285789,329086,7151,601844
奶爆新番！十月最值得期待的10部动画！最后一部竟然看哭up主！,泛式,63231,69502562,339120,23128,598897
总理，您听到了吗？飞机再也不用飞两遍了,共青团中央,20165629,68873605,377493,11478,597551
习近平为共和国勋章获得者颁授勋章,浙江共青团,384298638,69383130,462897,15450,582315
装X被疯狂打脸是种什么感受？这部穿越剧看得我尴尬症都犯了！,LexBurner,777536,69359661,485762,17800,546326
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,217418,6697,535361
拥有VAN的声线是种什么体验,怪物彼岸花,11299160,69044503,335652,11258,529787
【明日方舟】《野驴disco》魔鬼填词&沙雕演唱！每天两遍，六星道歉！,渊渊の奇妙冒险,440454918,69353091,124010,21944,525533
负  能  酿,小明为啥不合法,269499025,69277938,350873,7415,523517
【沙雕动画】当今社会的噪音问题,5MB,20865160,69381532,391433,13902,505841
大sao吃重庆火锅，鸭肠当面条吃，四人份配手擀面，肚子吃大一圈,徐大sao,390461123,69403472,564343,15706,497122
四伯买了一套牛鞭，王刚做成香辣味型的家常菜，四伯说味道好极了,美食作家王刚R,290526283,69486779,601102,2946,490238
日本网友神作《消失吧痛经》，唱出了每个女孩子的心声啊啊啊！,不正经的日语卡片,291043358,69294193,164803,3840,489850
为庆祝我百万粉丝，亲戚盖了栋上百万的房子给我，硬核庆祝,在下哲别,416128940,69515864,304992,26094,485444
【150骑英灵】史上最宏大的FATE系列！不要眨眼！你根本不知道fgo可以有多帅！命运冠位指定三周年纪念!,戦場ヶ原様,32172331,68753677,133745,15879,483293
【朱一旦】77 致富有道，别学小暴，破产之日，虽迟旦到,朱一旦的枯燥生活,437316738,69400725,634000,3108,474895
见识什么叫大神级别的dubstep  bbox,YINJIEi,289847870,67095143,259656,4655,472487
别让我泳装了,假的校花,138885741,69383572,477991,12103,472447
放假了，少女独自在家跳羊驼舞！！【欣小萌】,-欣小萌-,8366990,69427114,406186,6710,468207
报告老师，这有位同学蹭课还睡觉,风度翩翩的猪肉佬e,399389665,69381527,430926,10990,466913
只要思想不滑坡，办法总比困难多！,摇曳兔,36394728,69226764,363191,2074,465256
我是你爹,枪弹轨迹,515993,69045071,270833,9066,464967
【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,BML制作指挥部,403748305,68736420,238511,10240,462017
炉石传说：【天天素材库】 第164期,天天卡牌,10462362,69469160,533165,6073,448526
你再跟我说一遍猫是液体？？？,喵来啦_,33918431,69374346,311686,12049,439621
一个会“握草”的视频,朵颜彡煜伟,282651510,69205620,585229,156,429255
【野狼Disco】星爷真情演绎版~,终极大熊,24812187,69282629,190571,21131,428753
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,129614,8977,418593
【是大腿TOP10】国庆特别篇：薪火传承！中国电竞风雨二十年,起小点是大腿,1565155,69406391,290883,24293,418073
【派大星】我李云龙什么诗词接不上？,浅初阳,328371739,69236782,207820,13398,417395
平时朴素的我化一个欧美黑皮妆去见同学逛超市是个什么体验！,假美食po主,26139491,69448115,297071,23175,411107
iPhone 11 上手评测 | 爱否出品,爱否科技FView,7458285,69443831,203414,25445,401664
我觉得大众是不是放弃竞争了？,卧龙寺,258457966,69442993,447339,407,394732
【首映影评】攀登者：拍的烂！但吴京真的不背锅！,轩邈Elias,3386870,69334247,455566,2863,393200
