title,author,uid,aid,play,coins,pts
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,5474046,705940,9786730
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,2262960,545907,8861953
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,8893027,165434,7741618
【某幻/老番茄】最强脱发王,老番茄,546195,67439251,4026769,462773,7306517
百万粉up创作激励能有多少? 兑现承诺一次花掉！！!,罗汉解说,51896064,67099564,2291977,804978,7265047
【派大星的独白】一个关于正常人的故事,洛温阿特金森,30222764,60731116,3372061,306482,6683753
超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,8KRAW_OFFICIAL,21151219,69241910,1921589,330202,6611258
【何同学】一看就懂！用水讲明白为什么5G更快,老师好我叫何同学,163637592,66210564,3707045,642137,6571602
老板：这个瓜请给我削成一般人吃不起的样子！,三毛水果艺术,352248648,66615043,5051493,722464,5679406
不整容！科学改善凸嘴下巴后缩 瘦双下巴 告别土气脸，养成侧颜杀,文不叮,450595813,67996432,1486711,64477,5382698
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,3545486,83496,5377706
【全明星】芒种,潮汕好男人,19071708,65408651,4348380,227256,5285475
【华农兄弟】一烤竹鼠我就口水直流【芒种】,还有一天就放假了,7792521,66240119,3134397,322760,5042931
【卢本伟主演】头号玩家！第二集：卢本伟身陷九九八十一难，能否通关？,哦呼w,59905809,67530671,2636857,363366,4938399
【高清彩色】开国大典,共青团中央,20165629,68516710,2335079,277774,4793840
俩老外在中国服务器里疯狂飙中文！甚至还互相教学？,信徒Shinja,798527,67591920,3363007,215416,4736608
【咬人猫X露露】今天不上班！跳猛男版！新 宝 岛！,=咬人猫=,116683,67456873,6087631,147479,4501696
我被抖音网红抄袭，但是我却把视频删了,杰克辣条,346342151,66285422,3437565,517100,4223522
东北第一狠人孙红雷领衔极限男人帮版《野狼disco》，什么水平？,董润祺,10977842,66892552,5242793,175554,4172889
耗时178小时，戴上耳机！感受每一帧都踩点的视听盛宴！,卢本偽的师傅丶r,313724156,68365122,2156972,169031,4099100
信誓蛋蛋的道歉,信誓蛋蛋,32786875,68039778,5514460,359071,3939995
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,1896420,121779,3879241
知乎8万点赞！堪比人生外挂！教你厚黑心理技巧,阿里巴巴与四十只鸡,32426640,68216174,1483060,68497,3833734
大悲咒 (高音质悦耳版) (珍藏精选版),卧龙寺,258457966,63812725,1402457,62402,3795211
【蔡徐坤】芒种,高三泡,40214206,65790846,3252071,125406,3723016
【鬼灭/全程踩点/燃】这一击赌上现在的我，献出我的一切！,一把西瓜,22908352,65423285,1272100,170848,3616355
油管看到的这个神级A.M.V简直被震撼到了歌曲名Lose Control,安吾の万年筆,400332033,65139385,1015507,63439,3605422
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,1453834,174778,3569021
我花了五十万盖了一所希望小学！我有史以来最贵的视频！,敬汉卿,9824766,65684153,2113528,483859,3549531
