title,author,uid,aid,play,coins,pts
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,588188,72089,1729303
拥有VAN的声线是种什么体验,怪物彼岸花,11299160,69044503,1338533,49790,1576708
装X被疯狂打脸是种什么感受？这部穿越剧看得我尴尬症都犯了！,LexBurner,777536,69359661,1464468,75544,1412935
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,294654,19152,856496
【祢豆子】九九八十一,萌宠教主,23976014,67398437,233851,42807,776264
【定格动画】国产超流畅煎饼制作！,麻子蹲,47244488,69335074,391348,39065,755618
【耗时近千小时！每月电费上千！】新人自制攻壳机动队Title开场设计,_CiZY_,563095,68957107,299202,33776,739479
【数码宝贝20周年最后的进化】在无限延伸的梦想后面——当年渴望冒险的热情，但是看着曾经热爱至极的他们，似乎就能看见曾经的自己,猪崽或许,33937546,69104853,392063,25151,658649
【鬼灭之刃】我妻善逸的千层套路,公子名冉,430761276,69143474,230240,24644,646994
【互动视频】你是一个很污的人吗,默默向晚晴,12005592,69188072,343741,18734,625236
奶爆新番！十月最值得期待的10部动画！最后一部竟然看哭up主！,泛式,63231,69502562,339120,23128,598897
前方高能！这TM才是踩点，来自鬼灭之刃的视觉盛宴，看好你的三连！！戴好你的耳机！！！,程情写意,302548901,69210631,167038,23853,557642
B站各等级用户之间的“核平”日常,黎明の妖精,5806516,67644173,309591,43717,557360
【150骑英灵】史上最宏大的FATE系列！不要眨眼！你根本不知道fgo可以有多帅！命运冠位指定三周年纪念!,戦場ヶ原様,32172331,68753677,148387,18813,548609
时隔35年，黑猫警长竟然更新了？,wuhu动画人空间,59550906,69199947,364478,6127,532470
鬼灭之刃配上经典广告,白玉楼夜枫冥,40046391,67544353,265901,23870,518217
【沙雕动画】当今社会的噪音问题,5MB,20865160,69381532,391593,13908,505973
当我拔剑的那一刻，全世界都将为之颤抖！！！,银发の半精灵,5687194,59936588,229680,11673,492790
【猫和老鼠】强忍着泪水打出——真实,布谷鸟不咕不咕叫,32096373,69140521,333274,12433,481917
【定格动画】童年回忆大乱斗！,神奇的老皮,3380239,69230639,280764,23387,477202
封 号 岛,空耳狂魔,3127528,69092717,276609,9191,449418
【天龙八部】片头惨遭动画化 神还原,有超超,10380815,69313848,288120,18061,433080
油管看到的这个神级A.M.V简直被震撼到了歌曲名Lose Control,安吾の万年筆,400332033,65139385,140757,6230,417446
【八尾人柱力章鱼哥VS佐助】1000张手绘，来看看艺术家的表演吧！,奥一二,38454540,69170014,155533,20411,412295
一人成军，突破作画华丽极限——原画师阿部望作画MAD,AnimeTamashii,11357018,69215178,173072,11149,398235
【国漫中国编年史】国漫齐聚贺华诞，你认出了几部？数风流人物，还看今朝！,共青团中央,20165629,68934728,134848,13661,391551
神仙下凡！b站搞的大型漫展竟然请到了这些神仙！,凉风Kaze,14110780,69148568,394388,4295,386929
怪盗基德——魔术师还是欺诈者？《Hustler》,洛丹,873181,69014578,82532,7676,353934
【火影忍者全集/AMV】血与泪丨史上超长超燃震撼混剪,少帅放肆的我,47392469,68520813,92073,12723,350015
