title,author,uid,aid,play,coins,pts
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,1263112,150504,3049965
【耗时近千小时！每月电费上千！】新人自制攻壳机动队Title开场设计,_CiZY_,563095,68957107,1286856,197915,2974168
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,878702,55584,1993236
拥有VAN的声线是种什么体验,怪物彼岸花,11299160,69044503,1317977,51880,1568668
请问up，这个三个UP主并排站着的是啥番？【阅片无数15】,凉风Kaze,14110780,68932916,869580,69182,1201494
装X被疯狂打脸是种什么感受？这部穿越剧看得我尴尬症都犯了！,LexBurner,777536,69359661,978706,57744,1086573
【国漫中国编年史】国漫齐聚贺华诞，你认出了几部？数风流人物，还看今朝！,共青团中央,20165629,68934728,420033,47517,1075359
【火影忍者全集/AMV】血与泪丨史上超长超燃震撼混剪,少帅放肆的我,47392469,68520813,296659,43729,1009703
每天一遍，沙雕无限！,科学超电磁炮F,1939319,68750110,560568,33540,955910
钢铁侠差点被美队打死！漫威从来不敢拍的《内战》原著,努力的Lorre,7487399,68928864,688850,40207,865913
当我拔剑的那一刻，全世界都将为之颤抖！！！,银发の半精灵,5687194,59936588,434008,22206,851334
【祢豆子】九九八十一,萌宠教主,23976014,67398437,256605,44221,809323
【这一刻】鬼滅之刃【MAD】,しょー5,374235594,66169281,220040,37089,739605
铅与铅寻,阿幕降临,38351330,68964347,856376,18288,730373
有意思……看我七十二变！,wuhu动画人空间,59550906,68797578,480779,7850,706735
封 号 岛,空耳狂魔,3127528,69092717,385659,13521,648680
柯南收视率最高的一集，日本宅男真够疯狂的！,动漫星纪元,318052659,68373369,847497,1359,608892
前方猛男高能！！据说无人能坚持50秒。,酱一QvQ,71152325,67958886,206540,15639,579447
我连一秒都没有拥有过她，却感觉失去过她千万次。,永远的我的鸟笼Me,10773628,51172625,258380,14803,574874
这是真的nb,酱小仙呐丶,409674976,67754574,338183,3595,572693
火影20周年骚操作不断，博人实力堪比六道！？新剧情太下饭了！,中二少年晓凯,2733216,68865764,412024,17808,548957
前方高能！！感受欧拉拳的威力,-柠萌菌-,124735327,66594045,280169,13948,538976
油管看到的这个神级A.M.V简直被震撼到了歌曲名Lose Control,安吾の万年筆,400332033,65139385,206160,7520,537209
8分钟配音模仿100人动漫角色,冰柳山君Zy,415834889,67046409,211981,25648,513647
【火影人物志51】人见人爱的风之公主，手鞠  夫妻智商约等于木叶砂隐之和,四季萌芽,10040906,68922334,377750,19077,505079
bilibili大危机，黑暗势力降临B站！！！,黎明の妖精,5806516,68997253,233323,31624,500466
【鬼灭之刃】我妻善逸的千层套路,公子名冉,430761276,69143474,176819,19389,492803
我终将青春还给了她，连同指尖弹出的盛夏,葉月Mashiro灬,7435683,68482578,161740,17300,489012
【鬼灭/全程踩点/燃】这一击赌上现在的我，献出我的一切！,一把西瓜,22908352,65423285,178979,18027,486078
【鬼灭之刃/最後の呼吸】水天翻卷，流刃若火，刀光剑影，雷霆万钧.,Gin丶濑良,12478113,68451623,225801,17660,484023
【数码宝贝20周年最后的进化】在无限延伸的梦想后面——当年渴望冒险的热情，但是看着曾经热爱至极的他们，似乎就能看见曾经的自己,猪崽或许,33937546,69104853,277670,16908,466546
鬼灭之刃配上经典广告,白玉楼夜枫冥,40046391,67544353,231174,19330,464162
前方高能！负能量盛宴！感受1分15秒后积攒的极致负能量的一秒燃爆吧！,冲仓丶,6591474,68253037,131607,12860,453482
【up主战争09】史上最沙雕动画！9.0回来了！,艾尔十六,3211302,68953792,219663,16035,448117
把B站万恶之源的舞蹈片段汇聚在一起！祝B站越来越社会！干杯十周年，我已经嗨到不行！,AD钙爷,3276164,57112977,196504,12720,445577
每日亿遍！来自老婆们的甜蜜暴击，请自带血包,程情写意,302548901,66892908,126258,11405,437723
【你毁了我世界的唯一，我就毁了你唯一的世界】皮卡丘哭的那个瞬间，全世界都输了,ls炟,53388052,67342879,281956,5060,437216
前方高能！让世界感受这场视觉盛宴吧！,烟季,15377173,50331935,210220,9392,432487
前方高萌！可能本视频无人能坚持60s...,青酱呐,368912467,66914182,205742,8173,425951
【定格动画】童年回忆大乱斗！,神奇的老皮,3380239,69230639,235363,20211,416402
【互动视频】你是一个很污的人吗,默默向晚晴,12005592,69188072,213066,11459,412462
怪盗基德——魔术师还是欺诈者？《Hustler》,洛丹,873181,69014578,92141,8542,397337
马上就放假了，我真是high到不行啦！【JOJO名梗集#7】,酒客小丑,7596516,68838250,226308,12506,387848
派大星经典名言:)   我觉得这个机会可以改变我的生活,哼哼已哼哼,14256618,59721985,205986,4039,384443
就算是姐姐你也喜欢吗？她喜欢你！还告诉你全班女同学~,py86-,392518574,67298214,289535,8087,375028
【快新】怪盗基德的千层套路,死罗神的小饼干,372796088,68645616,81791,6514,372753
AniOne丨你想死一次吗？今晚就试试看吧：佛光大学毕设《将来的那一刻》,动画学术趴,97471052,68276543,189954,3267,368330
庆贺吧！假面骑士woz来啦~本尊表情包如何接招？专访渡边圭祐·下【和饭情报局】,和饭情报局JFan,402602276,68754095,251331,6301,367914
【中字.迪士尼反派系列2】后妈们的抱怨,D2KMON_柠檬,8566496,55210171,176928,3609,363029
【互动视频】假如你是绿谷出久（我的英雄学院）,无耳老宅,19308863,67920085,107397,11754,362666
【猫和老鼠】强忍着泪水打出——真实,布谷鸟不咕不咕叫,32096373,69140521,250462,9290,358895
她哭的那个瞬间 全世界都输了,鬼才才才,4870926,39425207,137635,10360,358189
【八尾人柱力章鱼哥VS佐助】1000张手绘，来看看艺术家的表演吧！,奥一二,38454540,69170014,128710,17834,351256
【高燃极限踩点】集中一击 登峰造极！,beform,49558070,66780458,91756,12114,346117
【转载】国外小哥假面骑士变身失败全集锦,AE_游戏宅,391048732,68739876,198300,2913,334778
【掌】边怀旧《火影忍者疾风传》经典回顾第八十期-鸣人&佐助 VS 辉夜,小阿掌,883724,69015882,150125,18957,334591
【黑执事/帅燃踩点】杀了我，你也摆脱不了我 （塞啵-片尾彩蛋）,噗噗嘟噜,4198472,66788962,77976,8251,325045
大师级动画甩当今动画几十条街 真时代的眼泪 80s精美机械作画 蒸汽波混剪,时空蒸汽计划,3014435,68978955,176805,2790,324138
