title,author,uid,aid,play,coins,pts
【定格动画】国产超流畅煎饼制作！,麻子蹲,47244488,69335074,390654,38980,754126
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,190722,24274,663132
奶爆新番！十月最值得期待的10部动画！最后一部竟然看哭up主！,泛式,63231,69502562,339120,23128,598897
装X被疯狂打脸是种什么感受？这部穿越剧看得我尴尬症都犯了！,LexBurner,777536,69359661,485762,17800,546326
拥有VAN的声线是种什么体验,怪物彼岸花,11299160,69044503,335652,11258,529787
【沙雕动画】当今社会的噪音问题,5MB,20865160,69381532,391433,13902,505841
【150骑英灵】史上最宏大的FATE系列！不要眨眼！你根本不知道fgo可以有多帅！命运冠位指定三周年纪念!,戦場ヶ原様,32172331,68753677,133745,15879,483293
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,129614,8977,418593
前方高能！这TM才是踩点，来自鬼灭之刃的视觉盛宴，看好你的三连！！戴好你的耳机！！！,程情写意,302548901,69210631,96609,13470,328248
【祢豆子】九九八十一,萌宠教主,23976014,67398437,82482,14873,279340
B站各等级用户之间的“核平”日常,黎明の妖精,5806516,67644173,144757,20749,264962
『他』又来了，jojo【真人】不笑我打你！！,热ゾ风,255943325,69448922,139336,3378,259116
油管看到的这个神级A.M.V简直被震撼到了歌曲名Lose Control,安吾の万年筆,400332033,65139385,77649,3804,248399
【互动视频】你是一个很污的人吗,默默向晚晴,12005592,69188072,130675,7275,247644
【耗时近千小时！每月电费上千！】新人自制攻壳机动队Title开场设计,_CiZY_,563095,68957107,92563,9047,240777
【数码宝贝20周年最后的进化】在无限延伸的梦想后面——当年渴望冒险的热情，但是看着曾经热爱至极的他们，似乎就能看见曾经的自己,猪崽或许,33937546,69104853,114498,8251,233581
鬼灭之刃配上经典广告,白玉楼夜枫冥,40046391,67544353,103826,9837,223571
【战地5】沙雕动画Part3-自制小动画,如风一般飘过,4315290,69513353,66122,14641,207806
【鬼灭之刃】我妻善逸的千层套路,公子名冉,430761276,69143474,73065,7256,206854
论颜值，谁敢比，章鱼哥，必第一！【文盲文】,丰兄来了,1918296,69503680,129392,6387,201854
当我拔剑的那一刻，全世界都将为之颤抖！！！,银发の半精灵,5687194,59936588,84536,4155,187505
【鬼灭之刃】无限列车篇电影化上映决定，最具人格魅力的炎柱炼狱杏寿郎,雪和风,432230,69404136,164437,2675,179729
一人成军，突破作画华丽极限——原画师阿部望作画MAD,AnimeTamashii,11357018,69215178,82804,3881,168909
逝者的丰碑，生者的赞歌。京都动画137位制作成员全员寄语【part.1】,赫萝老师,1351379,69509453,36430,9914,167276
我的萝莎莉娅和莉莉娅居然性格互换了！？,多多poi丶,11253297,69385769,75615,5756,164789
【火影忍者全集/AMV】血与泪丨史上超长超燃震撼混剪,少帅放肆的我,47392469,68520813,40021,5749,160750
【国漫中国编年史】国漫齐聚贺华诞，你认出了几部？数风流人物，还看今朝！,共青团中央,20165629,68934728,52706,4969,158363
怪盗基德——魔术师还是欺诈者？《Hustler》,洛丹,873181,69014578,32015,3146,145792
【果娘风暴】漫画般的假面骑士你见过没？又见骑士父子局？！ S3/03,果蝇轰,8469526,69501591,85870,4400,143860
【动画原画笔记】那些逐渐放飞自我的原画,是帅气的桃子啊,143782636,69290359,44687,1966,142666
【猫和老鼠】强忍着泪水打出——真实,布谷鸟不咕不咕叫,32096373,69140521,85377,3298,137060
【天龙八部】片头惨遭动画化 神还原,有超超,10380815,69313848,90395,4944,136039
【你毁了我世界的唯一，我就毁了你唯一的世界】皮卡丘哭的那个瞬间，全世界都输了,ls炟,53388052,67342879,75304,1580,136033
【明日方舟动画】为了龙门币而直面整合运动的博士（要素略多注意）,越with霓虹鸡,15161351,69487725,29047,5400,133604
时隔35年，黑猫警长竟然更新了？,wuhu动画人空间,59550906,69199947,87792,1353,130011
【鬼灭/全程踩点/燃】这一击赌上现在的我，献出我的一切！,一把西瓜,22908352,65423285,42947,4571,128710
【漫画屋】史上最骚逆转套路？反派被气得吐血！欺诈游戏#11,尕丶天堂,216025,69334770,50695,6291,125447
海哥外传 危险坦克build登场,不知道取啥名字的莹炎,178785339,69476880,112085,69,123022
【柔体·布料·次时代】一花依世界·杏辞洛天依,彧弟,5529175,68165377,28177,1939,114490
你站哪一边？浅谈网络世界的PK话题,瓶子君152,730732,69511472,80524,1716,109878
鬼灭之刃完结纪念！恶鬼侵袭，与共昕夕。,暗猫の祝福,888465,69394190,42267,4063,108433
【明日方舟手书】拉普兰德想吃泡面,一般通过宫水灵叶,3972505,69227898,42326,2509,105108
我连一秒都没有拥有过她，却感觉失去过她千万次。,永远的我的鸟笼Me,10773628,51172625,43373,2479,104649
【这一刻】鬼滅之刃【MAD】,しょー5,374235594,66169281,24627,4912,103050
当博人被浦式掐住那一刻，全场都沸腾了！！！,彬子JIANG,385553422,69151987,96695,250,101367
衣带渐宽终不悔，今天封面没有腿,再肝剁手,23513862,69464839,19251,1540,101226
前方高能！！大型亲吻现场（合集）,-柠萌菌-,124735327,66459827,41223,1756,101083
红爹外传变身战斗必杀片段,王君钥,305025957,69235662,94440,45,95360
用5部JOJOop做成一个超级炫酷的op！,狐哥鸽,339756169,69049094,28245,3287,94531
【MHA/胜出胜手书】幽界【full.ver】【背后灵paro】,Nakazawaゆき,517802,69262127,16092,2037,94449
你知道多少？小时候看过却想不起名字的那些动画！【阅片无数特别篇】,凉风Kaze,14110780,67600338,64610,1495,91676
太宰治73秒心动挑战‖你见过这么帅的哒宰吗？【文豪野犬/拉镜练习/太宰治/个人向/舔颜向】,酒槡_,21329138,68183563,17676,1262,91001
