title,author,uid,aid,play,coins,pts
压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我,在下蕾姆有何贵干,8055928,68364792,1896420,121779,3879241
【鬼灭/全程踩点/燃】这一击赌上现在的我，献出我的一切！,一把西瓜,22908352,65423285,1272100,170848,3616355
油管看到的这个神级A.M.V简直被震撼到了歌曲名Lose Control,安吾の万年筆,400332033,65139385,1015507,63439,3605422
史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！,KILLER伍六七,43830802,68940226,1453834,174778,3569021
【祢豆子】九九八十一,萌宠教主,23976014,67398437,1178158,199610,3302521
你能攻略女主选出正确结局吗？【万字互动视频】,木糖纯和庄不纯,20530305,68060422,1067427,170551,3210696
【耗时近千小时！每月电费上千！】新人自制攻壳机动队Title开场设计,_CiZY_,563095,68957107,1379419,206962,3142292
前方高萌！可能本视频无人能坚持60s...,青酱呐,368912467,66914182,1866452,60030,2768902
前方高能！！感受欧拉拳的威力,-柠萌菌-,124735327,66594045,1886473,78173,2572016
当我拔剑的那一刻，全世界都将为之颤抖！！！,银发の半精灵,5687194,59936588,1656857,79643,2561685
我连一秒都没有拥有过她，却感觉失去过她千万次。,永远的我的鸟笼Me,10773628,51172625,1301390,77558,2515650
8分钟配音模仿100人动漫角色,冰柳山君Zy,415834889,67046409,970847,121464,2026214
鬼灭之刃配上经典广告,白玉楼夜枫冥,40046391,67544353,1198716,110132,1973540
【互动视频】假如你是绿谷出久（我的英雄学院）,无耳老宅,19308863,67920085,524204,74477,1969154
每当感到生活的不易，就点进来看看吧,落幕繁多,291006124,66118199,728761,79442,1898917
【灯泡动画】熊孩子不听话，打一拳就好了,大大大灯泡,4128618,67523228,794447,107367,1891747
【进击的巨人】全网最详细的主线剧情梳理和真相解析，你要的全在这里！（没有之一）,光影笔墨,269319344,66370938,926103,70955,1877816
拥有VAN的声线是种什么体验,怪物彼岸花,11299160,69044503,1653629,63138,1851492
把B站万恶之源的舞蹈片段汇聚在一起！祝B站越来越社会！干杯十周年，我已经嗨到不行！,AD钙爷,3276164,57112977,891477,62567,1846052
【中字.迪士尼反派系列2】后妈们的抱怨,D2KMON_柠檬,8566496,55210171,973195,21768,1809061
「鬼灭之刃」温柔到让人哭泣的心——心碎者的柔歌,reAct木子,903988,66663846,451189,91592,1804938
B站各等级用户之间的“核平”日常,黎明の妖精,5806516,67644173,1344253,180136,1794790
你知道多少？小时候看过却想不起名字的那些动画！【阅片无数特别篇】,凉风Kaze,14110780,67600338,1734833,76305,1745147
她哭的那个瞬间 全世界都输了,鬼才才才,4870926,39425207,662015,53279,1636334
【爆肝手书 方舟X男高】350张原画还原银老板女装过程,我会灰啊灰,394187,66454164,428879,107943,1622280
前方高能！！！up逼着我卖萌,冰糖凌,6974344,66079563,769591,29942,1616528
【黑执事/帅燃踩点】杀了我，你也摆脱不了我 （塞啵-片尾彩蛋）,噗噗嘟噜,4198472,66788962,367015,42606,1610949
前方高能！让世界感受这场视觉盛宴吧！,烟季,15377173,50331935,913402,40976,1592513
【合作动画】靴の花火,沙雅Shaya,2254155,68238293,630939,43950,1587964
【高燃极限踩点】集中一击 登峰造极！,beform,49558070,66780458,394177,57716,1574284
【你的名字】鲲鲲与乔碧萝的爱情故事,机巧绅士不会受伤w,8918982,64716928,1357046,33630,1569212
为什么要去ACG化？网红经济为何能击败内容市场成为时代新宠【网络视频发展史02】,低调的帅爷,3481012,67772590,451473,90248,1565604
【喜羊羊与灰太狼手书】喜灰的病名为爱[冲破黑暗的破晓，是彼此的光。B站最甜病名为爱！年下攻，大叔受],V繁花落幕,1648903,64801156,338308,44867,1560547
就算是姐姐你也喜欢吗？她喜欢你！还告诉你全班女同学~,py86-,392518574,67298214,1829955,48356,1551170
莫得感情的小红花,阿幕降临,38351330,66828850,1311952,76000,1534403
【火影人物史】宇智波鼬为何封神？岸本笔下的完美忍者！,长腿毛的哥哥,13043933,66425929,753661,88446,1524309
