title,author,uid,aid,play,coins,pts
这可能就是外国人做不出来的文化吧 别眨眼 带你一秒沉沦这山水墨染的中国风,小x文,3079413,67522089,324199,25725,870742
前方剧毒！进来就出不去啦！！！每日亿遍，快乐无上限！,纸鸢_Somnium,81174791,67246642,153905,2700,215797
电 音 喜 羊 羊,异次元臭豆腐,23371320,68309369,72366,5827,185809
《灵笼》第七集！马克拯救冉冰 结果却遭遇黑化！,萌虎菌,11726396,68980736,169996,2328,183289
这部国漫为何被观众狂喷？童年经典被滥意改编！泡面番究竟哪些值得一看！【国漫槽推荐11】,奇思Cheers,18775476,68972036,138492,731,147835
从投资3000到票房3亿，罗小黑终成黑马！水准究竟如何？,无毒放心奶,382595439,69190279,106522,2393,139101
先烈们，今天的盛世您看到了吗？祖国70岁了【滑稽漫谈第10期】,滑稽中二梦,5689319,69332500,43067,7125,126481
一首超火的是风动碰上这十部动漫的美人，能够炸出你多少老婆,差点上北大,305169305,69062289,86297,751,125718
【罗小黑战记】玄离？阿根？你究竟有没有弄明白这两个人之间到底是什么关系？,牛排_steak,2018988,68681263,47208,3560,110895
希望之星？言过其实？这部动画究竟有何亮点让观众充满期待？灵笼细节大解析4：影视语言篇,Muc虚空之翼,14546601,69127591,49575,4156,98055
国产漫画《怦然心动》抄袭多部知名漫画，现在居然还要动画化！,微风の习习,23122199,68601567,71627,752,92531
灰太狼：我颠覆了整个世界，只为换你一次回眸,你妹西天取金,324739085,45973690,41624,1978,91265
这些国漫美女美到极致，少年英雄难过美人关！国漫女王盘点！,赫萝老师,1351379,69405628,41236,3292,90865
逐帧解析【刺七第二季】新PV中竟暗藏这么多细节和彩蛋！你可曾发现？,精彩亮眼-起落无常,23162962,69051973,70444,1206,85114
长大后再听这首穿越千年的眼泪才明白，原来情到深处自然痛,莫莫酱要继续加油,21851158,69070529,55333,776,81951
【极致踩点 全程高能】50部国漫高燃混剪，献礼70华诞，感受中华五千年的视觉盛宴,玄机科技粉丝后援会,85468141,68933227,25036,2533,75818
《罗小黑战记》电影中那些你不知道的彩蛋/细节,紫银风,8797300,67567134,32182,2624,71921
【罗小黑战记】在日本口碑被吹爆，日本网友二刷走起！,_meatmeat,3910338,69205055,63506,1040,71589
斗破苍穹五版纳兰嫣然，没有对比就没有伤害,永无叙,52443104,67403668,74024,42,70770
罗小黑战记丨没有我无限大人驾驭不了的BGM,露露子alter,924017,68172503,31502,1454,70008
当清纯男遇到绝情渣女会发生什么 特殊恋人攻略LoveLock,久远丶酱,13689353,69388742,21578,2892,65341
【十二镇魂歌/国漫/全程高燃】剑气纵横三万里 ，前尘旧事何处闻 。战或休 愤或认，从来英雄有后人。,hunter弥鹿,12202114,69128495,21333,753,61245
【灵笼手书】猛男必看！ 冉冰想要变得可爱（不看我就抱走了）,装作很酷的,396569953,69121016,22162,2417,58875
史上最强小说结尾之一！！！,有只萝莉の爱洗澡,7487476,66985939,62151,4,56955
【国漫/全程高燃/多素材】我们的步伐，从未停止。,次元小主,402601058,66361419,35719,1272,56734
高能！国漫中的十大经典台词,妖主杀生丸,384134715,41048301,36743,384,56490
那年那兔催泪弹【重置版】,共青团中央,20165629,14975907,23169,1360,48694
【清风】火凤燎原43 许攸投曹的真相,清风大诗兄,46669041,69418336,21873,3048,47742
#非人哉# 今天是神兽白泽出场三周年，没想到早上竟然接到了他的电话？,非人哉工作室,32741563,69402059,22763,1125,45940
这部国漫竟又如此凶残？彩蛋随处有！细节遍地走！【刨根问底05】,碧落九重剑,25636858,68399507,25547,2388,44865
【三体】不要返航 这里不是家,W的小黑猫,159583875,67152186,31520,503,43547
《尸兄》小金刚是怎么入神的?最全的小金刚进化历程（漫画）,零枫Momet,51545073,67797734,38707,220,41103
【罗小黑战记】日本上映被入江监督疯狂安利后 场场爆满 猫派开幕15秒后就AWSL,翻云浪,7429125,68696972,38736,90,39443
请不要拿烂俗的词语去玷污自己的童年，践踏他人的喜欢的东西！,国漫宣传君,26476264,68054278,37727,111,39415
【罗小黑战记】小黑宇宙时间轴！玄离和阿根咋回事？无限是不是最强？罗学家~,亚食人,80304,68900787,22769,462,38837
【刺客伍六七】第2季年内播出！新妹子角色登场！或许还有十三她姐？,一图超人,133546,69116596,36575,202,37499
【初代铠甲勇士】铠甲十年，从炎龙侠到帝皇侠！！！,超燃小志,296110678,66556751,29172,298,35874
画江湖之不良人：岐王怕不是修仙的吧，实力也太强了,起风啦向日葵,36458977,69290629,36938,34,35792
【灵笼/燃虐向】史诗高能AMV!即使会死也要真正活一回！！！,哇周某人,175333301,69241534,24959,241,35373
【天行九歌】紫女新装揭露身份？遁入黄泉？地下河道里的秘密！,非紫茶话会,229044070,69185960,25628,636,34468
灵笼第七集预告分析，马克一路杀到金色大厅救出冉冰,希望的天气,33398811,68474300,36080,8,32711
最火的《芒种》遇上这八部动漫里倾城的美人儿，简直太Nice了!!!,超神学院黑甲彦,51912333,66207215,17176,337,30958
官方打码 最为致命！李星云竟敢对我的大舅子做出这种事！【不良人】,不存在的魔鬼大A,39077947,69168299,32482,57,30854
谁说国漫没神曲？第一弹,灰暗的蜗牛,18805595,10227864,18075,300,27924
13个彩蛋！十三的姐姐？刺客伍六七第二季PV彩蛋解析,未知生物33,7612168,69027675,24741,149,27896
【天行九歌】韩非遭受鞭刑处罚，紫女解锁新造型,不正经的产品菌,101272894,69206634,28068,31,27494
深入解读搞笑卖萌外表中真正的罗小黑,不正经老丝,378885845,67620324,17797,713,27321
紫女：猝不及防换新造型，喜获新府邸紫兰山庄，以及两万九千金！,种花的锦鲤,382670362,69129445,24209,35,26901
有生之年能看到这样的cosplay，值了！,不止电影小组,184633707,67346329,11947,505,26460
