title,author,uid,aid,play,coins,pts
【罗小黑战记】玄离？阿根？你究竟有没有弄明白这两个人之间到底是什么关系？,牛排_steak,2018988,68681263,376559,36535,811308
这可能就是外国人做不出来的文化吧 别眨眼 带你一秒沉沦这山水墨染的中国风,小x文,3079413,67522089,301579,22067,787540
电 音 喜 羊 羊,异次元臭豆腐,23371320,68309369,226771,21473,544394
这部国漫依然如此凶残？彩蛋随处有！细节遍地走！【刨根问底06】,碧落九重剑,25636858,68645393,292174,10824,363221
前方剧毒！进来就出不去啦！！！每日亿遍，快乐无上限！,纸鸢_Somnium,81174791,67246642,254834,4614,341979
这部在B站下架的成人动画却足以载入史册【滑稽漫谈第9期】,滑稽中二梦,5689319,68570359,179956,10457,316247
【罗小黑战记】日本上映被入江监督疯狂安利后 场场爆满 猫派开幕15秒后就AWSL,翻云浪,7429125,68696972,332632,791,315880
这部国漫为何被观众狂喷？童年经典被滥意改编！泡面番究竟哪些值得一看！【国漫槽推荐11】,奇思Cheers,18775476,68972036,286621,1523,283629
【极致踩点 全程高能】50部国漫高燃混剪，献礼70华诞，感受中华五千年的视觉盛宴,玄机科技粉丝后援会,85468141,68933227,85623,10487,250146
《灵笼》第七集！马克拯救冉冰 结果却遭遇黑化！,萌虎菌,11726396,68980736,221217,3418,248995
细到极致，恐怖如斯！博学家眼中的《灵笼》竟是。。。【逐帧灵笼03】,紫银风,8797300,68582072,209995,2939,241167
【灵笼手书】猛男必看！ 冉冰想要变得可爱（不看我就抱走了）,装作很酷的,396569953,69121016,96966,8062,235642
逐帧解析【刺七第二季】新PV中竟暗藏这么多细节和彩蛋！你可曾发现？,精彩亮眼-起落无常,23162962,69051973,172022,2165,192402
国产漫画《怦然心动》抄袭多部知名漫画，现在居然还要动画化！,微风の习习,23122199,68601567,123971,1693,177545
史上最强小说结尾之一！！！,有只萝莉の爱洗澡,7487476,66985939,181637,17,159490
灰太狼：我颠覆了整个世界，只为换你一次回眸,你妹西天取金,324739085,45973690,72276,3741,158331
希望之星？言过其实？这部动画究竟有何亮点让观众充满期待？灵笼细节大解析4：影视语言篇,Muc虚空之翼,14546601,69127591,60239,6868,144238
【罗小黑战记】小黑宇宙时间轴！玄离和阿根咋回事？无限是不是最强？罗学家~,亚食人,80304,68900787,80454,2261,141398
从投资3000到票房3亿，罗小黑终成黑马！水准究竟如何？,无毒放心奶,382595439,69190279,97801,2998,129999
斗破苍穹五版纳兰嫣然，没有对比就没有伤害,永无叙,52443104,67403668,130332,67,129165
罗小黑战记丨没有我无限大人驾驭不了的BGM,露露子alter,924017,68172503,57245,2709,122380
《灵笼》BGM潜藏恐怖细节！女主死亡暗示？！你真的听懂了吗？《灵笼》乐评赏析#1【国动荟萃】,荟小荟,23172676,68610129,69496,4295,116743
【国漫/全程高燃/多素材】我们的步伐，从未停止。,次元小主,402601058,66361419,68469,2332,106279
灵笼第七集预告分析，马克一路杀到金色大厅救出冉冰,希望的天气,33398811,68474300,105654,29,104602
【独家幕后制作首曝】宿命的轮回将由我来斩断！ 阴阳师日轮之城全新CG发布,两点十分动漫,8349119,68558015,80289,894,102343
一首超火的是风动碰上这十部动漫的美人，能够炸出你多少老婆,差点上北大,305169305,69062289,70093,608,101678
【伪·乱世巨星】三大流氓三种的味道【那年那兔那些事儿】,杨柳成荫,258588162,68787114,84403,1308,96399
云韵&萧炎：在天愿做比翼鸟，在地愿为连理枝,Adonis天使,437418492,68893845,73135,1325,94442
十年后再听这首歌，也许这就是外国人不能理解的爱情吧，最不屑一顾的却是相思,莫莫酱要继续加油,21851158,68263905,63870,714,90600
高能！国漫中的十大经典台词,妖主杀生丸,384134715,41048301,58987,710,90005
【清风】风云3第47期 武无敌战群魔,清风大诗兄,46669041,68969945,56454,4852,89792
6年更新一次？粉丝褒贬不一？还我原味星游记？,山楂哟山楂,291529427,68744145,76875,1089,87909
【九九八十一/全程高能】享受国漫给你带来的视听盛宴吧！！一途平九百波，九千错，凌云渡成正果。,hunter弥鹿,12202114,66083771,27311,1889,85348
最火的《芒种》遇上这八部动漫里倾城的美人儿，简直太Nice了!!!,超神学院黑甲彦,51912333,66207215,46785,1046,82870
史上最大的卧底，老大的手下全是卧底,大胡子古月,255149613,68752366,74799,10,69429
