title,author,uid,aid,play,coins,pts
这可能就是外国人做不出来的文化吧 别眨眼 带你一秒沉沦这山水墨染的中国风,小x文,3079413,67522089,137790,11012,390281
电 音 喜 羊 羊,异次元臭豆腐,23371320,68309369,39214,3345,105364
先烈们，今天的盛世您看到了吗？祖国70岁了【滑稽漫谈第10期】,滑稽中二梦,5689319,69332500,28537,4150,76806
《灵笼》第七集！马克拯救冉冰 结果却遭遇黑化！,萌虎菌,11726396,68980736,60322,768,65701
前方剧毒！进来就出不去啦！！！每日亿遍，快乐无上限！,纸鸢_Somnium,81174791,67246642,44599,707,63506
#非人哉# 今天是神兽白泽出场三周年，没想到早上竟然接到了他的电话？,非人哉工作室,32741563,69402059,22763,1125,45940
【罗小黑战记】玄离？阿根？你究竟有没有弄明白这两个人之间到底是什么关系？,牛排_steak,2018988,68681263,18195,1515,45845
国产漫画《怦然心动》抄袭多部知名漫画，现在居然还要动画化！,微风の习习,23122199,68601567,34467,360,43768
灰太狼：我颠覆了整个世界，只为换你一次回眸,你妹西天取金,324739085,45973690,16655,776,37886
这些国漫美女美到极致，少年英雄难过美人关！国漫女王盘点！,赫萝老师,1351379,69405628,19562,1163,36440
一首超火的是风动碰上这十部动漫的美人，能够炸出你多少老婆,差点上北大,305169305,69062289,22816,225,34432
罗小黑战记丨没有我无限大人驾驭不了的BGM,露露子alter,924017,68172503,13092,604,31155
评分9.9年度最强反转国漫！剧情逆天，引发无数好评！,无毒放心奶,382595439,67800484,19476,464,30158
斗破苍穹五版纳兰嫣然，没有对比就没有伤害,永无叙,52443104,67403668,29905,18,28423
【极致踩点 全程高能】50部国漫高燃混剪，献礼70华诞，感受中华五千年的视觉盛宴,玄机科技粉丝后援会,85468141,68933227,8878,866,27677
【清风】火凤燎原43 许攸投曹的真相,清风大诗兄,46669041,69418336,13525,1653,27113
《尸兄》小金刚是怎么入神的?最全的小金刚进化历程（漫画）,零枫Momet,51545073,67797734,24424,130,25762
当清纯男遇到绝情渣女会发生什么 特殊恋人攻略LoveLock,久远丶酱,13689353,69388742,13115,732,25344
那年那兔催泪弹【重置版】,共青团中央,20165629,14975907,11564,683,24439
高能！国漫中的十大经典台词,妖主杀生丸,384134715,41048301,16002,143,24418
【十二镇魂歌/国漫/全程高燃】剑气纵横三万里 ，前尘旧事何处闻 。战或休 愤或认，从来英雄有后人。,hunter弥鹿,12202114,69128495,8161,265,24217
这部国漫竟美到极致！外国人看了都傻眼！为何动画不能被替代【奇思读评论#9】,奇思Cheers,18775476,68451727,18881,285,24170
【刺客伍六七】第2季年内播出！新妹子角色登场！或许还有十三她姐？,一图超人,133546,69116596,23730,118,23680
《罗小黑战记》电影中那些你不知道的彩蛋/细节,紫银风,8797300,67567134,10176,792,23164
【三体】不要返航 这里不是家,W的小黑猫,159583875,67152186,16194,253,22735
这部国漫竟又如此凶残？彩蛋随处有！细节遍地走！【刨根问底05】,碧落九重剑,25636858,68399507,10987,1044,19399
倒吸一口凉气!镇魂街第二季夏铃实力恐怖如斯,小文同学XO,390591033,69345628,19985,3,18221
请不要拿烂俗的词语去玷污自己的童年，践踏他人的喜欢的东西！,国漫宣传君,26476264,68054278,17224,49,18140
逐帧解析【刺七第二季】新PV中竟暗藏这么多细节和彩蛋！你可曾发现？,精彩亮眼-起落无常,23162962,69051973,14940,148,17791
史上最强小说结尾之一！！！,有只萝莉の爱洗澡,7487476,66985939,18413,2,17021
【罗小黑战记】在日本口碑被吹爆，日本网友二刷走起！,_meatmeat,3910338,69205055,14964,138,15604
【初代铠甲勇士】铠甲十年，从炎龙侠到帝皇侠！！！,超燃小志,296110678,66556751,12303,130,15313
【灵笼手书】猛男必看！ 冉冰想要变得可爱（不看我就抱走了）,装作很酷的,396569953,69121016,4746,573,15168
