title,author,uid,aid,play,coins,pts
这可能就是外国人做不出来的文化吧 别眨眼 带你一秒沉沦这山水墨染的中国风,小x文,3079413,67522089,1426954,98150,2908185
前方剧毒！进来就出不去啦！！！每日亿遍，快乐无上限！,纸鸢_Somnium,81174791,67246642,2160220,42579,1864977
电 音 喜 羊 羊,异次元臭豆腐,23371320,68309369,804994,78910,1741548
这部豆瓣评分第一的国漫到底强大在哪？【滑稽漫谈第8期】,滑稽中二梦,5689319,66443971,1241801,88526,1676185
《罗小黑战记》电影中那些你不知道的彩蛋/细节,紫银风,8797300,67567134,560914,59049,1304905
灰太狼：我颠覆了整个世界，只为换你一次回眸,你妹西天取金,324739085,45973690,477826,26345,1028836
最火的《芒种》遇上这八部动漫里倾城的美人儿，简直太Nice了!!!,超神学院黑甲彦,51912333,66207215,577509,16610,977381
【哔哔Q第5期】独家专访罗小黑战记导演MTJJ：动画剧情已规划了50集,哔哩哔哩国创,98627270,67375371,678636,20744,869536
【罗小黑战记】玄离？阿根？你究竟有没有弄明白这两个人之间到底是什么关系？,牛排_steak,2018988,68681263,395424,38224,848414
这些山海经异兽竟是古代巫师的cosplay？【潇洒观山海03】,齐天大肾余潇洒,5293668,66403969,268468,56541,837109
【九九八十一/全程高能】享受国漫给你带来的视听盛宴吧！！一途平九百波，九千错，凌云渡成正果。,hunter弥鹿,12202114,66083771,200455,15203,680719
深入解读搞笑卖萌外表中真正的罗小黑,不正经老丝,378885845,67620324,448294,19649,668407
罗小黑战记丨没有我无限大人驾驭不了的BGM,露露子alter,924017,68172503,307651,14373,642120
这部国漫竟又如此凶残？彩蛋随处有！细节遍地走！【刨根问底05】,碧落九重剑,25636858,68399507,329349,42324,635016
这部动画在B站狂砍3亿播放！第二季却让200万人苦等多年？！,泛式,63231,67575476,599372,11310,580441
【芒种】爆肝80小时! B站最全焰灵姬混剪 我不属于任何人，除非...,喜欢数码的陈同学,337279814,66184282,239741,11544,562680
【国漫/全程高燃/多素材】我们的步伐，从未停止。,次元小主,402601058,66361419,361100,12647,543919
斗破苍穹五版纳兰嫣然，没有对比就没有伤害,永无叙,52443104,67403668,995810,559,511451
这部国漫又沦为有生之年？论UP主如何被气死的！全B站最宠粉狂魔的UP主之一！【奇思读评论#8】,奇思Cheers,18775476,67052172,392447,10730,437192
《尸兄》小金刚是怎么入神的?最全的小金刚进化历程（漫画）,零枫Momet,51545073,67797734,437631,3773,430140
【木鱼微剧场】最近很火的《灵笼》讲了一个怎样的故事？,木鱼水心,927587,66161385,437326,4033,408505
口碑爆炸，豆瓣8.8，猫眼9.8，粉丝向却又不止于粉丝向！,国漫宣传君,26476264,66979046,398790,3887,381987
史上最咕动画成票房黑马？原创IP一样能有好作品！《罗小黑战记》影评【国动荟萃】,荟小荟,23172676,67713564,206416,12607,355147
一首最近很火的等待良人归来，炸出了你多少老婆,莫莫酱要继续加油,21851158,66729628,250550,2383,348133
灵笼惨遭删减剧情流出，原来你是这样的查尔斯！,最忆江南烟雨羞,256702554,68028652,340484,3140,330911
评分9.9年度最强反转国漫！剧情逆天，引发无数好评！,无毒放心奶,382595439,67800484,204657,5741,329923
【大片向/60帧】灵 笼 超 燃 混 剪 ！,暗猫の祝福,888465,67563112,217120,4296,326640
高能！国漫中的十大经典台词,妖主杀生丸,384134715,41048301,206584,2473,322360
【罗小黑战记】日本上映被入江监督疯狂安利后 场场爆满 猫派开幕15秒后就AWSL,翻云浪,7429125,68696972,343964,814,320333
【动画摸鱼】罗小黑票房大麦庆祝动画！,DungBeetle_史比邦,14406783,67933411,153198,7147,318722
【初代铠甲勇士】铠甲十年，从炎龙侠到帝皇侠！！！,超燃小志,296110678,66556751,257927,2770,300511
《灵笼》第七集！马克拯救冉冰 结果却遭遇黑化！,萌虎菌,11726396,68980736,281539,4186,290577
罗小黑战记番外  初遇,嘿希弟,67280186,35813686,241797,538,286823
【极致踩点 全程高能】50部国漫高燃混剪，献礼70华诞，感受中华五千年的视觉盛宴,玄机科技粉丝后援会,85468141,68933227,94501,11353,277888
略有瑕疵的璞玉之作，客观评价罗小黑大电影的得与失：我们究竟需要怎样的动画？,Muc虚空之翼,14546601,67578854,162927,6425,265909
【灵笼手书】猛男必看！ 冉冰想要变得可爱（不看我就抱走了）,装作很酷的,396569953,69121016,101712,8635,260474
【灵笼燃虐向】【天空之城We all lie】我们都活在谎言中,蒙娜丽鲨鱼,2390163,66376588,187438,2106,254697
《哪吒之魔童降世》配音演员大小哪吒和太乙真人翻唱主题曲《哪吒》,声鱼片儿,7064298,62643830,132215,4502,252220
【罗小黑&无限】小黑: 师父是这个世界上最好的人！,夜露西苦,243161295,66642256,132164,3810,251275
这动画电影一经上映豆瓣评分8.9！只凭分镜和配乐这波就不亏！【罗小黑点映】,宅集社,340196625,66780816,237254,1474,248235
【刺客伍六七】 芒种,精彩亮眼-起落无常,23162962,66802359,146764,3894,248117
【国产动画反派们的抱怨】反派的魅力（石矶×蛇精×白骨精）,疯芍药,92375067,62996311,112780,7592,247071
【童年回忆】还记得曾经的猛虎王他们吗？,风晴雨夏,208938185,64029287,164954,3449,236593
国产漫画《怦然心动》抄袭多部知名漫画，现在居然还要动画化！,微风の习习,23122199,68601567,172018,2179,229464
有生之年能看到这样的cosplay，值了！,不止电影小组,184633707,67346329,107323,4583,228708
当给催泪神作配上催泪神曲。我没哭，只是眼泪流了下来。,洛能绽放光芒,176942183,24008302,90450,3314,224377
【三体】不要返航 这里不是家,W的小黑猫,159583875,67152186,167379,2827,224123
中国手印文化,孙三昇,17557100,47936255,81515,3845,222727
女生遇到渣男和处男会喜欢哪一个？,M-菌,3969839,66886987,158317,2716,218351
灵笼第七集预告分析，马克一路杀到金色大厅救出冉冰,希望的天气,33398811,68474300,251066,72,218091
【有生之年】前方高能！请看好你的硬币！,Yuzi_NB,441600627,65668075,105602,4553,212815
史上最强小说结尾之一！！！,有只萝莉の爱洗澡,7487476,66985939,210373,19,198301
抖音真人版焰灵姬，这神韵绝了,吴江岳,301965501,61842863,188716,129,195442
【罗小黑战记】师父是这个世界上最好的人!,菌子笑笑,12504858,68284267,93989,4236,194980
谁说国漫没神曲？第一弹,灰暗的蜗牛,18805595,10227864,122254,2144,192810
道德绑架，恶意孤立，无良记者！这部国产儿童美食动画电影竟暗讽现实《大耳朵图图之美食狂想曲》【国动手账本】,君夜离尘,10317051,48986008,144422,1356,186932
【狼蛹】冉冰真会去金色大厅吗？银发女子真身？旧世界的灾难是怎么发生的？——灵笼第5集解析,狼蛹1126,5303577,67770876,174336,2061,186053
【超治愈丨罗小黑战记丨无限&小黑原创同人曲】有你为家,醉雪ShareYoung,1744620,67611173,86661,3470,182273
史上最高口碑的国产动画，不是合家欢，却比合家欢更能打动人心！【卡密动漫#100】,卡密动漫,747733,67573073,166369,2239,177176
【首映影评】这绝对是中秋节最值得看的电影——《罗小黑战记》大电影,轩邈Elias,3386870,66988730,122384,4557,171371
【刺客伍六七】暑期CM 大保J VS 太保丁,啊哈娱乐,268990278,63760741,186760,1614,170066
《灵笼》第五集细节分析：震惊，看了的人都三连了,Three枫鸽,12278793,67937191,141420,3365,167664
完美妻子人选，强烈要求编剧改写结局！【漫解云韵】,西东小哥,91235848,68373106,121698,3890,167014
妙啊！竟然用文言文的方式解读汉化日记，这动画把我笑成猪叫【文言文讲国创 # 01】,陈雅楠cyn,33253839,66363007,110349,3196,160889
【星辰变/美人如玉】真是让人血脉膨胀，热血沸腾啊！这才是真正的明月天涯！,女汉子咱稀罕,365335536,36116076,162237,75,158719
【罗小黑战记】小黑宇宙时间轴！玄离和阿根咋回事？无限是不是最强？罗学家~,亚食人,80304,68900787,87120,2392,154186
【凹凸世界互动视频】你能抽到你的本命吗？凹凸首个互动视频！,什么都想学的凯酱,174443516,64034281,51910,8815,146492
国漫雄起！！四十部国漫无缝混剪，请务必戴上你的耳机！,定位御宅w,14740173,66624265,58237,3041,144612
【果宝特攻】我们是果宝女特攻！,双马尾的麻薯,309266471,66562978,79074,991,140341
这部轰动一时的国漫背后隐藏的故事让人背脊发凉？最有城府的人居然是个黄毛小子？掌控全局的人居然是他？,山楂哟山楂,291529427,67264965,112168,693,136355
一首超火的是风动碰上这十部动漫的美人，能够炸出你多少老婆,差点上北大,305169305,69062289,92909,833,136111
那年那兔催泪弹【重置版】,共青团中央,20165629,14975907,64159,3624,134475
什么？罗小黑电影的票房只会有这么点？,啊啊啊啊阿坦,5789909,66086185,121720,1481,134272
灵笼/荷光者梵蒂/在金色大厅等着你哟！,清歌也想记录生活呀,29128625,65713110,120478,360,131728
【喜羊羊与灰太狼反派的抱怨】弟控茶话会（沙雕向/有内鬼）,邪恶鲨人狂,29658682,63953315,64607,1645,129619
罗小黑战记28集，光速玩梗（滑稽）,伊利丹怒豆,339651442,65594246,113906,406,127402
【杀破狼广播剧】顾帅花式骂人100句·完整版！,橘葵海aoi,10938853,29559747,40308,1570,125737
【罗小黑战记】新旧画风对比 [高同步版本],俊杰_Charles,4059269,15049821,94910,488,124872
深入分析罗小黑战记重要伏笔！后续剧情大推测【电影x动画x漫画】,蓝二烟,7206526,67901172,70032,3685,120026
电影《罗小黑战记》全程姨妈笑！,鬼才耀耀,318743747,67023027,100490,723,119426
光头强:满负骂名，终究被打败？这就是人生！,三月情书,15361868,64831248,81613,1142,118651
无尽轮回——多少人曾没看懂这部国漫的结局呢？——从惊艳到封神，超兽武装是如何在剧情上走向神坛的？,南泠羽,8609954,50094966,87520,1656,118403
【一部国产神作】我最大的罪恶就是我生来卑微,皮蛋小迷弟,109815433,54129535,89951,811,117339
