title,author,uid,aid,play,coins,pts
【石原里美】2分钟告诉你什么叫教科书级别的表情管理✔,颜值爆表啦,12855280,69285789,538061,11586,922917
【博君一肖】我已经在坑底躺平了 | 唯粉别点别杠,还是那个琳lin狸,66784776,69145000,208385,7597,734887
博君一肖 中磕院招生纪录片 from五喵喵,五喵爱蛋糕,19013094,69228965,109624,13596,480165
【王一博XBeautiful Now/踩点/一键换装】王一博伪剧情向一键换装高燃踩点/舞蹈滑板广告综艺摩托杂志uniq混剪,尼尼微城辣子鸡,32649931,69242065,102794,9073,464626
【博君一肖】（双视角）遇见||他懂||心灵契合早已有迹可循,希嘉Heega,21075050,69388777,74021,9318,454510
【肖战】出道三周年应援纪录片,一见博肖误终身丶,84132098,69250077,97203,9560,385252
《我和我的祖国》第1期预告：杜江出演香港回归升旗手 原型朱涛亲自训练,哔哩哔哩影业,3652604,69351827,498785,2672,362659
【博君一肖】年下狮子男耶啵の抖S控制欲场合全记录,藤井由希x,850859,69316366,83531,2829,340764
【博君一肖】xql的深夜视频通话也太甜了吧！,凡星sunny,39730055,67597633,87632,5873,303619
【博君一肖】9.21泰国见面会最全糖点集合 || 细节分析+显微镜 || 禁搬运,栀子绾绾,3696915,68565720,89391,2509,297713
（高清版）陈情令泰国演唱会,Z漫漫呀,17422099,68912966,75754,423,295124
刘亦菲为阿米尔汗做翻译，狂飙美式英语，台下众女星惊呆了,コーピー酱,396814893,68516307,330275,67,293336
【中餐厅3】躲着林大厨 煮泡面吃 像极了躲着爸妈煮泡面的你我哈哈哈哈哈,素还真的小娇妻,12791346,69214929,353122,18,292426
【影视情报局 33】国庆档影片来袭，你最期待哪部？《海上钢琴师》院线引进确认，经典重温！,木鱼水心,927587,69210332,241698,6081,281278
【博君一肖】【帧学 | 逐帧分析】用搞笑科学分析你绝对没见过的921泰见糖点 第二期,亦川_,450991900,69324924,69626,5667,278238
死侍星云互喷误伤小蜘蛛,光影莫里斯,8282964,69114071,229715,546,275438
【博君一肖】回到盛夏 | 一次心动便是永恒 | 愿二位并肩为王,切粒粒,27692819,69403581,42016,5913,256007
郭碧婷看到路边的性感美女，立马让向佐看，向佐：你好坏,记录我的生活,404929798,69197710,293605,6,241452
【博君一肖】王甜甜的宠溺惩罚^ ggdd的蜜汁行为把我死死按在坑里  磕死我吧,SINVYS,55407677,69138481,133128,373,238326
【哔计划·派】井柏然：30岁的“小鲜肉”，挺好！,哔计划,209708163,69191110,268889,636,227871
最近韩网热议的中国宝藏男孩们！不火没道理？,韩国东东,39304265,69136692,243256,606,225147
博君一肖，一直再瞟gg的dd。盯哥机上线,xinxinmiao145,320251376,69112778,142560,225,220906
神仙颜值！超美俄国小姐姐-Dasha taran!,安吾の万年筆,400332033,64672371,106282,1121,216462
【日综】我看你是没挨过姐姐的打 姐姐已经叉腰了 哈哈哈哈准备接受姐姐的爱的毒打吧,大宝剑联盟,429251,69010405,148557,979,213419
海外版尺度就是不一样《我这半辈子》郭德纲 于谦,我的名字就是非常非常长,84466541,69084054,171383,388,206775
Chloe目前在ins上传的所有照片（混血颜控的致死药）,收集天空,66963863,65470705,81863,2388,206022
邓丽君的皮是真的皮,热视频,22706176,68638951,116618,1023,201600
【博君一肖】那些震撼我妈的瞬间,翦瞳秋,409996897,66645392,78845,1377,199423
【金泫雅】有多少泫雅粉因为这个视频入坑的!,南宫若汐-,45572296,69153332,193291,49,195248
羡慕嫉妒恨，张天爱哥哥实力诠释——宠妹狂魔,咪咕综艺,457732927,69368952,200832,6,194645
【Queendom】高清全集(持更至E05.190926中字) Mnet女团回归大战女王之国Queendom中字合集持续更新,喵儿快回家,13007433,65937862,181835,202,194085
【博君一肖】小赞，你一定很爱他（分析"好朋友"，cp脑发散圈地自萌）,hutchukulet,14269304,68999894,57536,1096,192287
【当香菜成为了客服小姐姐】果然声音可以拯救一切~阿伟再次去世~,動漫节操君,349661568,67334107,124545,871,189047
【博君一肖】震惊！小赞直播翻车！那个骑摩托的又来踹柜门了！（末尾有彩蛋）,月下锦弦,425791498,67379102,58924,3240,185938
【脱口秀大会第二季】每期爆梗王、高能爆笑时刻合集（1-10期全）,爱吃拌面的刘老师,121783343,69034248,171716,315,184132
【博君一肖补充教材·采访学】全是华点，请熟读并背诵,何处是月色,411897955,69377537,48667,1086,177316
【王一博】天呐～这是什么绝世大可爱！甜度超标 全程嘴角上扬  超级治愈超甜向耶啵杂志广告拍摄花絮混剪  一博你别笑了 你一笑我手机就拿不稳了～,乌冬长猫使,70450421,69006862,44221,2163,171590
博君一肖 她说她是web唯粉 看过见面会以后年纪轻轻就疯了,桐少侠123,107940129,68989633,86963,2050,170674
【博君一肖|双标】王·战哥面前·一秒认怂·耶啵,秃头少女哟,427203729,68980212,56027,732,170235
【博君一肖】王大锤雷神之锤VS肖备战瞳孔地震 gg怎么被dd带跑偏了呢……,新时代的美人胚子,86437952,69119828,65372,2913,169802
【王一博】【舞蹈】下一段舞蹈永远比上一段舞蹈精彩，还有人没看过椰波丝滑柔顺的舞蹈吗？再一次被uniq舞蹈的整齐度震惊到！,希酱酱酱,38960357,68662912,49072,1040,157622
【刘涛×魏大勋】让人看哭的一段清宫戏！演技绝了！,李沁我老婆鸭,408151094,69194341,146209,26,155436
【博君一肖】正主又来喂大糖喽！臭情侣小心机防不胜防啊！你get到了吗？,流云飞舞8888,23626057,68909197,54169,1072,154926
当你只准备一份获奖感言，却拿下两个奖时,卧龙寺,258457966,68999756,147378,56,153083
【古装女子发狠群像】谁nèng我，我nèng死谁 ｜ 老娘最slay,常寻寻寻,15597799,69211419,75302,995,148059
【宽成以待 | 真相是真】震撼你们全家的曦澄cp来了,一别西风w,1891770,69152409,65719,1040,144341
【博君一肖】《奶狗狼化记》第二部（cql花絮按时间线整理至0708/蓝忘机第三者开始出现）,提子苹果红桃,20078938,68525631,34194,1038,143030
【ARASHI】【字】周六的岚朋友 190928 3小时SP 【Aloha字幕组】,Aloha字幕组,14016058,69447514,62174,2120,142054
张雪峰老师谈考研90分钟完整版！听完我想回去考研了 _超清,爱浮云了,190730940,18976919,51846,1067,141963
对我来说最强请假理由：老师，我请假，去联合国演讲......（我这么大时还在玩农药！！！唉╯﹏╰）,Brother_Yellow,409949440,68332878,124844,93,139952
盘点娱乐圈英年早婚的男明星,金大灶,1649285,69009961,141893,15,139000
美国达人秀：史上最变态的表演，观众直接吓傻，导演看的快吐了！,清凉历史频道,160282713,67065649,109170,269,138958
【博君一肖】显微镜看一个全是华点的采访|不知从何嗑起的进来熟读注释版教材|泰国双采嗑点合集|六学,高压兔本兔,7391561,68876107,47421,589,138105
当主持人问“你都是如何结识男生的？”霉霉的回答很实在,PETER欧美音乐狂,7311862,69183022,137812,14,136838
耍帅，飙车，舔糖，抖腿，耍烟技...麻麻的，酷拽起来的小K简直人间尤物、白璧无瑕，克里斯汀.斯图尔特（KristenStewart),女神视角毒,235508243,66948509,69245,499,136150
亮剑—宿舍冒死翻拍，致敬国庆,小栋爱生活,80045332,69157200,116610,1619,135424
冯希瑶回学校了！！！在校追星，学姐唱的真的好好听，现场超震撼的！,哈哈哈哈那呢,252604810,69205681,129113,120,133174
B站最全的卡姆脱口秀合集！一次看个过瘾！,desperado0626,18728784,68720947,92460,526,132508
【博君一肖】大甜锤！ggdd都换了同款新手机,我是瘦肥肥,94889123,69206781,86013,133,132410
你要的【蔡徐坤】版《野狼DISCO》来了！一起画彩虹走起！（from：宝石gem你的老舅）,坤牌星星牙,378137555,68295727,87980,2093,129973
《美国有嘻哈》正式预告 Cardi B  T.I.,优秀的团,17676501,69080137,112391,152,128745
【肖战】肖战出道三周年快乐 你好演员肖战,星闻揭秘,185417856,69058239,38061,2103,127467
[完整版]宋继扬舞蹈solo|陈情令泰国见面会|道长太撩人了怎么办,青者慕云,356089097,68548414,62902,353,127450
《哎呀好身材》：张天爱同款哥哥你有木有啊，真的好羡慕,华殇火星,234485900,69377567,130180,9,127170
【战山为王】战哥双标现场，陈情令泰国见面会的后台真相！,云梦土拨鼠,432577462,69284075,69051,876,127089
《我和我的祖国》百位明星歌声表白祖国,随蜂者,27367657,66393126,111884,96,126215
【有朋自远方来】小紫终于见到五阿哥啦！高兴到跳脚了喂～哈哈哈～,只要酸菜鱼不要豆芽,107536664,69208189,133155,3,125303
《弟娃故事蜀游记》E01：我走过最长的路,就是蚊叽叽的套路,蚊叽叽,1718674,69186497,54797,6070,124457
【銀岩塩】井上正大 上海见面会密着！官方授权中文版,舞台職人Ethnicia,156825268,69157067,64105,1806,124044
高清完整版【笑傲江湖】不笑算我输!!!猫和老鼠真人版。看过的人都笑疯了!谁说网红没演技？,兴哥77,55868716,69134567,93048,473,123585
【Running Man】全员开车！稳！准！狠！,M丶3,393513454,68893409,128299,7,123404
【攀登者】吴京把bilibili记成呷哺呷哺，希望他工作结束就能吃到火锅,花柏植株,2648948,69195990,120575,111,122692
【博君一肖】是官方疯了，还是我疯了，这是官宣吧！！！,战战三岁吖,237218035,68517779,81194,131,121723
【博君一肖】这是一个王甜甜在战哥面前撒娇/ooc的合集 (持续更新),小哈甜度超标,106583380,66335567,71137,305,120872
【博君一肖|芭莎双人采访】正片出新的小糖糖啦,奶奶灰,320040250,69127558,61497,171,119010
【博君一肖】众琑周知bjyx是连续剧 | 都连起来了 超甜,卑微的小橘子,384727940,69174800,37046,930,117268
【郑爽】【徐璐】仙女间都是这么对话的吗？两个腿精之间的对话，我酸了(｡･ˇ_ˇ･｡:),流萤星光,37995636,69084695,117205,3,117058
【博君一肖】你们知道哥哥戳脸蛋动作的根源嘛？！,树边有只鱼,346386406,69235389,58867,562,116244
『月曜』你真的做了20年中文翻译？？？？,干锅牛蛙重辣,10943582,69122983,112126,23,113662
【王一博】【舞蹈混剪/高燃踩点/极度舒适/1080P】剪到暴躁哈哈哈哈哈哈哈哈哈哈哈哈,秋名山上卖奶茶,97322559,67461203,26577,2119,112392
当蔡徐坤英文歌获得华语金曲奖后，我才看懂万万没想到的这一段。,淡定的卤蛋,505678,66723647,100959,164,111019
【王一博】复盘陈情令，从18年3月选角确定开拍到19年9月播出结束后泰国见面会，期间所有微博热搜营销号豆瓣兔区联动的各种节点及事件,冰摇爱情水有点甜,19810781,69217908,48797,2309,109824
