title,author,uid,aid,play,coins,pts
邓丽君的皮是真的皮,热视频,22706176,68638951,975286,10965,1302702
【博君一肖】9.21泰国见面会最全糖点集合 || 细节分析+显微镜 || 禁搬运,栀子绾绾,3696915,68565720,433535,12556,1210677
【博君一肖】【帧学 | 逐帧分析】用搞笑科学分析你绝对没见过的921泰见糖点,亦川_,450991900,68836458,265176,15806,974215
刘亦菲为阿米尔汗做翻译，狂飙美式英语，台下众女星惊呆了,コーピー酱,396814893,68516307,1608143,240,670832
【陈情令】泰国见面会视频合集,爱德羊,289536315,68679548,179395,1498,663345
【博君一肖】我已经在坑底躺平了 | 唯粉别点别杠,还是那个琳lin狸,66784776,69145000,182151,6959,631996
【博君一肖】泰国见面会 值得反复观看的瞬间合集,翦瞳秋,409996897,68563852,216048,6020,556401
【博君一肖】真相是真「禁一切搬运 不授权」,切粒粒,27692819,68588322,158425,9401,549103
【博君一肖】“王一博，还不上！！” 肖战哥哥听到这句话才露出全场最甜的笑啊～陈情令泰国见面会双人合唱无羁,梅子加酒酒,21880727,68676662,307817,695,541218
《我和我的祖国》第1期预告：杜江朱一龙再现香港回归仪仗队风采,哔哩哔哩影业,3652604,68915325,700687,6284,520477
【日综】快感受一下真·硬核摇滚 我笑到头炸了哈哈哈哈哈哈！！！,大宝剑联盟,429251,52514850,350652,3235,479399
【博君一肖】显微镜看一个全是华点的采访|不知从何嗑起的进来熟读注释版教材|泰国双采嗑点合集|六学,高压兔本兔,7391561,68876107,149225,2615,474472
【博君一肖】正主又来喂大糖喽！臭情侣小心机防不胜防啊！你get到了吗？,流云飞舞8888,23626057,68909197,195629,3309,451024
对我来说最强请假理由：老师，我请假，去联合国演讲......（我这么大时还在玩农药！！！唉╯﹏╰）,Brother_Yellow,409949440,68332878,542521,189,445169
【博君一肖|双标】王·战哥面前·一秒认怂·耶啵,秃头少女哟,427203729,68980212,150978,1950,443208
B站是最好用的云盘 之 [肖战 & 王一博] 双人采访整理（定时更新）,真藤木瓜,19460625,66081679,146022,852,441916
神仙颜值！超美俄国小姐姐-Dasha taran!,安吾の万年筆,400332033,64672371,218033,2470,422916
【Queendom】高清全集(持更至E05.190926中字) Mnet女团回归大战女王之国Queendom中字合集持续更新,喵儿快回家,13007433,65937862,453057,443,421142
B站最全的卡姆脱口秀合集！一次看个过瘾！,desperado0626,18728784,68720947,255426,2245,416316
[完整版]宋继扬舞蹈solo|陈情令泰国见面会|道长太撩人了怎么办,青者慕云,356089097,68548414,220642,1428,416091
博君一肖 中磕院招生纪录片 from五喵喵,五喵爱蛋糕,19013094,69228965,93581,12213,412715
【2019综艺】日版101 Produce 101 JAPAN 20190926期【猪猪】,猪肉熟了,35581334,69000830,267095,1340,404109
【石原里美】2分钟告诉你什么叫教科书级别的表情管理✔,颜值爆表啦,12855280,69285789,208975,4435,398092
【明侦】笑掉头的经典名场面，进来笑就完事儿了，入坑必看向，快乐源泉,嘟嚜诶sama,7915504,68381479,256337,5454,396078
你要的【蔡徐坤】版《野狼DISCO》来了！一起画彩虹走起！（from：宝石gem你的老舅）,坤牌星星牙,378137555,68295727,281302,8029,394421
【哔计划·派】志尊淳：原来我的男友力是0啊！,哔计划,209708163,68406685,442894,5315,370993
死侍星云互喷误伤小蜘蛛,光影莫里斯,8282964,69114071,314879,666,362379
【博君一肖】是官方疯了，还是我疯了，这是官宣吧！！！,战战三岁吖,237218035,68517779,255006,481,352978
【博君一肖】小赞，你一定很爱他（分析"好朋友"，cp脑发散圈地自萌）,hutchukulet,14269304,68999894,127959,1663,351731
博君一肖 她说她是web唯粉 看过见面会以后年纪轻轻就疯了,桐少侠123,107940129,68989633,180959,4721,350176
oh，no！朱云慧穿短裙攀爬，全程男生都不想扶,李金玲女士,255796217,68551342,424110,17,350115
Chloe目前在ins上传的所有照片（混血颜控的致死药）,收集天空,66963863,65470705,133187,4253,346053
【博君一肖】xql的深夜视频通话也太甜了吧！,凡星sunny,39730055,67597633,101271,6021,344258
【博君一肖】泰国粉丝见面会后台双人采访,biubiu喔,22834335,68623000,265609,158,344011
【博君一肖】原来这才是最甜的糖！,一珊和二双,95700299,68735500,138695,1530,340491
《陈情令》泰国见面发布会高清完整版,燕姉啊,11182555,68484316,90555,656,338238
【博君一肖】0921泰国见面会显微镜分析,一见博肖误终身丶,84132098,69041946,86026,5514,332292
《Running Man》九周年 成员团体舞，帅炸了！！！,金夏妍姐夫,445337463,68642393,254772,1504,327542
【博君一肖】少女的祈祷-祈求天地放过一双恋人,甜味小熊餅乾,1962357,68980323,72387,4823,319418
【博君一肖】那里晚上的氛围实在是太好了，都是祝福的，他们能公开在一起向世界表现爱意的机会实在是不多，所以就让他们把爱意宣泄出来，接受大家的祝福吧    ♡.,琑进了就别出来了,239745065,68598662,96637,3006,311324
最近韩网热议的中国宝藏男孩们！不火没道理？,韩国东东,39304265,69136692,344347,1646,310437
【博君一肖】盯哥博上线|8倍镜互瞟细节糖|维基百科教您判断“他”喜不喜欢“他”，欢迎走进今日磕学-陈情令泰国见面会,柚比kke,6777480,68807398,92725,1782,299683
泰国的双人采访片段|两个人都可可爱爱一口一个我们,嗷酱在此,457643163,68688776,224839,133,291981
【博君一肖·复盘·补课】来，我们走一次教材！,何处是月色,411897955,68196787,80821,2455,289203
【影视情报局 33】国庆档影片来袭，你最期待哪部？《海上钢琴师》院线引进确认，经典重温！,木鱼水心,927587,69210332,238336,6112,280544
【博君一肖】要散场了，弟弟一直盯着哥哥眼中有泪，哥哥马上就要飞米兰了，奶盖舍不得了吧~,穆小沐_,57719888,68583409,204193,186,278740
【博君一肖】博君一肖十大未解之谜（我这辈子还能探索出来吗？不 你不能）,二百四十四和五十一,8252124,68780108,106648,799,278576
陈情令泰国演唱会全程✨,Z漫漫呀,17422099,68636663,95796,386,278080
【陈情令男团】演绎KTV金曲《野狼disco》，大型蹦迪现场，土嗨致极便是潮流,追呗明星娱乐,301399669,68384082,104194,3162,271201
【博君一肖】天选之子。撞衣柜？明明是住在一起！（系好安全带！！！狗头保命）泰国应援排场好大，真的，牛逼！,霓虹的零零散散New,399553470,68397286,90918,1667,267173
【博君一肖】将故事写成我们—一见钟情是你，日久生情也是你,_时桑Carrie_,28777511,68611744,60631,2834,262042
ggdd究竟为何频繁看我？【博君一肖】,CatBxtch,74016,68801109,90216,2151,249733
〖肖战&王一博〗 | 泰国见面会 | ——时尚芭莎完整版双人采访即将上线！！“生龙活…………hu”,三金嘉,14491036,68816961,193459,84,249700
【博君一肖】这是一个王甜甜在战哥面前撒娇/ooc的合集 (持续更新),小哈甜度超标,106583380,66335567,149679,674,249180
每当生活不易时，就点进来看看,头上长豆芽1,108903673,66680443,162008,1645,248960
【博君一肖】《奶狗狼化记》第二部（cql花絮按时间线整理至0708/蓝忘机第三者开始出现）,提子苹果红桃,20078938,68525631,57999,1843,247929
《超级变变变》满分评价的「间谍大作战」！真的都让人叹为观止啊！(≧σ≦),laughseejapan,15819374,68253997,153856,1574,246231
【肖战王一博《无羁》高清版！赶紧戳视频】陈情令泰国见面会,甲乙丙丁ミ,404639826,68542595,140571,396,244909
开口就致命的演唱现场,肥肥肥欧娜,22793668,33842291,202683,606,242860
当蔡徐坤英文歌获得华语金曲奖后，我才看懂万万没想到的这一段。,淡定的卤蛋,505678,66723647,258242,471,240816
【中餐厅3】躲着林大厨 煮泡面吃 像极了躲着爸妈煮泡面的你我哈哈哈哈哈,素还真的小娇妻,12791346,69214929,289963,15,240456
【肖战 王一博】芭莎泰国见面会完整采访+全纪实,Junesleo,342241693,69100485,63935,555,239374
【王一博XBeautiful Now/踩点/一键换装】王一博伪剧情向一键换装高燃踩点/舞蹈滑板广告综艺摩托杂志uniq混剪,尼尼微城辣子鸡,32649931,69242065,57036,4814,239282
《慢游旅行家》预告发布，肖战解锁新技能？快来查收你们的小赞哥哥~,慢游全世界,285296314,68813692,90779,1276,232593
【博君一肖】王甜甜的宠溺惩罚^ ggdd的蜜汁行为把我死死按在坑里  磕死我吧,SINVYS,55407677,69138481,127089,334,228928
胡歌的自拍和他拍,胡嘟嘟爱流浪,233925048,67906698,212743,919,228697
当你只准备一份获奖感言，却拿下两个奖时,卧龙寺,258457966,68999756,220813,77,226730
【博君一肖】gg压dd啦！花絮路透高甜，求芭姐把花絮放出来吧！天啊！嗑cp的我太难了！,灿白坑赫海填,245832387,69094906,81504,901,224827
【宋继扬】宋继扬跳舞完整版多角度|近景、大屏幕、舞台侧面高清||陈情令泰国见面会,吃胖的柚子,88658449,68549721,97430,693,223330
【当香菜成为了客服小姐姐】果然声音可以拯救一切~阿伟再次去世~,動漫节操君,349661568,67334107,156724,1005,223105
【王一博】【舞蹈】下一段舞蹈永远比上一段舞蹈精彩，还有人没看过椰波丝滑柔顺的舞蹈吗？再一次被uniq舞蹈的整齐度震惊到！,希酱酱酱,38960357,68662912,71309,1476,220355
【肖战】【搞笑】肖战采访之笑死人系列,Tempo30,453173471,67837042,117475,733,219119
【博君一肖】眼睛里的喜欢是藏不住的!!（高甜糖点合集）,WANJINNY-LIN,556345,58090659,123507,1153,218552
【博君一肖】用野狼disco的方式打开博君一肖 | 王一博x肖战 舞蹈 高能 踩点向,卑微的小橘子,384727940,67854504,73974,2982,217385
【博君一肖】当我们喊小赞和我们喊王耶啵时，小赞的双标笑，害，我们不配,Lu三狼,15922537,68714207,69780,732,215423
博君一肖，一直再瞟gg的dd。盯哥机上线,xinxinmiao145,320251376,69112778,138113,216,213528
天天兄弟聚餐，终于知道钱枫怎么胖的了，王一博在一旁偷笑,无不葵花,472003073,69040567,237299,25,212714
让小水从3名中国男艺人里选出理想型，猜猜选的谁？,我是坏狗狗,17955174,68531532,203671,76,212574
【宋继扬】中国舞超近高清完整版  陈情令泰国粉丝见面会 《孤城》bgm,小悦悦悦悦小,12091644,68558575,94516,690,212468
郭碧婷看到路边的性感美女，立马让向佐看，向佐：你好坏,记录我的生活,404929798,69197710,236083,4,211761
【博君一肖】王大锤雷神之锤VS肖备战瞳孔地震 gg怎么被dd带跑偏了呢……,新时代的美人胚子,86437952,69119828,80225,3970,211605
被气死！愚蠢无知!农村一女子融了家里祖传30多代的簪子给自己打戒指.......,纵横资料,243826171,68462628,232782,12,210710
易烊千玺‖星月神话‖我的一生最美好的场景就是遇见你,偷吃一口小烊,36976961,68679336,68252,3244,210293
【博君一肖】陈情令泰国见面会：眼睛里的喜欢是藏不住的 | 禁搬运  | 圈地自萌,无上老祖的陈情,46062190,68572165,79050,1288,207611
【博君一肖】bjyx是一部连续剧长磕常更新，最新出炉的糖包,二双和一珊,5444924,68848990,81245,659,206976
【建厚娜恩cut】没用的老父亲！还是妈妈安娜靠谱！妈妈真漂亮真温柔！,雨琦君凝,438668153,68628364,223367,5,206428
【博君一肖】震惊！小赞直播翻车！那个骑摩托的又来踹柜门了！（末尾有彩蛋）,月下锦弦,425791498,67379102,67744,3529,205133
【博君一肖】【博肖】揭秘弟弟为什么壮着胆子陪哥哥看恐怖片？,有一只小胖胖,80694115,68789443,96358,1253,201526
【陈情令泰国见面会】【王一博】不忘和无羁  假唱？,神无月花铃,47251677,68580584,68234,7188,200477
海外版尺度就是不一样《我这半辈子》郭德纲 于谦,我的名字就是非常非常长,84466541,69084054,157675,373,200365
电影频道“土味情话”采访朱一龙，这反应很真实了,电影频道融媒体中心,343084292,68418153,77869,6865,200308
【明学】当王嘉尔遇上黄晓明5：本集有彩蛋,药别停的啊呜,5677185,68754110,118928,4469,198081
《陈情令》粉丝见面会 超清完整版,天天总是犯困,38599680,58888088,82849,305,195406
【脱口秀大会第二季】每期爆梗王、高能爆笑时刻合集（1-10期全）,爱吃拌面的刘老师,121783343,69034248,181118,250,193398
