title,author,uid,aid,play,coins,pts
【石原里美】2分钟告诉你什么叫教科书级别的表情管理✔,颜值爆表啦,12855280,69285789,329086,7151,601844
【博君一肖】（双视角）遇见||他懂||心灵契合早已有迹可循,希嘉Heega,21075050,69388777,46778,5251,269413
【博君一肖】回到盛夏 | 一次心动便是永恒 | 愿二位并肩为王,切粒粒,27692819,69403581,42016,5913,256007
【王一博XBeautiful Now/踩点/一键换装】王一博伪剧情向一键换装高燃踩点/舞蹈滑板广告综艺摩托杂志uniq混剪,尼尼微城辣子鸡,32649931,69242065,45758,4259,215902
《我和我的祖国》第1期：泪目！再现香港回归感动瞬间,哔哩哔哩影业,3652604,69400667,224892,2107,212198
甜茶听到他的中文昵称后跑回去给粉丝签名,光影莫里斯,8282964,69441234,186477,178,211597
【博君一肖】9.21泰国见面会最全糖点集合 || 细节分析+显微镜 || 禁搬运,栀子绾绾,3696915,68565720,40802,1437,161471
羡慕嫉妒恨，张天爱哥哥实力诠释——宠妹狂魔,咪咕综艺,457732927,69368952,171733,6,153943
【博君一肖】我已经在坑底躺平了 | 唯粉别点别杠,还是那个琳lin狸,66784776,69145000,44383,1439,153595
【博君一肖】年下狮子男耶啵の抖S控制欲场合全记录,藤井由希x,850859,69316366,36013,1144,147876
【ARASHI】【字】周六的岚朋友 190928 3小时SP 【Aloha字幕组】,Aloha字幕组,14016058,69447514,62174,2120,142054
刘亦菲为阿米尔汗做翻译，狂飙美式英语，台下众女星惊呆了,コーピー酱,396814893,68516307,128947,24,126282
【哔计划·派】井柏然：30岁的“小鲜肉”，挺好！,哔计划,209708163,69191110,132624,245,124139
【博君一肖】xql的深夜视频通话也太甜了吧！,凡星sunny,39730055,67597633,32012,2261,115457
冯希瑶回学校了！！！在校追星，学姐唱的真的好好听，现场超震撼的！,哈哈哈哈那呢,252604810,69205681,95015,87,95464
【博君一肖补充教材·采访学】全是华点，请熟读并背诵,何处是月色,411897955,69377537,24027,567,93636
《哎呀好身材》：张天爱同款哥哥你有木有啊，真的好羡慕,华殇火星,234485900,69377567,98101,6,92760
【肖战】出道三周年应援纪录片,一见博肖误终身丶,84132098,69250077,23193,1817,92290
Chloe目前在ins上传的所有照片（混血颜控的致死药）,收集天空,66963863,65470705,35107,977,90702
（高清版）陈情令泰国演唱会,Z漫漫呀,17422099,68912966,23347,127,85478
神仙颜值！超美俄国小姐姐-Dasha taran!,安吾の万年筆,400332033,64672371,40139,404,80731
【博君一肖】那些震撼我妈的瞬间,翦瞳秋,409996897,66645392,30521,465,78965
【博君一肖】小赞，你一定很爱他（分析"好朋友"，cp脑发散圈地自萌）,hutchukulet,14269304,68999894,18753,460,78610
海外版尺度就是不一样《我这半辈子》郭德纲 于谦,我的名字就是非常非常长,84466541,69084054,62890,141,75413
【脱口秀大会第二季】每期爆梗王、高能爆笑时刻合集（1-10期全）,爱吃拌面的刘老师,121783343,69034248,67825,168,75305
【肖战】190930「慢游旅行家」预告+正片,MOMEI_肖战视频收集站,50402764,69463917,20371,335,73456
【当香菜成为了客服小姐姐】果然声音可以拯救一切~阿伟再次去世~,動漫节操君,349661568,67334107,46734,351,71576
【古装女子发狠群像】谁nèng我，我nèng死谁 ｜ 老娘最slay,常寻寻寻,15597799,69211419,37978,476,71454
【博君一肖】【帧学 | 逐帧分析】用搞笑科学分析你绝对没见过的921泰见糖点 第二期,亦川_,450991900,69324924,19515,1125,70930
《美国有嘻哈》正式预告 Cardi B  T.I.,优秀的团,17676501,69080137,65108,84,70832
亮剑—宿舍冒死翻拍，致敬国庆,小栋爱生活,80045332,69157200,62047,946,70023
【日综】快感受一下真·硬核摇滚 我笑到头炸了哈哈哈哈哈哈！！！,大宝剑联盟,429251,52514850,43505,410,67490
最近韩网热议的中国宝藏男孩们！不火没道理？,韩国东东,39304265,69136692,69934,92,66614
热依扎再谈抑郁症：打不死我的都会让我更强大,bngdmksf,108162703,69326970,49625,136,66349
张雪峰老师谈考研90分钟完整版！听完我想回去考研了 _超清,爱浮云了,190730940,18976919,23835,524,66239
【肖战】0929 采访：正能量偶像新青年战战，你的努力很值得～,肖战深圳后援站,372839583,69396199,32535,200,65832
玄学解析博君一肖时间线【1】哥哥之前受过情伤？,一棵珊瑚占星,327356098,69411090,32589,326,65184
周深0929生日直播唱的《无羁》，哥，你也追剧么,小梦大半奥特喵,23175317,69444954,50794,98,64737
【王霏霏Fei 孟佳 曹璐 周觅】我们的旅行第一期 跟周觅出门真的太南了！,王霏霏Fei,388130012,69428243,47307,1070,63173
【博君一肖】正主又来喂大糖喽！臭情侣小心机防不胜防啊！你get到了吗？,流云飞舞8888,23626057,68909197,19922,404,61605
【博君一肖】  千年  （你是前世未止的心跳）,小鸡炖裤衩,5200659,69522793,6968,977,59612
博君一肖 中磕院招生纪录片 from五喵喵,五喵爱蛋糕,19013094,69228965,16043,1383,59311
Lisa：ROSÉ有钱！我穷死了！买米当卡！blackpink日记,Kpop日常,32782335,69399218,56032,14,58458
【中餐厅3】躲着林大厨 煮泡面吃 像极了躲着爸妈煮泡面的你我哈哈哈哈哈,素还真的小娇妻,12791346,69214929,63159,3,57858
9.29 生驹里奈在中国【甘肃兰州的历史文化美食之旅】旅人 元乃木坂46 生驹里奈,幻海日研社_彗星炒饭,11346858,69445983,39083,152,57035
学霸是怎么说情话的？来看学霸的恋爱！,浙江共青团,384298638,67892040,30739,207,56104
【博君一肖】震惊！小赞直播翻车！那个骑摩托的又来踹柜门了！（末尾有彩蛋）,月下锦弦,425791498,67379102,17584,897,55990
【729声工场】【729的视频日记】-秋游Vlog大赛特辑（上）,729声工场,40389553,69404778,27032,943,55949
【舅舅汪卓成】“铁憨”实锤，现场连线聂导，采访正片来袭,Junesleo,342241693,69310063,28933,90,54902
【“贫穷”追星vlog】为见肖战，坐13小时bus从法国到米兰|4分钟带你最真实地云追星,易饿的壳子,39717267,69219438,30386,1601,54347
【国民妹妹/IU李知恩混剪】心动大挑战，秒杀系！,沙勒巴基斯坦,346048256,69165333,27966,745,54200
【郭子凡】回应采访频出圈：全靠剪辑！我很平凡！上B站看沙溢老师拉郎视频？UP主们你们已经被凡锁定了！,这是我的新墙头,382996893,69470728,29806,582,54034
郑爽习惯性道歉，怕胖不吃巧克力，还让张恒管着自己,记录我的生活,404929798,69297420,57780,2,53611
[完整版]宋继扬舞蹈solo|陈情令泰国见面会|道长太撩人了怎么办,青者慕云,356089097,68548414,23749,134,53468
【博君一肖】王老师舞蹈教学对比分析帖//,哦呀一粟米,21959157,69409520,18630,206,52939
对我来说最强请假理由：老师，我请假，去联合国演讲......（我这么大时还在玩农药！！！唉╯﹏╰）,Brother_Yellow,409949440,68332878,47252,38,52895
当林俊杰开了自己都不知道的车.....太可爱了！,沉默的骑士VIP,65843847,69208201,51221,64,52455
【博君一肖】那些让我觉得bjyxszd的瞬间（第五弹）,二百四十四和五十一,8252124,69416940,24022,189,52332
