title,author,uid,aid,play,coins,pts
【大事件】第六季，最终回！暴走大事件第六季 33,暴走漫画,883968,66831615,2495482,296898,3302141
【博君一肖】那些震撼我妈的瞬间,翦瞳秋,409996897,66645392,841841,19210,2163071
【博君一肖】xql的深夜视频通话也太甜了吧！,凡星sunny,39730055,67597633,617650,39518,2100428
【博君一肖】9.21泰国见面会最全糖点集合 || 细节分析+显微镜 || 禁搬运,栀子绾绾,3696915,68565720,694976,21238,2008972
神仙颜值！超美俄国小姐姐-Dasha taran!,安吾の万年筆,400332033,64672371,1136522,12728,1878155
【博君一肖】震惊！小赞直播翻车！那个骑摩托的又来踹柜门了！（末尾有彩蛋）,月下锦弦,425791498,67379102,434125,31571,1708870
【博君一肖】一见钟情分析——假如我年少有为不自卑,提子苹果红桃,20078938,66686851,522368,13567,1409172
【日综】快感受一下真·硬核摇滚 我笑到头炸了哈哈哈哈哈哈！！！,大宝剑联盟,429251,52514850,1386823,12351,1383041
【博君一肖】高甜榜TOP 100,野蛮生长的butterfly,21524725,66648743,290803,11750,1336588
邓丽君的皮是真的皮,热视频,22706176,68638951,996628,11099,1297948
Chloe目前在ins上传的所有照片（混血颜控的致死药）,收集天空,66963863,65470705,544804,15807,1290111
【博君一肖】狗崽崽就是这么养出来的|来自肖老师的温柔宠溺,高压兔本兔,7391561,66118232,635174,4343,1197356
【每天一遍，防止抑郁】跟着肖战/王一博抖起来！"COINCIDANCE",言之命至ww,11979788,66522799,332895,23667,1168030
【杨幂沈腾】你肯定会看三遍的爆笑视频 中国达人秀 金星 王小旭,油泼辣喵,454869228,63388253,1239916,10384,1167836
《陈情令》泰国见面会,燕姉啊,11182555,68523961,305665,4311,1115441
【博君一肖】这是一个王甜甜在战哥面前撒娇/ooc的合集 (持续更新),小哈甜度超标,106583380,66335567,828679,3042,1112857
【博君一肖】那些年王憨憨的打脸瞬间,REAL--MNY04040,416766858,65914111,575714,4021,1102714
【博君一肖】真相是真「禁一切搬运 不授权」,切粒粒,27692819,68588322,270504,22865,1096723
333秒程潇挑战 看你坚持多久！,樱樱樱柠,4743141,66711707,903483,3553,1085280
【Queendom】高清全集(持更至E05.190926中字) Mnet女团回归大战女王之国Queendom中字合集持续更新,喵儿快回家,13007433,65937862,1604252,2185,1085055
【博君一肖】【帧学 | 逐帧分析】用搞笑科学分析你绝对没见过的921泰见糖点,亦川_,450991900,68836458,280556,16323,1016345
[完整版]宋继扬舞蹈solo|陈情令泰国见面会|道长太撩人了怎么办,青者慕云,356089097,68548414,516267,4047,1011016
每当生活不易时，就点进来看看，想死的心都有了,头上长豆芽1,108903673,66449111,777230,5307,1005703
【九大dm定律】【博君一肖】bgm:【勾指起誓】ggdd踩中的那些设定!  他来了！！带着他的大锤来了！！！,西玖泽,184545286,66784214,432351,5941,1001286
你要的【蔡徐坤】版《野狼DISCO》来了！一起画彩虹走起！（from：宝石gem你的老舅）,坤牌星星牙,378137555,68295727,736584,28567,984302
【石原里美】2分钟告诉你什么叫教科书级别的表情管理✔,颜值爆表啦,12855280,69285789,538061,11586,922917
【肖战慎入】【喜欢剪一些让肖战尴尬的视频（不是】【肖战×炭烧兔爪】当肖战放弃防晒后 百闻不如一见的炭烧兔爪爪合集,浓墨thick-ink,389203004,66599607,356508,8123,920395
【博君一肖·复盘·补课】来，我们走一次教材！,何处是月色,411897955,68196787,228797,8327,917761
【互动游戏】【明星大侦探 || 窒息の中餐厅】一名死者，五个嫌疑人，究竟谁是真凶？,剪刀手小玉,159601452,67330811,481741,24959,913567
学霸是怎么说情话的？来看学霸的恋爱！,浙江共青团,384298638,67892040,657232,4696,912781
《陈情令》粉丝见面会 超清完整版,天天总是犯困,38599680,58888088,350588,1457,875949
【博君一肖】新发现的糖     饭拍  ♡.,琑进了就别出来了,239745065,66596394,367169,4061,875248
【博君一肖】甜度500% 糖点合集,小赞的酷盖,74083321,66350079,185245,7612,869456
【博君一肖】超甜双人采访合辑 25分钟让你磕到上头,卑微的小橘子,384727940,62528458,446958,3773,869082
【博君一肖】好OK都答应你（占有欲和妻管严的双向管制）,WANJINNY-LIN,556345,62275335,498160,6777,867357
【陈情令】泰国发布会搬运火锅视频,圆滚滚的阿菁,16195901,68451397,354324,1773,854853
【博君一肖】我好像又磕到了||关于某战绯闻,啵啵啵菠萝仔仔,16475943,67444471,492485,3918,847619
【博君一肖】【bjyx】16学之深度研究报告 part4 完结篇,白胤,273711,68126349,209407,11839,831866
神仙下凡！木村拓哉 夜空的彼岸 全网最清画质 1998年红白歌会,艺酱lesley,407053767,58087009,485887,5075,831189
王一博个人 创造导师  能看清耳洞的超清 竖屏系列2 暴力剪辑 绝美 创造101,6S2V,15130642,66689719,209535,9800,826123
当蔡徐坤英文歌获得华语金曲奖后，我才看懂万万没想到的这一段。,淡定的卤蛋,505678,66723647,2124818,3354,824587
YouTube播放2.2亿次的视频！乒乓球戏法投篮，看看外国大神的高能瞬间,YouTube_Videos,390161033,65981796,1135677,3297,821747
【博君一肖】【双视角】我怀念的||男孩,不爱吃榴莲,4501038,62394197,495079,11203,815691
【博君一肖】我已经在坑底躺平了 | 唯粉别点别杠,还是那个琳lin狸,66784776,69145000,226534,8398,791420
【王一博】 吹灰舞|连震舞 官方直拍1080P,ECCENTRIC-85,79688526,64080848,294753,5706,788789
［陈情令男团全员爱开车石锤！］博大精深的中华文字科普,新时代的美人胚子,86437952,64941959,313154,10418,787987
【博君一肖】起风了-夏天的风,等到冬天一起滑雪吖,8623895,65518734,219530,12440,782888
【斋藤飞鸟】AWSL！一遍心动，两遍入坑，三遍血槽空！,为什么会吃不胖,12898850,61220621,473497,10466,770684
博君一肖 || 他真的很喜欢你 || 双视角,No9量贩机,5776615,64040352,311204,5529,740233
突然明白了为什么选蔡徐坤,Cowsep_,154300360,63538649,864301,2061,723965
【细节分析向】六分钟总结那些你错过的吃醋博,高冷博的狂热粉,282095211,62067800,490284,2515,722142
【当香菜成为了客服小姐姐】果然声音可以拯救一切~阿伟再次去世~,動漫节操君,349661568,67334107,606151,3127,719742
【博君一肖】新花絮！关系不好实锤！天这么热还凑那么近我看你们想热死对方！,想不粗名字怎么办,279618942,67623905,331526,2464,719490
《超级变变变》满分评价的「间谍大作战」！真的都让人叹为观止啊！(≧σ≦),laughseejapan,15819374,68253997,531631,4445,715551
【王一博】慎入！内容过于沙雕|互联网有记忆|怀疑我会被web暗鲨,不愧是我番茄,287883433,66215010,295925,4511,707207
【爆笑单口】嘲讽英国脱欧,米国脱口秀,142371069,66310581,547993,5640,697093
