title,author,uid,aid,play,coins,pts
史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,Director鹤唳云端,22779089,66583807,313902,57361,1701172
他们 死在了祖国胜利的前夜,噩梦Crazy,6711923,68180250,393146,50438,1246843
再来亿遍！吴京把哔哩哔哩说成呷哺呷哺？？——9.27《攀登者》主创见面会【bilibili观影团】,哔斯卡金像奖,32708626,69269057,2288464,6656,991925
最强表白！【238位顶级摄影师献礼！4K“国家宣传片”《韵动中国2019》震撼来袭】,中国延时摄影联盟,458102256,69258653,234303,39703,971227
【野狼Disco】星爷真情演绎版~,终极大熊,24812187,69282629,413761,43997,895027
【首映影评】攀登者：拍的烂！但吴京真的不背锅！,轩邈Elias,3386870,69334247,850156,5869,580192
一部笑到抽筋的韩国电影，平均每1分钟笑2次！正峰欧巴《伟大的愿望》,一辰电影,387380754,69169933,622490,3939,576108
【超燃/热血】这盛世如你所愿—10分钟爆燃中国近代史电影混剪（传承先烈遗志，共筑强国盛世）,御前带刀厨子,4561197,56031367,223379,15601,559154
电影最TOP 134:《哈利•波特》全系列解读（下）,电影最TOP,17819768,68940008,321079,15533,537693
【阿斗】深度解读《异形契约》都说烂尾，其实你们都冤枉它了！,阿斗归来了,21837784,69400446,484730,21311,537498
神反转！蜘蛛侠回归漫威！索尼迪士尼高调复合,努力的Lorre,7487399,69243627,689628,6104,537164
博君一肖 | 年少有为·伪现实剧情向,_Lxuxuuuu,281227344,68758742,103485,11110,516210
电影《我和我的祖国》预告片1080P完整版-不分集，七个故事，完整15分钟,Qdeig,131140476,68412044,336051,5691,503525
【盘点】逻辑最缜密的世界顶尖推理作品TOP10,看不见的罗杰,7518633,69137619,142002,5210,468388
超燃含泪混剪：中国你惹不起！,励志少年派,124050636,61505407,247769,8513,447684
你也想起舞吗？前方有毒！万恶之源与名场面舞蹈，要素过多，抖就完事了。,沉默的xiaoK,400528713,68801267,220704,11096,446541
【看啥片儿】《杀人回忆》凶手找到了，但我们仍在被它折磨,暴走漫画,883968,69161817,399991,16390,445546
妹子得了痔疮，医生说每日提肛500下就能好，结果提着提着忽然。。,搞笑院长,28922022,69116327,548058,239,419164
【她身子脏了 但心不脏】每一个人都在用自己的方式守卫着,温豆腐酱,307815452,66388157,155955,8682,392643
【片片】岛国又出神剧，炸学校，打警察，囚禁29个学生，这个老师要干啥？,小片片说大片,10119428,69242184,308882,6938,376154
Old Tang Road,哦让阿,9197702,67212161,125107,8695,373769
【人物志】尊龙-惊艳了西方世界，被遗忘的华人之光，造梦的孤独灵魂。,脑洞菌Alee,390763357,69177103,224724,6320,353073
【如你所料】攀登者扑街了！吴京表示：带不动！,勤时铭悦,415470674,69390337,416785,385,352186
【老邪吐槽】给蜗牛打伞2.0，爆笑吐槽狗血神剧《国民老公2》,老邪说电影,154021609,69245237,378693,4684,351073
胥渡吧献礼祖国70周年：神配音版《我爱我的祖国》,胥渡吧,8112659,69012222,183703,16808,347829
《我和我的祖国》超急速观影体验~,愤怒六娃,8230941,69416116,385814,4024,341157
漫威disco？当漫威全员遇上《野狼disco》，蹦迪就完事了！,沙雕台,35322395,69108988,159962,10011,338248
【1080P/极度舒适/踩点/高燃】解放军仪仗队女兵英姿飒爽的视觉盛宴！,浙江共青团,384298638,68532190,192429,6599,331723
【博君一肖】“他是我的小朋友”,张子睿很麻烦,26841481,68931570,66166,3594,267222
【刘老师】走心推荐让我从头哭到尾的献礼电影《我和我的祖国》,刘老师说电影,79061224,69478483,224170,5381,266688
【中国女性0-100岁的美】,梦里寻风い,395937872,53491231,136072,3567,264692
硬币料理,卧龙寺,258457966,68902060,187546,2093,260752
前方极度舒适！怪兽高燃混剪！享受来自电影怪兽们的视听盛宴吧！！！,大白兔白不白,101575318,69464437,127315,3230,241623
电影《我和我的祖国》1080p预告合集 我和我的祖国，一刻也不能分割！中国电影，国庆钜献！,凌侃侃壹号,35789151,63831681,202013,998,236579
【有种/燃向】少年们，中国的未来拜托了。,喜东东的小尾巴,7112166,67070498,71892,7118,233406
《我和我的祖国》真的燃，100多人看完电影直接开唱,狂阿弥爷,3433092,69431161,217373,2458,232474
【混剪/反社会人格者】你可曾见过，恶魔的样子,飞雪の祈り,14744557,68646294,78911,2367,232087
高甜又搞笑的小成本网剧，可惜太少人看啊！《我的邻居睡不着》安利,哇哇哇妹,138832847,69463604,167145,5345,230814
好演员就是不一样，一张嘴就是经典，笑得我前前后后看了几十遍,电影金山角,403729339,69037429,203602,1031,224796
豆瓣9.2，这才是国庆档需要的电影，该拿50亿票房！,大象放映室,49246269,69522667,118531,10323,216048
【芒种丨古装女子群像】娇俏灵动的小仙女群像丨踩点练习,残暴的灌汤包,59374178,67117059,103145,1617,207624
【好莱坞黄金年代女神群像】永不褪色的经典美丽 ‖ 你无法想象我承受着怎样的美颜暴击,何书烟,17707887,68815868,55944,2001,204930
影帝演技互飚,国际影厅,17443853,68438051,210761,53,203444
【祭·英烈】中国的未来，拜托了！【百万剪辑狮】,共青团中央,20165629,32705017,70989,5927,201281
【博君一肖丨陈情令】【画精X画师】神笔魏婴竟然画出了前世今生的爱人｜魏婴x蓝湛｜,珞云裳,40261172,68852173,29828,4398,194942
【暗黑/黑化群像】恶之花丨在天亮之前被驯化 涌入弱水三千恒河沙,故人西辞远,12594039,69069838,67804,2248,185388
【七代小丑/踩点/混剪/高燃】前方高能！欢乐与惊悚的踩点视觉盛宴！希斯莱杰诞辰40周年纪念。,迪亚瓦尔Diaval,27259842,48220814,81014,4265,183773
【虫哥】魔性解读超长神剧《活佛济公3》，剪辑师最终的倔强！！！,虫哥说电影,29296192,69049914,162368,4003,180110
