title,author,uid,aid,play,coins,pts
史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,Director鹤唳云端,22779089,66583807,426033,69158,2084945
他们 死在了祖国胜利的前夜,噩梦Crazy,6711923,68180250,776511,98486,2064988
博君一肖 | 年少有为·伪现实剧情向,_Lxuxuuuu,281227344,68758742,327131,51075,1881570
你也想起舞吗？前方有毒！万恶之源与名场面舞蹈，要素过多，抖就完事了。,沉默的xiaoK,400528713,68801267,753587,40747,1283712
电影《我和我的祖国》预告片1080P完整版-不分集，七个故事，完整15分钟,Qdeig,131140476,68412044,1043364,19841,1237342
电影最TOP 134:《哈利•波特》全系列解读（下）,电影最TOP,17819768,68940008,761365,85339,1229561
【超燃/热血】这盛世如你所愿—10分钟爆燃中国近代史电影混剪（传承先烈遗志，共筑强国盛世）,御前带刀厨子,4561197,56031367,427505,30672,975784
Old Tang Road,哦让阿,9197702,67212161,375562,27610,971692
再来亿遍！吴京把哔哩哔哩说成呷哺呷哺？？——9.27《攀登者》主创见面会【bilibili观影团】,哔斯卡金像奖,32708626,69269057,1929245,5595,900973
鄙人，毛人凤/魔兽世界怀旧服/霜语/狂人与风/主播毛装备事件,大逗夫,406511261,68748108,564144,57687,898822
【博君一肖/泰国】纪泰国之行（纪实向）up剪了9个小时，快晕倒了，希望大家认真看完.,是徒徒啊,1761322,68647794,191623,12564,872406
胥渡吧献礼祖国70周年：神配音版《我爱我的祖国》,胥渡吧,8112659,69012222,482351,45724,830394
【1080P/极度舒适/踩点/高燃】解放军仪仗队女兵英姿飒爽的视觉盛宴！,浙江共青团,384298638,68532190,521527,19501,809136
【混剪/反社会人格者】你可曾见过，恶魔的样子,飞雪の祈り,14744557,68646294,254503,7650,656405
最强表白！【238位顶级摄影师献礼！4K“国家宣传片”《韵动中国2019》震撼来袭】,中国延时摄影联盟,458102256,69258653,155185,28490,656340
【片片】《他人即地狱》5-6，窒息式泡菜国好邻居，笑脸背后隐藏惊天反转！,小片片说大片,10119428,68956101,619665,14016,640956
【虫哥】魔性解读超长神剧《活佛济公3》，剪辑师最终的倔强！！！,虫哥说电影,29296192,69049914,510220,24503,595924
【博君一肖】“他是我的小朋友”,张子睿很麻烦,26841481,68931570,156888,7880,591243
豆瓣9.4史上最强美剧《权力的游戏》新手速通完全讲解，经典情节欣赏 S1E1,努力的Lorre,7487399,69048701,298662,23782,585221
超燃含泪混剪：中国你惹不起！,励志少年派,124050636,61505407,318276,11132,550714
一部笑到抽筋的韩国电影，平均每1分钟笑2次！正峰欧巴《伟大的愿望》,一辰电影,387380754,69169933,511869,3254,509675
【看啥片儿】《杀人回忆》凶手找到了，但我们仍在被它折磨,暴走漫画,883968,69161817,405887,17662,495395
【野狼Disco】星爷真情演绎版~,终极大熊,24812187,69282629,223190,22866,489879
【阿斗】人类的起源竟然是这样？异形前传《普罗米修斯》神秘的外星飞船上藏着惊天大秘密,阿斗归来了,21837784,69053291,381812,23759,488643
【中国女性0-100岁的美】,梦里寻风い,395937872,53491231,249057,6808,475784
硬币料理,卧龙寺,258457966,68902060,360964,4208,473632
以前的香港女明星都像是从天上来到人间,名曰老饕,14333178,68540529,238012,3783,466152
【刘老师】逆天吐槽怪异君的电影处女作《金陵神捕》,刘老师说电影,79061224,69024472,576423,4182,462860
喜迎国庆~【声入人心】《我和我的祖国》《国家》《我爱你中国》《我的祖国》,山雨山雨淋山雨,14041515,68445797,193551,16537,450856
【祭·英烈】中国的未来，拜托了！【百万剪辑狮】,共青团中央,20165629,32705017,154222,13518,427852
【好莱坞黄金年代女神群像】永不褪色的经典美丽 ‖ 你无法想象我承受着怎样的美颜暴击,何书烟,17707887,68815868,116539,4947,427430
"你说四大皆空，却紧闭双眼。要是你睁眼看看我，我不信你两眼空空？",锦书致南辞,90142376,68059518,242133,6644,422433
