title,author,uid,aid,play,coins,pts
他们 死在了祖国胜利的前夜,噩梦Crazy,6711923,68180250,214996,29223,756183
史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,Director鹤唳云端,22779089,66583807,138517,23743,754593
【野狼Disco】星爷真情演绎版~,终极大熊,24812187,69282629,190571,21131,428753
【首映影评】攀登者：拍的烂！但吴京真的不背锅！,轩邈Elias,3386870,69334247,455566,2863,393200
再来亿遍！吴京把哔哩哔哩说成呷哺呷哺？？——9.27《攀登者》主创见面会【bilibili观影团】,哔斯卡金像奖,32708626,69269057,359219,1061,342796
《我和我的祖国》超急速观影体验~,愤怒六娃,8230941,69416116,383998,3900,339306
【阿斗】深度解读《异形契约》都说烂尾，其实你们都冤枉它了！,阿斗归来了,21837784,69400446,296317,10177,337820
最强表白！【238位顶级摄影师献礼！4K“国家宣传片”《韵动中国2019》震撼来袭】,中国延时摄影联盟,458102256,69258653,79118,11213,317258
【如你所料】攀登者扑街了！吴京表示：带不动！,勤时铭悦,415470674,69390337,363226,263,297253
【盘点】逻辑最缜密的世界顶尖推理作品TOP10,看不见的罗杰,7518633,69137619,84993,3166,271700
【刘老师】走心推荐让我从头哭到尾的献礼电影《我和我的祖国》,刘老师说电影,79061224,69478483,224170,5381,266688
电影最TOP 134:《哈利•波特》全系列解读（下）,电影最TOP,17819768,68940008,142760,5551,256935
【超燃/热血】这盛世如你所愿—10分钟爆燃中国近代史电影混剪（传承先烈遗志，共筑强国盛世）,御前带刀厨子,4561197,56031367,94645,6491,243782
前方极度舒适！怪兽高燃混剪！享受来自电影怪兽们的视听盛宴吧！！！,大白兔白不白,101575318,69464437,127315,3230,241623
【她身子脏了 但心不脏】每一个人都在用自己的方式守卫着,温豆腐酱,307815452,66388157,88743,5336,237612
《我和我的祖国》真的燃，100多人看完电影直接开唱,狂阿弥爷,3433092,69431161,217373,2458,232474
超燃含泪混剪：中国你惹不起！,励志少年派,124050636,61505407,118600,4127,231633
高甜又搞笑的小成本网剧，可惜太少人看啊！《我的邻居睡不着》安利,哇哇哇妹,138832847,69463604,167145,5345,230814
电影《我和我的祖国》预告片1080P完整版-不分集，七个故事，完整15分钟,Qdeig,131140476,68412044,149702,2281,230085
豆瓣9.2，这才是国庆档需要的电影，该拿50亿票房！,大象放映室,49246269,69522667,118531,10323,216048
博君一肖 | 年少有为·伪现实剧情向,_Lxuxuuuu,281227344,68758742,33545,2982,165269
【1080P/极度舒适/踩点/高燃】解放军仪仗队女兵英姿飒爽的视觉盛宴！,浙江共青团,384298638,68532190,86282,3076,158963
【人物志】尊龙-惊艳了西方世界，被遗忘的华人之光，造梦的孤独灵魂。,脑洞菌Alee,390763357,69177103,95640,2353,152684
Old Tang Road,哦让阿,9197702,67212161,44087,2887,139259
一部笑到抽筋的韩国电影，平均每1分钟笑2次！正峰欧巴《伟大的愿望》,一辰电影,387380754,69169933,119410,848,138785
【牛叔】恐龙灭绝的原因，99年事件的真相，人类距离灭绝只差一次大冲撞,牛叔万岁万岁万万岁,58852835,69454164,118964,1309,129638
【小姐姐们】献礼国庆燃向混剪 此生无悔入华夏 来世愿在种花家,话很多的小姐姐们,6739643,69513726,57399,7248,126665
你也想起舞吗？前方有毒！万恶之源与名场面舞蹈，要素过多，抖就完事了。,沉默的xiaoK,400528713,68801267,55791,2519,113703
有缘再见面,dilidark,24096298,69235647,117028,3,113354
【有种/燃向】少年们，中国的未来拜托了。,喜东东的小尾巴,7112166,67070498,32456,3160,111964
【好莱坞黄金年代女神群像】永不褪色的经典美丽 ‖ 你无法想象我承受着怎样的美颜暴击,何书烟,17707887,68815868,28042,929,106625
电影《我和我的祖国》1080p预告合集 我和我的祖国，一刻也不能分割！中国电影，国庆钜献！,凌侃侃壹号,35789151,63831681,92624,414,104497
江玉燕怕皇上怀疑她假孕 只好妥协让刘喜诊脉 刘喜诊脉方式十分奇怪,齐天磊的呆萌媳妇,316034959,69394103,100234,18,101413
你不知道我会功夫吗？路见不平，惩恶扬善,小竺仔,51458476,67570188,50544,3520,97559
中 国 版 死 侍,Alone-叶枫,241672245,68365310,92358,91,93473
【小丑混剪】我是个品味简单的人。我喜欢炸药…枪炮…和汽油。,混剪晓佳,4779837,68082068,32823,1901,89590
神反转！蜘蛛侠回归漫威！索尼迪士尼高调复合,努力的Lorre,7487399,69243627,82120,629,89316
【博君一肖】有些人一谈恋爱就控制不住自叽，王大锤VS肖备战,七食堂的小阿姨,272470961,69245907,44087,751,87238
【中国女性0-100岁的美】,梦里寻风い,395937872,53491231,45823,1086,84953
误入传销组织，在里骗吃骗喝，传销老板让他拿钱滚蛋,皮皮打酱油,456964405,69355778,90620,34,83187
《钢铁侠》彩蛋曝光，早在11年前就布局了X战警,胶片看电影,46545652,69458712,71583,990,82640
【混剪/反社会人格者】你可曾见过，恶魔的样子,飞雪の祈り,14744557,68646294,21981,797,81145
【七代小丑/踩点/混剪/高燃】前方高能！欢乐与惊悚的踩点视觉盛宴！希斯莱杰诞辰40周年纪念。,迪亚瓦尔Diaval,27259842,48220814,35150,1889,81038
【老邪吐槽】给蜗牛打伞2.0，爆笑吐槽狗血神剧《国民老公2》,老邪说电影,154021609,69245237,79441,604,79876
人生大片：高考，是台搅拌机。,布兜大师,411582895,68693805,26621,954,79247
【视觉短片】人体舞蹈粒子特效,侧面的我,23197603,26163844,48389,302,78726
【祭·英烈】中国的未来，拜托了！【百万剪辑狮】,共青团中央,20165629,32705017,26525,2198,77443
《攀登者》：活着不好吗？,蛋蛋秀,20823871,69428940,77322,398,76267
超高难度沙画记录历史名场面，庆祝中华人民共和国成立70周年,方浪浪,9452089,69392906,30764,4425,75891
妹子得了痔疮，医生说每日提肛500下就能好，结果提着提着忽然。。,搞笑院长,28922022,69116327,79875,34,75396
神反转！偷情被老婆发现，淡定应对撇清自己，到头来反骂老婆一顿,潮影大咖show,470338603,68910729,76970,10,73262
【片片】不剧透评价《中国机长》，一场惊险刺激的高空之旅！,小片片说大片,10119428,69370275,67616,985,71621
#1011【谷阿莫】5分钟看完2019为什么要骗我看这种电影《宇杀员》,谷阿莫,8578857,69401982,75420,215,70803
【小丑混剪】疯狂的思绪贯穿我的脑海，而我只是个惹是生非的怪胎,叫我L桑,38209844,69305251,34324,1296,70601
《夏洛特烦恼》未上映片段,卧龙寺,258457966,69216074,76419,4,70457
【忘羡】细节剖析魏无羡究竟有多爱蓝忘机||谁说我们是单箭头||我爱你,藤美,5737649,67584268,12395,862,70318
【不良disco】来画龙就完事了,十块钱的圈外男友,12634081,67641198,41795,1474,69730
胥渡吧献礼祖国70周年：神配音版《我爱我的祖国》,胥渡吧,8112659,69012222,34752,2971,68916
《航海王：狂热行动》中国大陆定档预告,人人电影网,300671491,69426607,68447,97,67801
魔改版《神话》【朱一龙/刘昊然】【阿苏勒/吕归尘/李品x花无谢/井然】||你是我心中唯一美丽的神话,昔未迟-Fairy,4393228,69324174,14157,1982,67205
六点半：美好的青春记忆：有个姑娘总让我给她拧瓶盖！,六点半,19286458,69509569,68841,384,67019
漫威disco？当漫威全员遇上《野狼disco》，蹦迪就完事了！,沙雕台,35322395,69108988,29873,1919,66229
【李栋旭|100秒狙击】这是40岁的人该有的亚子？！,贼拉机智的七仔,294683658,67548885,26802,549,65896
4分钟看完虎门销烟到新中国成立，今日这盛世如你所愿！中国近代编年史影视超燃混剪！,向上de骚年,211852190,68935701,22874,1193,65478
【芒种丨古装女子群像】娇俏灵动的小仙女群像丨踩点练习,残暴的灌汤包,59374178,67117059,33642,438,65352
【吕子乔】请叫我—人生导师,残墨ヾ晓凡,360178198,66549037,26466,1485,64921
【中国70年混剪】我和我的祖国，我爱我的祖国,青厌君,2386794,69441525,23627,3012,64561
【欧美恐怖电影混剪/踩点/黑化/1080P】I'm meaner than my demons,LILITH放映室,406270151,68869880,18169,898,63852
