title,author,uid,aid,play,coins,pts
史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,Director鹤唳云端,22779089,66583807,2796720,524975,13465633
他们 死在了祖国胜利的前夜,噩梦Crazy,6711923,68180250,3455992,466026,8326944
疯狂吐槽上海堡垒！看完这个电影感觉智商被侮辱了！,LexBurner,777536,66649415,3705038,267589,3564425
【超燃/热血】这盛世如你所愿—10分钟爆燃中国近代史电影混剪（传承先烈遗志，共筑强国盛世）,御前带刀厨子,4561197,56031367,1417369,111176,3020168
【电影史话01】他开创了一个时代——新海诚作品全点评,木鱼水心,927587,67771148,1008998,155885,2906046
【剧版忘羡】兔缘（仙君叽X兔子精羡/生子提及/全声剧情甜向HE）,一罐儿盐,4087126,66830293,480837,79167,2587319
豆瓣9.0，中国原子弹之父打脸美国，这部神片竟然不到8000人看？《横空出世》,扁豆看片,33488229,66833577,1276272,146746,2386802
【DC/漫威/踩点】前方高能！超英大乱斗,白衣Childe,395447274,63800759,1302380,79231,2200550
哪吒抄袭？一场史诗级的碰瓷儿,三代鹿人,5870268,65650848,822271,156180,2152950
博君一肖 | 年少有为·伪现实剧情向,_Lxuxuuuu,281227344,68758742,360676,54057,2027100
【她身子脏了 但心不脏】每一个人都在用自己的方式守卫着,温豆腐酱,307815452,66388157,902224,53679,1954944
【吕子乔】请叫我—人生导师,残墨ヾ晓凡,360178198,66549037,970183,52422,1947573
【博君一肖】天才杀手x国际刑警「警匪大电影」Killing Sean（哥哥，我永远都不会朝你开枪）,切粒粒,27692819,66443849,426463,46447,1875091
【互动视频】快穿之反派男主爱上我（刘亦菲/刘昊然/邓伦/王一博/肖战/吴磊/白敬亭）,兰彻lancche,9813844,67862003,704229,55661,1746253
【小丑混剪】我是个品味简单的人。我喜欢炸药…枪炮…和汽油。,混剪晓佳,4779837,68082068,737291,49111,1715207
电影最TOP 133:《哈利•波特》全系列解读（上）,电影最TOP,17819768,68157398,1162474,87437,1674402
【芒种|古装女子踩点群像】若佛说，放下执着,玉米汤很甜,49132119,66599798,911774,21758,1670317
前方高能！感受中国武术带来的视觉冲击“这就是专业！”,z_z骚糖,34302042,64640899,1212955,44783,1573305
【七代小丑/踩点/混剪/高燃】前方高能！欢乐与惊悚的踩点视觉盛宴！希斯莱杰诞辰40周年纪念。,迪亚瓦尔Diaval,27259842,48220814,792054,40166,1475735
什么才是真正的演员？点进来让周星驰告诉你！,SAO东西又在说SAO话,11062819,66368226,1185064,64046,1443814
