title,author,uid,aid,play,coins,pts
【何同学】挺稳的 华为Mate 30 Pro深度体验,老师好我叫何同学,163637592,69358135,1833392,267874,2878429
iPhone 11 上手评测 | 爱否出品,爱否科技FView,7458285,69443831,203414,25445,401664
「花生説」今年或许就是苹果低头的开始【iPhone11系列深度测评】（上篇）,花生説,25480023,69258497,256386,6575,305979
搞机零距离：华为Mate30 Pro评测 使用一周从失落到真香，越用越香！,钟文泽,25910292,68998155,253449,5240,270516
【短的发布会】2万块的小米MIX Alpha，年轻人第一款买不起的小米手机！,短的发布会,287795639,68928851,225396,4087,268515
【装机猿】小白实体店防坑！华硕为啥打人？5899航班,远古时代装机猿,35359510,69291644,227555,3212,250048
【极客湾】iPhone11深度性能分析，A13降频？发热？信号？续航？,极客湾Geekerwan,25876945,69407903,182313,6868,230161
华为Mate30Pro和BOSE智能音频眼镜开箱体验【BB Time第222期】,TESTV官方频道,11336264,69435883,223022,2359,229009
【小白开箱】山寨机竟然也有挖孔屏，而且屏占比连苹果都自叹不如！,小白开箱,17474339,69069188,183940,6758,218776
「科技美学直播」零售版华为Mate30 Pro开箱上手 | 对比iPhone 11等市面热门机型颜值 国内5799起售 5G版本6899起,科技美学,3766866,69072979,180556,969,168576
【叶子解说】让你的外设灯光显示史蒂夫血量！体验MC的RGB玩法！,叶子解说世界,384032870,69297406,69101,5822,151146
【杂谈No.5】不要随便帮女生装系统......,我是阿Jun,333254520,65423253,121841,2730,149672
小米AIpha实际上手视频，不是玻璃柜，是上手！,倪沁蝶丶,10122950,68890150,151985,13,138314
如何打造一台高效生产力的电脑（视频剪辑\PS\CAD\特效制作\建模\UG需要一台什么样的电脑）,喵喵折App,338748561,69507522,53561,4114,135018
iPhone 11以前质量最好的手机-iPhone XR【艾奥科技】,艾奥科技,325272035,69031068,14632,1718,120276
油管科技达人评价小米MIX Alpha代表未来手机The_Most_Futuristic_Smartphone_On_Earth,静宸先生,59582562,69155239,114869,28,114647
小米MIX Alpha米家上手 这颜值如何？,可爱的小潇潇,179953783,68849806,119176,34,114392
5G测试中令人尴尬的事实（小米9pro）,cxxxxxxp,6281136,69222801,113604,33,111747
全网第一开箱：王自如开箱小米MIX Alpha？当王自如用打开三星的方式打开小米MIX Alhpa会发生什么？,奥格尔,30617316,69203205,113207,31,110939
【享拆】iPhone 11 拆解：加量又减价,XYZONE官方频道,347441270,69375223,95724,1923,107139
网友吵架生气用菜刀把刚买3个月的笔记本砍了一顿,笔记本维修厮,382666849,69207607,100405,538,107101
王自如上手华为 Mate30 Pro：重构屏幕和相机,ZEALER官方频道,8482768,69044932,100732,155,103155
【B站最良心】19年大学生笔记本选购全攻略！15分钟从小白到大神，高考生福利！,熊猫P4ND4,37390043,54269405,43561,3036,98955
「E周报」17：iPhone 12无刘海渲染图曝光，台积电5nm工艺明年量产,VZOO,4211655,69288881,70417,3373,97896
【爱搞机】iPhone 11评测：这就是大家都喜欢的苹果旗舰！？,爱搞机,17138783,68733672,65489,3682,93375
华为mate30 pro 7680帧 快乐源泉：扎气球,NJU鲸落,32831819,69279411,98610,53,90712
华为5G宣传片：《穿越时空》,花粉传媒,380867292,68009720,70229,217,88966
【装机大赛】斥巨资！硬核肥宅自制 bilibili战机,ACModified,24373027,68750838,39841,4113,85084
