title,author,uid,aid,play,coins,pts
【何同学】挺稳的 华为Mate 30 Pro深度体验,老师好我叫何同学,163637592,69358135,1166779,197735,2185590
【爱搞机】iPhone 11评测：这就是大家都喜欢的苹果旗舰！？,爱搞机,17138783,68733672,497084,52552,791823
搞机零距离：华为Mate30 Pro评测 使用一周从失落到真香，越用越香！,钟文泽,25910292,68998155,859703,31148,758266
【短的发布会】2万块的小米MIX Alpha，年轻人第一款买不起的小米手机！,短的发布会,287795639,68928851,757655,18717,692633
「科技美学现场」小米MIX Alpha现场抢先体验 | 新环绕屏幕180%屏占比 | 亿级像素+5G | 售价19999元,科技美学,3766866,68858221,923234,4537,590043
【装机大赛】斥巨资！硬核肥宅自制 bilibili战机,ACModified,24373027,68750838,248037,27658,541731
小米MIX Alpha米家上手 这颜值如何？,可爱的小潇潇,179953783,68849806,880652,181,474466
「小白测评」小米MIXα 现场体验 19999元 未来已来？,小白测评,8969156,68852309,677268,2203,463019
小米AIpha实际上手视频，不是玻璃柜，是上手！,倪沁蝶丶,10122950,68890150,625213,49,450500
【小白开箱】山寨机竟然也有挖孔屏，而且屏占比连苹果都自叹不如！,小白开箱,17474339,69069188,373889,18425,447728
【影视飓风】我浪费了4万元买了这个破玩意-Edelkrone电控滑轨,影视飓风,946974,68698001,386943,5339,377415
成也性价比，败也性价比，说在 MIXα 发布之前。——木羽「眼中」的小米,木羽说科技,477278,68395334,205640,15401,367643
装机猿潜入TESTV，古理线大法拯救男后期【BB Time第220期】,TESTV官方频道,11336264,68880301,365127,7043,363096
前所未有的环绕屏+1亿像素，现场体验19999的小米MIX Alpha你怎么看？,VZOO,4211655,68855994,399836,1339,335703
iPadOS有多强,黄杨ME,91527228,68924148,269223,1712,303861
iPhone 11以前质量最好的手机-iPhone XR【艾奥科技】,艾奥科技,325272035,69031068,50769,5001,279549
【享拆】华为 Mate 30 Pro 拆解：八摄新极限，弯弯了无痕,XYZONE官方频道,347441270,69041271,213362,6802,260915
王自如上手华为 Mate30 Pro：重构屏幕和相机,ZEALER官方频道,8482768,69044932,294600,838,254658
我为什么不喜欢华为的EMUI（请不要叫我测评君）,请不要叫我测评君,18937162,68757947,216205,3048,245365
中国移动：部分5G手机可能以后有5G网连不上,C_y_w,11434531,68773295,247065,288,236737
【国外吐槽 小米 mix alpha  --Xiaomi_Mi_Mix_Alpha_-_OMG,努力锤子,14102819,68910201,276232,27,232810
小米Mix Alpha 样机实拍-武汉小米之家,赏月者_,2720824,69014660,270411,119,231917
买MIX 阿尔法，一顿饭钱没了。佛问：哪一顿？我说：每一顿,毛毛的椰子皮,267267,68894696,253018,130,222015
42个手机摄影技巧,单微琪,387529157,66682142,43679,1259,220223
小米MIX Alpha真机展示：全场然炸！,科技小助手,174555036,68844183,242584,99,217645
小米mix alpha长这样？反正我是爱了，你们呢？,JackWisdom,26715744,68779064,237854,44,211326
