title,author,uid,aid,play,coins,pts
【何同学】挺稳的 华为Mate 30 Pro深度体验,老师好我叫何同学,163637592,69358135,666613,70139,1052907
iPhone 11 上手评测 | 爱否出品,爱否科技FView,7458285,69443831,203414,25445,401664
华为Mate30Pro和BOSE智能音频眼镜开箱体验【BB Time第222期】,TESTV官方频道,11336264,69435883,223022,2359,229009
「花生説」今年或许就是苹果低头的开始【iPhone11系列深度测评】（上篇）,花生説,25480023,69258497,175494,2066,192995
如何打造一台高效生产力的电脑（视频剪辑\PS\CAD\特效制作\建模\UG需要一台什么样的电脑）,喵喵折App,338748561,69507522,53561,4114,135018
【极客湾】iPhone11深度性能分析，A13降频？发热？信号？续航？,极客湾Geekerwan,25876945,69407903,89417,2977,112422
【A13系列】iPhone 11 Pro深度拆解三部曲（上）-艾奥科技,艾奥科技,325272035,69423150,31561,4677,112357
「大米评测」麒麟990 PK 855Plus 华为Mate30Pro体验评测（对比Note10+、iPhone11Pro）,大米评测,8372353,69526384,65464,2443,81150
【杂谈No.5】不要随便帮女生装系统......,我是阿Jun,333254520,65423253,66669,1634,79132
金玉2K90Hz其外，败絮氢OS其中？——一加7 Pro 体验报告（超主观，不客观）「木羽体验报告」,木羽说科技,477278,69444234,51309,3218,76551
【短的发布会】2万块的小米MIX Alpha，年轻人第一款买不起的小米手机！,短的发布会,287795639,68928851,55778,1008,68180
报NVIDIA施压供应商：要求降低GPU制造、服务价格，显卡不能涨价只好节约成本,蒸気火鸡,39180492,69405346,59311,988,63811
小米MIXα阿尔法开箱配件曝光，还有保护套的样子,樱井猥琐帝,106289069,69210174,61090,7,56635
华为5G宣传片：《穿越时空》,花粉传媒,380867292,68009720,40394,140,54137
【装机大赛】斥巨资！硬核肥宅自制 bilibili战机,ACModified,24373027,68750838,24877,2580,52773
miui11  到底有木有志的提升    小米miui11 体验测评8,脑瘫哥爱科技,29521379,69248320,42787,1785,50876
【官方双语】64核霄龙CPU - 我嘞个去！#linus谈科技,LinusTechTips,12434430,69538687,45224,615,50573
「小白测评数据库」华为Mate30系列实测数据更新,小白测评,8969156,69512289,48984,199,47483
哇，呆妹15万电脑的真正原创居然是这样子的,GOF-豹紋哥,268084192,69402256,33675,985,45769
我眼里的今年最香机！Switch Lite一周使用体验,轻电科技,28767705,69500254,33065,940,43047
小米AIpha实际上手视频，不是玻璃柜，是上手！,倪沁蝶丶,10122950,68890150,46026,6,42033
搞机零距离：华为Mate30 Pro评测 使用一周从失落到真香，越用越香！,钟文泽,25910292,68998155,37600,622,40827
【装机猿】小白实体店防坑！华硕为啥打人？5899航班,远古时代装机猿,35359510,69291644,38590,401,40623
