title,author,uid,aid,play,coins,pts
【何同学】挺稳的 华为Mate 30 Pro深度体验,老师好我叫何同学,163637592,69358135,1833392,267874,2878429
成也性价比，败也性价比，说在 MIXα 发布之前。——木羽「眼中」的小米,木羽说科技,477278,68395334,710038,64494,1185639
【短的发布会】摄像头一万块四个！iPhone11没有5G只有五颜六色,短的发布会,287795639,67325260,1396880,25551,925459
【B站最良心】19年大学生笔记本选购全攻略！15分钟从小白到大神，高考生福利！,熊猫P4ND4,37390043,54269405,375456,30197,912272
42个手机摄影技巧,单微琪,387529157,66682142,175731,5041,908950
【爱搞机】iPhone 11评测：这就是大家都喜欢的苹果旗舰！？,爱搞机,17138783,68733672,515038,53537,849719
苹果iPhone 11全系上手：曾经说丑的快来排队喊真香～| 凰家评测,凤凰科技,17125638,67321110,2183972,2923,784227
搞机零距离：华为Mate30 Pro评测 使用一周从失落到真香，越用越香！,钟文泽,25910292,68998155,897303,31770,739188
2分钟发布会｜华为麒麟990震撼发布！所有人退出了直播间「科技美学现场」,科技美学,3766866,66828609,1123664,6627,678418
我们用【华为 Mate 30 Pro】拍出了一颗“一秒星球”，这不可能，但很Mate！,华为终端,102999485,68336638,355321,29083,672306
【科技漫谈】让苹果告诉你什么才是完美的交互体验,Space-Grey,13003762,66343171,455856,20061,669368
【国内首发】iPhone11系列一周使用测评：苹果的创新，用了才知道,虎嗅视频频道,296399504,68054656,784054,11821,630309
华为5G宣传片：《穿越时空》,花粉传媒,380867292,68009720,610651,1527,608050
【装机大赛】斥巨资！硬核肥宅自制 bilibili战机,ACModified,24373027,68750838,272914,30238,584556
【电脑】用超低预算给学生党装一台能替代游戏本的ITX便携迷你型3A游戏电脑（附装机装系统教程）,喵喵折App,338748561,62499672,228786,16991,575996
小米MIX Alpha米家上手 这颜值如何？,可爱的小潇潇,179953783,68849806,914096,196,538471
【小白开箱】山寨机竟然也有挖孔屏，而且屏占比连苹果都自叹不如！,小白开箱,17474339,69069188,404461,19526,506862
iPhone11 系列上手：足够强大的相机和全新的配色设计,ZEALER官方频道,8482768,67332623,644180,1659,471100
「小白测评」小米MIXα 现场体验 19999元 未来已来？,小白测评,8969156,68852309,698674,2242,457351
【装机猿】如果看过这个你还是学不会装机……,远古时代装机猿,35359510,25397117,225832,9358,442028
小米AIpha实际上手视频，不是玻璃柜，是上手！,倪沁蝶丶,10122950,68890150,671239,55,437303
【显示器选购指南】从零开始教你选择「适合」自己的显示器,玖棱镜IX_PRISM,2037847,64798609,133179,11619,433771
男人的浪漫！用0.0005亿造了一台钢铁侠电脑！自带方舟反应堆！此生无悔入漫威！,FUN科技,9321359,65158647,338685,7742,416247
华为mate30 Pro 开箱体验,凭风直上九万里,43113954,68096883,597998,484,409721
【肥宅摄影之路】30修女风私房写真实拍,阿証証証証,313171,68258466,242088,2822,403929
iPhone 11 上手评测 | 爱否出品,爱否科技FView,7458285,69443831,203414,25445,401664
10大最危险的CMD指令！！贼恐怖！！,Aaa2呀,40096793,55837210,162031,2182,401319
购买iPhone 11的一天【BB Time第219期】,TESTV官方频道,11336264,68550483,474358,4943,399884
【影视飓风】我浪费了4万元买了这个破玩意-Edelkrone电控滑轨,影视飓风,946974,68698001,390702,5387,379097
前所未有的环绕屏+1亿像素，现场体验19999的小米MIX Alpha你怎么看？,VZOO,4211655,68855994,400435,1343,375714
「我的宇宙」“罗马不是一日建成的” —— 苹果杂谈,_我的宇宙_,408496784,63956634,125465,15559,373299
iPhone11上手体验！浴霸+炒鸡好看的午夜绿，你们心动了没？,Bigger研究所,32598708,67323558,447957,1189,369593
望远镜之称的p30~华为p30相机~名不虚传啊,哈哈哥在北京,400530644,67716573,449265,78,350835
【教程】电脑装机教程最新详解，不放过任何细节，AMD平台电脑组装视频教程，小白变老手。-乔伊科技生活馆,乔伊科技生活馆,64920139,64794701,81269,5996,324774
雷军开箱：早上好！给大家开箱Redmi Note8 Pro，品质杠杠的,小米情报官,383423248,66555852,381898,2813,323745
iPadOS有多强,黄杨ME,91527228,68924148,281400,1765,313027
【果然】 油管大神AUXOUT 「与君相伴！」 5.21特刊 电影质感 索尼Sony A7M3 智云 Zhiyun Weebill Lab稳定器调色教程 测评,果然紀,345979287,53134567,132063,2046,309860
「花生説」今年或许就是苹果低头的开始【iPhone11系列深度测评】（上篇）,花生説,25480023,69258497,256386,6575,305979
别再盲目维修了，十分钟带你深入了解相机电路【艾奥科技】,艾奥科技,325272035,67391203,49180,8870,300937
