title,author,uid,aid,play,coins,pts
被全球最富女歌手Rihanna邀请到私人派对是什么样的一个体验？,狠毒女孩Money,95494347,69052629,965383,67775,1374903
【党妹】首试黑皮！瓦尔基里VS雅典娜，选谁？罗马斗兽场/许愿池震撼实拍~咖啡拟人妆！,机智的党妹,466272,69512010,623851,93730,1325208
消除斜方肌！背越练越薄，还你少女体态！,海洋饼干Sophie,291945385,68853699,114318,2984,614500
【嫂】 中国式性感？短发微胖也可以风情万种！女人味爆棚的旗袍娇媚妆！,宝剑嫂,113362335,69117519,444022,9499,544514
不整容！科学改善凸嘴下巴后缩 瘦双下巴 告别土气脸，养成侧颜杀,文不叮,450595813,67996432,125331,4398,521833
一个会“握草”的视频,朵颜彡煜伟,282651510,69205620,585625,158,429345
[JK]教练我想穿制服！[不同厚度袜子对比]西式&水手服的夏秋换季LOOKBOOK,爆喵Nyaboom,1517430,68756043,175628,6324,416792
平时朴素的我化一个欧美黑皮妆去见同学逛超市是个什么体验！,假美食po主,26139491,69448115,297071,23175,411107
【栗老师】瘦28斤的三餐经验，不一定很科学，但可能很有效,栗子没有小蛮腰啦,33523307,69168161,287914,2224,401767
[Roberta's Gym] 快速减去腿部脂肪 | How To Lose: Legs Fat Fast (Do This Everyday),杏仁粉和鳄梨腌制片刻,52846319,66663958,56260,1634,312355
【潘安】小鹿乱撞隔壁的学长|初秋少年感妆容画个男朋友系列,潘安同学,356185545,68496376,125034,3963,296733
【晴晴】教科书级的双眼皮贴教程「五种眼型示范」有你的眼睛吗,o小庄o,6272357,69354186,63947,6915,256516
男生穿女装，去看直男们打篮球吃饭是什么样的体验...,终极死宅CC酱,30329614,68998180,223296,3064,253299
不简单的风衣合集 | 叠穿出奇迹 | 国庆出游穿搭分享,五百-,163404472,69283920,111274,4960,249185
理工男实拆富婆快乐仪，1950元就这么打水漂了！,老爸评测,347667464,67257097,152423,11327,237682
【人间真实】父母眼中的你化妆VS朋友眼中的你化妆VS你自己眼中的你化妆,苏苏超能吃,32876828,69157471,207267,1769,226491
【假体隆胸过程分享】痛哭了！为什么我选择了假体？术后怀疑人生 | 术后恢复建议 | 整形经验分享,汤君Tang,28833042,69163194,212274,970,223474
美女UP去酒吧被搭讪敬酒 闺蜜仗义挡酒!!!       | GRWM |  Q&A关于我的50个问题   【张喜喜】,张喜喜-,227107602,69261043,154270,5865,209501
158cm120斤穿搭 | 微胖女孩绝对不能买的死亡单品 | 纪念这些年被淘宝模特图骗走的学费,kawkao,16070838,68810813,141891,3070,205612
3个动作让你跑的更快,健助师Official,383289740,68358625,57250,2053,197547
【小徐】超真实 百元马丁靴测评  | 学生党必进 | 性价比超高,小徐与老朱,359454517,69330876,94941,4107,195360
10分钟-腹肌锻炼//在30天获得平坦的小腹,夹三层胖子的汉堡,17375265,68455342,35478,447,195255
「KIKI」胸大女孩穿搭分享｜显瘦10斤的内衣｜好看不贵,一勺kiki酱,231261,67261583,104602,1241,186510
【Jeff】从此告别面包胸（没有废话！）,兔兔姐28,12333557,69195257,59907,1070,182871
【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,废柴家里蹲,3751951,3534854,113372,152,171433
