title,author,uid,aid,play,coins,pts
被全球最富女歌手Rihanna邀请到私人派对是什么样的一个体验？,狠毒女孩Money,95494347,69052629,1791642,138978,2316112
[JK]教练我想穿制服！[不同厚度袜子对比]西式&水手服的夏秋换季LOOKBOOK,爆喵Nyaboom,1517430,68756043,573128,20267,1229573
消除斜方肌！背越练越薄，还你少女体态！,海洋饼干Sophie,291945385,68853699,187740,5916,1071628
不整容！科学改善凸嘴下巴后缩 瘦双下巴 告别土气脸，养成侧颜杀,文不叮,450595813,67996432,215799,8750,910909
不要再这样吹了！男生自己做头发造型必须知道的3个技巧,郝给力,82385070,68840489,413093,26328,738426
[Roberta's Gym] 快速减去腿部脂肪 | How To Lose: Legs Fat Fast (Do This Everyday),杏仁粉和鳄梨腌制片刻,52846319,66663958,128579,3847,720332
158cm120斤穿搭 | 微胖女孩绝对不能买的死亡单品 | 纪念这些年被淘宝模特图骗走的学费,kawkao,16070838,68810813,427339,14294,643728
【嫂】 中国式性感？短发微胖也可以风情万种！女人味爆棚的旗袍娇媚妆！,宝剑嫂,113362335,69117519,506524,17323,639693
10分钟-腹肌锻炼//在30天获得平坦的小腹,夹三层胖子的汉堡,17375265,68455342,100829,1157,566228
【潘安】小鹿乱撞隔壁的学长|初秋少年感妆容画个男朋友系列,潘安同学,356185545,68496376,195234,6866,474845
5张创可贴，居然一周腰围瘦4cm，体重掉2斤！【神器日本减肥法测评】,种草马戏糍,17901717,66827135,132011,4791,454944
花了235刀，终于把黑头彻底去除了,CarrieLake,20153537,68779236,641345,31,452551
3个动作让你跑的更快,健助师Official,383289740,68358625,127272,4983,446973
【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,废柴家里蹲,3751951,3534854,312383,420,442076
男生穿女装，去看直男们打篮球吃饭是什么样的体验...,终极死宅CC酱,30329614,68998180,394369,6047,394679
【栗老师】十分钟速成桥本环奈眼妆，把欺骗两个字打在公屏上,栗子没有小蛮腰啦,33523307,68952962,202608,9406,393731
【妮可】超减龄娃娃眼妆，堪比整容的眼睑下至大法教学 | 女爱豆的秘密,妮可蹦蹦,17075276,66959265,95336,5602,377021
10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,周六野Zoey,62540916,34107674,169837,1245,351686
【 gguul's boundary合集 】秋季日常穿搭｜上班族一周上班服装搭配|西装搭配,一坨小贺,111811941,68036661,254274,587,346307
「一枝叛逆的朋克玫瑰」 单眼皮cut crease + 深红唇，十一画这个妆，出门玩没人敢挤你！,Vivekatt,16307541,68790150,186250,16626,340599
「KIKI」胸大女孩穿搭分享｜显瘦10斤的内衣｜好看不贵,一勺kiki酱,231261,67261583,184487,2144,304667
【SamChak】小眼必看！零失误の眼妆万能公式！一招解决眼睛小、眼距近！,仙姆SamChak,387181687,68935709,99588,4130,294899
10 Minute Thighs Gap & Butt Workout, Beautiful Ballet Flexibility Exercises,fit_inspiration,114859696,66018970,175467,535,292616
【中字】美丽芭蕾 狂瘦上半身合集 1.天鹅臂瘦肩膀 2.瘦手臂后侧（甩走蝴蝶袖）3.新娘纤臂（哑铃）,你瞅什么瞅_,6534360,5407024,195868,247,287732
【十音试穿03】10套新品汉服汉元素上身参考·2019秋,十音Shiyin,257975429,68525375,195725,10955,285562
“地狱级别”的全身拉伸，安利,lily1874,43067671,66684020,59840,803,284641
【Book】婚礼的大几十万花哪了？拥有昆凌唐嫣明星同款的高定婚纱是什么感受？！,书书book,320649742,68504760,247853,992,275189
彭王者妆容 | 真正的直男斩网红妆！！,大脸怪哪里跑,12511722,68479025,184923,1031,258157
小猪姐姐！！三吉彩花仿妆～～,小猪姐姐zzreal,19696996,68836801,187786,2345,257046
在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,带枪小女孩weibo,1960460,22227629,101573,363,249749
一直瑜伽一直爽，一起瑜伽一起爽！,VIL6,20013336,68411367,196677,170,242418
瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,普鲁士ll,2993682,50314054,102261,183,238630
理工男实拆富婆快乐仪，1950元就这么打水漂了！,老爸评测,347667464,67257097,155439,11357,238299
26周瘦52斤！B站全纪录！坚持不下去的时候可以看一下我。励志了。,龙希龙希,254288553,66968475,145442,3342,234991
南韩爱豆同款身材管理办法，为了get女团身材冲鸭,辛得巴赫,11587026,67963913,62959,483,234630
【小敏警】美妆博主深夜买醉！酒后聊天口无遮拦,飞天小敏警,287365151,67281662,148299,5408,232635
JIN『新手向画眉教程，换眉如换脸，来学换脸吧 』上篇,JINSLOOK,95039731,69054991,87267,6632,228374
半年度爱用品分享！买不了吃亏买不了上当 ！| 大果子,古月大果子,96852523,68756418,158664,5340,228229
每天坚持半弓二式50次，15天腿部暴瘦，比跑步还有效,辣片小王子,53323969,68505462,66018,748,218333
Sang-A's stretching routine #23,吉安冰菓籽,653403,67363682,144089,420,216204
【克里斯VLOG】完美的初学者腹肌+腹斜肌训练,吉良吉景彡,595506,68538401,54425,1104,214072
胸围显胖肩背太厚？整形干货！速成纤薄气质美少女！【槿酱】,槿酱吃不胖,9275129,68471580,44757,1901,207132
【一花】粉底液大集合！最喜欢的油皮/干皮/啥皮都可的十瓶粉底液,一花啦啦啦,22344481,68894704,151160,2931,204549
【党妹】穿20000块的花嫁逃婚（x）是什么体验？超中二的天使新娘vs恶魔主唱妆面,机智的党妹,466272,66869920,159120,5792,204351
竟然因为合租宿舍马桶得了hpv？做女生太难了，hpv到底有多可怕？,是煎蛋酱鸭,4776266,68565256,130555,1947,201004
暴瘦30斤土肥圆变女神 重新投胎逆袭式变美经历,贝尔君___,6800533,66814385,100974,2153,197762
不简单的风衣合集 | 叠穿出奇迹 | 国庆出游穿搭分享,五百-,163404472,69283920,84953,4264,192114
心和肾都掏给你了-八月九月最爱来了✨,oh_emma,34149649,69122299,150023,4067,184735
美女UP去酒吧被搭讪敬酒 闺蜜仗义挡酒!!!       | GRWM |  Q&A关于我的50个问题   【张喜喜】,张喜喜-,227107602,69261043,129750,4989,181601
【中字】Ballet Beautiful 美丽芭蕾第三套  瘦腿提臀,pll25586,7937899,4489689,90296,142,180831
婚纱摄影的过程,马赛克女神,472431968,68952447,84673,569,178965
【雪糕】塌鼻梁宽鼻翼到底怎么画？|最详细教你画最自然立体的鼻子|包教包会3.0,全国知名小雪糕,77587039,68114452,41916,1535,173786
杨静怡12节体态魅力修炼课,兰若均,56746705,66631767,21047,373,173548
连续21天每天泡脚20分钟！我的身体会发生什么？,一只老刘头,9170987,68750588,153093,1533,171991
❤️安然❤️超实用Lolita造型 教你打造瓷娃娃人偶妆造,-谢安然-,21876627,68945002,90200,4543,170720
【4分钟高强度Tabata合集】2周瘦10kg计划 高效燃脂减脂有氧运动 快乐减肥每一天 （持续更新）（Allblanc TV）,切切切尔,34109672,56180040,45745,793,168277
法式少女妆｜关于我对法国文艺电影的幻想_做一天的洛丽塔,朵朵花林,297344797,55748113,81461,3298,167799
藏在皮肤的大虫,丑小何,445739616,66534226,193485,12,166439
第一次走上T台的我,陆仙人阿,402978061,68502787,143711,3546,162265
穿成法国贵妇去面试！其中一件没法穿内衣？？！！,vivi可爱多,16206007,68680509,122342,3931,161630
【Jeff】从此告别面包胸（没有废话！）,兔兔姐28,12333557,69195257,51939,963,159947
伤脂肪！不伤膝盖！四分钟快速燃脂(进阶版) | 随时随地高效瘦身 | 零器械瘦腰瘦腿,KymFit,18143977,66389160,36840,2020,159929
秋日天台爱情妆,仇仇qiuqiu,25954179,68921249,103833,1447,158412
【假体隆胸过程分享】痛哭了！为什么我选择了假体？术后怀疑人生 | 术后恢复建议 | 整形经验分享,汤君Tang,28833042,69163194,152169,833,157367
钢铁直女第一次穿漏肩衫 当场崩溃 好羞耻,假美食po主,26139491,62637356,136446,3089,155936
【ninido】如何挑选适合自己腿型的靴子 / 版型与设计,NiniDo视频,175782095,68934884,72639,1883,154802
青 钢 影,席德啊,9152386,64888449,137641,247,153605
之前在知乎上看过，前两天找了很久才找到.,TOP没读过书,387001831,64328457,118679,640,150907
【晴晴】教科书级的双眼皮贴教程「五种眼型示范」有你的眼睛吗,o小庄o,6272357,69354186,38057,4562,149787
把一支口红用到值回票价 | 4种最实用唇妆涂法 | 技巧干货,永困王,179694948,69165681,71823,2088,142571
音乐生海边派对｜师生重逢你不知道的暴雪音乐会内幕【Hania】,前进的Hania,22257030,69203786,78408,6244,142099
【嗨皮烧酒w】Up主亲测！不瘦算我的！！！大脸女孩的自我拯救2,嗨皮烧酒w,15469911,53613184,29328,1021,141732
最有效的学生党减脂，每天只要15分钟|48小时持续燃脂,站在强迫之巅的少女,8770537,11395090,54106,476,141499
震惊！兰家每一条马面都可以变成裙门歪？？快点开看看你有没有中招！,兰若庭汉服,171644141,69124406,58580,5703,141050
【小丽】当女人又累又费钱 一次5000看看‘贵妇’的日常护理 黄金焕肤 精致V雕美甲美睫&睫毛嫁接小课堂 52/,GLR_G,249491937,68767550,139245,650,140245
花140刀，我下单了沃尔玛评分最低的产品！并用它们化了个妆！,Rainie田,6229277,68696385,124562,2082,139658
给大家分享一款超级好的光腿神器.,芝梓淄,179401522,68781368,128024,62,137245
【人间真实】父母眼中的你化妆VS朋友眼中的你化妆VS你自己眼中的你化妆,苏苏超能吃,32876828,69157471,122378,1260,137017
女生植发全记录！可能是B站最大脑门？你想问的都在这了！心得分享&答疑,魔法少女乌塔,9576932,66897288,107720,1772,135259
口红涂法示范 | 你们催了好久的抿嘴大法终于来了！！以MAC 316 Devoted To Chili 为例～,是红字呀,179402121,69157749,107892,236,131223
花了一套房的钱买包，这些奢侈品千万别买！这些包包性价比高到一定要有！,博妞_Bonny,135589565,68958615,100238,1826,130735
第三期 | 一首歌的时间 Next Level · 燃脂节奏训练,陈暖央LunaSea,217108321,68812235,71542,745,129675
中国女主播L咪咪：这种健身的招式我貌似在哪里见过？,碉堡的C总,330263954,68309539,109450,27,128169
大佬甜er |「凡尔赛微醺玫瑰妆」复古又慵懒～,大佬甜er,64925986,68645771,87011,3052,126108
仙女一定要有的唇釉啊！仙气飘飘的闪死我算了吧！！！拍照必备唇釉|HEDONE嫉妒怪兽,_saysay,65775706,68547869,94961,249,125887
【小徐】超真实 百元马丁靴测评  | 学生党必进 | 性价比超高,小徐与老朱,359454517,69330876,58780,3104,125124
做到去世！挑战全网！两个赞做一个俄挺俯卧撑（脚离地的俯卧撑）第三天看这个视频有多少个赞！,街头健身霸王龙,25379650,67522239,108349,1678,122849
【懒鱼】一定要看的秋冬鞋子合集！｜50元至百元｜马丁靴 单鞋 球鞋 巨平价鞋店探店,懒鱼才会胖,53246559,68834932,95629,1209,122785
【小伙居然用300公斤来热身?!】只因他练了这个!,帅soserious,66391032,68909423,74739,3866,121847
【大葵葵】视觉–10斤| 显瘦变纸片人 | 大腿粗宽胯友好的裤子们 | 酷酷&攻气百搭款,葵葵葵77,14026855,68684002,72060,2448,121661
TGT了不起的纹身师2019年全国纹身艺术大赛-new school采访,纹身大咖TattooMaster,300990257,66675676,114304,44,121112
【echo】GRWM|新生开学秋季温柔妆容 （平价化妆品 新手友好！,梁一口echo,13177698,68863955,82847,2267,119818
小伙子，你这都是死肌肉…,食健出真知-大关,262425216,64710867,126046,4,118612
坚持三个月精简护肤会怎样？省钱又高效拯救皮肤！,鱼人人人,281678215,69131809,71615,1505,118211
花10小时把男友化成女神玛丽莲梦露 结果有点美 【ONLee】,ONLee_Studio,92345772,69129830,70838,3616,118190
平价不过百毛衣合集 | 69元的毛衣质量超赞！！秋冬穿搭必备百搭单品,大金毛与小猪猪,18883958,68598170,59880,932,117814
