title,author,uid,aid,play,coins,pts
不整容！科学改善凸嘴下巴后缩 瘦双下巴 告别土气脸，养成侧颜杀,文不叮,450595813,67996432,1486711,64477,5382698
5张创可贴，居然一周腰围瘦4cm，体重掉2斤！【神器日本减肥法测评】,种草马戏糍,17901717,66827135,862606,37999,3099373
被全球最富女歌手Rihanna邀请到私人派对是什么样的一个体验？,狠毒女孩Money,95494347,69052629,1988626,152711,2550679
【妮可】超减龄娃娃眼妆，堪比整容的眼睑下至大法教学 | 女爱豆的秘密,妮可蹦蹦,17075276,66959265,550511,42634,2254600
[Roberta's Gym] 快速减去腿部脂肪 | How To Lose: Legs Fat Fast (Do This Everyday),杏仁粉和鳄梨腌制片刻,52846319,66663958,409214,10666,2132590
【党妹】穿20000块的花嫁逃婚（x）是什么体验？超中二的天使新娘vs恶魔主唱妆面,机智的党妹,466272,66869920,1988720,143432,2124647
10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,周六野Zoey,62540916,34107674,800732,5829,1595981
南韩爱豆同款身材管理办法，为了get女团身材冲鸭,辛得巴赫,11587026,67963913,437437,3188,1577602
“地狱级别”的全身拉伸，安利,lily1874,43067671,66684020,304615,4394,1521982
【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,废柴家里蹲,3751951,3534854,1424830,2015,1422488
[JK]教练我想穿制服！[不同厚度袜子对比]西式&水手服的夏秋换季LOOKBOOK,爆喵Nyaboom,1517430,68756043,631175,22333,1365793
理工男实拆富婆快乐仪，1950元就这么打水漂了！,老爸评测,347667464,67257097,1021144,81602,1347841
消除斜方肌！背越练越薄，还你少女体态！,海洋饼干Sophie,291945385,68853699,205882,6417,1191983
【中字】美丽芭蕾 狂瘦上半身合集 1.天鹅臂瘦肩膀 2.瘦手臂后侧（甩走蝴蝶袖）3.新娘纤臂（哑铃）,你瞅什么瞅_,6534360,5407024,935736,1361,1171784
她也曾风华绝代：3分钟看完100幕Dior女神群像,阿菠萝的菠萝壳,27544560,66149394,538776,9978,1154025
瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,普鲁士ll,2993682,50314054,465986,936,1102942
把总价100万的奢侈品当掉，能换多少钱？,十音Shiyin,257975429,66992442,1113598,44469,1077330
在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,带枪小女孩weibo,1960460,22227629,473429,1789,1070335
伤脂肪！不伤膝盖！四分钟快速燃脂(进阶版) | 随时随地高效瘦身 | 零器械瘦腰瘦腿,KymFit,18143977,66389160,206528,13933,1033299
暴瘦30斤土肥圆变女神 重新投胎逆袭式变美经历,贝尔君___,6800533,66814385,634361,11003,978698
【自剪】周六野zoey 瘦大腿根 塑型大腿内侧终极版,鲸鱼背上的cat,17533450,64631656,250096,1364,966075
26周瘦52斤！B站全纪录！坚持不下去的时候可以看一下我。励志了。,龙希龙希,254288553,66968475,608453,17278,959429
【嫂】口红富婆的此生挚爱top12！|高级少女感|黄皮显白0失误指南||良心分享,宝剑嫂,113362335,66949297,420292,25732,913624
「KIKI」胸大女孩穿搭分享｜显瘦10斤的内衣｜好看不贵,一勺kiki酱,231261,67261583,646570,7400,902653
【中字】Ballet Beautiful 美丽芭蕾第三套  瘦腿提臀,pll25586,7937899,4489689,439727,794,889070
3个动作让你跑的更快,健助师Official,383289740,68358625,267325,9525,848947
Ivy Chen l 最棒減脂動作大解析，你必須要知道的黃金動作，帶你輕鬆學會並且跟我一起訓練,IvyChenn,415998846,66556850,276441,4973,787651
【潘安】小鹿乱撞隔壁的学长|初秋少年感妆容画个男朋友系列,潘安同学,356185545,68496376,310159,11533,781709
不要再这样吹了！男生自己做头发造型必须知道的3个技巧,郝给力,82385070,68840489,441515,27668,765478
