title,author,uid,aid,play,coins,pts
陪玩小姐姐竟然给我B站号盗了？【小潮国基网骗】,小潮院长,5970160,69226950,1074304,125803,1824801
【敖厂长】2019年超辣眼垃圾游戏(PS4/STEAM),敖厂长,122879,69450863,1115778,82333,1268023
世界上BUG最多的搞笑游戏 每局3000个BUG,黑镖客梦回,10558098,69165109,1214264,33683,1229614
【云顶之弈】凌冬将至，极地亚索冻翻全场！,靠脸吃饭的徐大王,16794231,69226545,884614,78214,1218703
【游戏侦查冰】游戏公司为什么要上市,芒果冰OL,617285,69222967,545426,62108,1115095
罗汉鬼套路：揍亚索最狠套路 大B兜流石头人,罗汉解说,51896064,69024725,627496,57230,1108358
游戏史上最肉BOSS！18小时才打得死的怪什么样？,神秘店长A,295711424,69238512,1091367,19031,851446
【C菌】八岁少女如何度过生命最后一天？《不幸小姐/Little Misfortune》实况连载,渗透之C君,4162287,69511380,229939,27748,819065
【是大腿TOP10】国庆特别篇：薪火传承！中国电竞风雨二十年,起小点是大腿,1565155,69406391,529663,50970,790631
要死10W次才能通关的最虐恐怖游戏，95%的玩家玩了后被逼疯！,NBzhuoc大,152389373,69308026,505999,22707,705206
[王者/史诗]5分钟让你震撼到完全不一样的王者，让我们开始吧！毁灭这人间！全军出击完整版！,一只正能量的小集集,13401043,68998347,152047,17868,553253
【煮鸡时刻 第二季】第27期 老东家手刃新成员 寅指导梦碎洛杉矶,天天卡牌,10462362,69381604,569884,13753,532141
我竟然被变态陪玩小姐姐追着问今年多大了，对不起我再也不骚了...,槐安遗梦,36825256,69360766,417122,21029,530763
【STN快报第四季14】有一种人性的扭曲，叫做暴雪编剧,STN工作室,7349,69214042,439377,13611,501136
俩老外在中国服务器里疯狂飙中文！甚至还互相教学？,信徒Shinja,798527,67591920,264189,13244,498306
王老菊教你分身潜行（莽）,怕上火暴王老菊,423895,69417994,375617,16080,478209
【闪耀暖暖】母爱变质现场。                                   感觉自己好猥琐,城-北-花-又-落,304524316,66745205,535661,470,467365
【主播真会玩八卦篇】96：二百万带网友冲进51区，人人都是火影忍者,长歌与小见见,3682229,69160161,350859,22862,428395
聚印象TOP秀27：无双剑术的荣耀 精准而优雅,聚印象视频,32365949,69236302,303982,21748,424556
“能天使，掩护我！”,画画峰,2989565,68945326,272368,7615,415766
【大仙全家桶】王者对诗哪家行，牧童遥指张冰心,指法芬芳张大仙,1935882,69253437,332300,8639,408125
这个游戏的作者已经被逮捕！而我早已发疯！,与山0v0,26240675,68957957,450616,3772,403036
剑魔脏套路!肉的同时伤害高吸血又猛，泉水站撸抗十秒都不死,千钧ㅊ,284093321,69280491,267995,18043,395505
黑丝小姐姐本人献上Unity 3D游戏场景，画质也太强了吧！,樱花兔个人工作室,11632604,68894912,339956,1902,372405
【散人】伟大母亲的奋斗发家史（完结合集）,逍遥散人,168598,68925254,167529,14065,369392
爆肝200小时，戴上耳机，享受极高的视听盛宴！,卢本偽的师傅丶r,313724156,66500042,133026,7884,337035
当今最搞笑的躲猫猫，究竟能沙雕成什么样？所有东西都能变！,逗川kshadow,234256,69381386,254524,7889,315548
恭喜网易又毁掉了一个好游戏,盘猫魔人薛定谔,324514206,69231130,309868,1423,312311
全世界都能闻到我的体香！史上最沙雕的玛丽苏游戏！！,秋枫HAPE,20941313,69212131,206315,4694,297966
《魔兽世界》全新动画：了断,网易暴雪游戏视频,2929048,69365730,276850,2600,288020
如何让一个游戏玩家当场砸烂电脑？,靖菌命,4059920,69101955,177168,9864,280660
Minecraft【最新消息】✅ 1.15大改版【地狱生态大改版】✅ 13个重大更新【蓝色火焰】【山羊高地】【地狱森林】【猪布林】!!,阿神的Bili官方頻道,322010320,69361564,189343,3921,277005
RNG战队S9全球总决赛出征概念片《征·战》,皇族电子竞技俱乐部官方账号,257851644,69506297,186503,12144,274999
【英雄联盟】全球总决赛难忘时刻：神来一箭,英雄联盟,178778949,69237628,275511,1743,271928
【小黑聊怪物】游戏史上最出名的怪物 第一期 （胆小慎入）,彼望黑,385474,69291863,131971,12150,261315
【CSGO】我们中出了一个叛徒 溢出来了  #158,菊花Project,9838560,69257130,212741,7662,259602
《明日方舟》即将关服，博士和干员放飞自我,南条鸡腿子,2574869,69208576,149495,5727,257203
翠神改版！现已完全成为远程英雄，不需要进草就能摇头！,阿兹尔超宠粉OwO,35365051,69103087,288286,2651,255734
如果所有英雄都按照真实身高进入召唤师峡谷完整字幕版,木易百万,9312238,69139440,283190,337,253701
