title,author,uid,aid,play,coins,pts
罗汉鬼套路：揍亚索最狠套路 大B兜流石头人,罗汉解说,51896064,69024725,2361079,301542,3836172
那两个说中文的老外得知自己火了，高兴到说不出话！,信徒Shinja,798527,68643552,1886589,125370,2255454
陪玩小姐姐竟然给我B站号盗了？【小潮国基网骗】,小潮院长,5970160,69226950,895469,107757,1538190
耗时178小时，戴上耳机！感受每一帧都踩点的视听盛宴！,卢本偽的师傅丶r,313724156,68365122,765700,42642,1478740
世界上BUG最多的搞笑游戏 每局3000个BUG,黑镖客梦回,10558098,69165109,1389268,47006,1454265
飞机坠毁！与老坛孤岛求生！！,徐大虾咯,13354765,68853698,1006364,54685,1146179
【云顶之弈】凌冬将至，极地亚索冻翻全场！,靠脸吃饭的徐大王,16794231,69226545,676077,64760,1037328
【游戏侦查冰】游戏公司为什么要上市,芒果冰OL,617285,69222967,461545,56045,985719
聚印象TOP秀26：掌心佐伊突破次元壁 泄露后期最高机密,聚印象视频,32365949,69036523,498198,89521,976603
这是一只能够毁灭人类的鹅!,中国BOY超级大猩猩,562197,68793636,677833,32397,868582
电子竞技没有死亡之组 自制S9催泪出征短片 LPL加油,电竞肝帝,383326579,68829737,454902,38210,780425
[王者/史诗]5分钟让你震撼到完全不一样的王者，让我们开始吧！毁灭这人间！全军出击完整版！,一只正能量的小集集,13401043,68998347,195141,25194,739393
游戏史上最肉BOSS！18小时才打得死的怪什么样？,神秘店长A,295711424,69238512,876973,16792,715096
那些年莫名停运的游戏！因太性感被家长喷死的网游你见过吗【侦探P】,侦探P,419526376,68646071,857651,7395,714663
【逗鱼时刻】第221期 我要写一个惨字,天天卡牌,10462362,69048759,1075370,15527,684200
【主播真会玩八卦篇】96：二百万带网友冲进51区，人人都是火影忍者,长歌与小见见,3682229,69160161,570963,46917,683028
它打破了恐怖游戏中怪的传统艺能！,小熊flippy,8730238,68963638,426500,24663,666438
没想到你好这一口！！明日方舟干员们的沙雕日常#6,时风____,14816481,68645513,366298,25724,663097
“能天使，掩护我！”,画画峰,2989565,68945326,393832,14898,622111
【主播真会玩主机篇】87：atree口若悬河舌灿莲花，骚宇梦幻邂逅梦醒人散,起小点是大腿,1565155,68849932,798970,18712,613388
[守望先锋]铁拳:录啊，怎么不录了??,悟那の,276535039,67941664,520851,3387,600135
马老师吃鸡自杀合集！,生活委员呀,404088669,68823823,333849,11196,588226
揭秘《魔兽世界怀旧服》“毛人风事件”的来龙去脉以及客观分析孰对孰错,贾尼玛大魔王,321750907,68700528,423332,26204,587058
你见过如此拽的清洁工吗？,花少北丶,2206456,68927468,329524,23476,564642
魔兽8.2.5新CG，萨鲁法尔单挑希女王阵亡。大军入驻奥格瑞玛,喃兑啊内,282982,68894452,973531,2781,558046
这个游戏的作者已经被逮捕！而我早已发疯！,与山0v0,26240675,68957957,623292,7924,556127
史上自由度最高的开放世界沙雕游戏！,白游医,432823413,68510614,520091,10085,554083
【老E】如此尺度的装甲！让我开始怀疑自己是不是喜欢,EdmundDZhang,433351,68904431,513578,11257,553629
【明日方舟】夏活结束后，全干员推荐排行榜+精2推荐值+技能专精建议,卡特亚,43222001,68438079,143013,27355,528835
【大仙全家桶】西施竟也能一套连招秒人？123121几何连，一直控到死，太赖了,指法芬芳张大仙,1935882,68848253,508827,5717,509449
2019英雄联盟全球总决赛抽签仪式,哔哩哔哩英雄联盟赛事,50329118,68787725,625886,3720,502413
近100小时打磨 百部素材完美结合 感受这视觉巅峰！极度舒爽！- Super Psycho Love,烽火湛蓝,7594110,66690765,193200,17247,498368
要死10W次才能通关的最虐恐怖游戏，95%的玩家玩了后被逼疯！,NBzhuoc大,152389373,69308026,348111,15733,494977
前方核能！6米巨型可动机甲『白鸦』匠心独造全纪录-《重装战姬》,重装战姬,390783979,68855722,335377,16947,478608
国产游戏用钞能力逆袭了日本？3个月狂赚27亿！【X博士奇谈】,游戏X博士,356798697,68915576,394101,10212,465025
【闪耀暖暖】母爱变质现场。                                   感觉自己好猥琐,城-北-花-又-落,304524316,66745205,581618,439,464818
小丑重做！W盒子出飓风，能攻击所有范围内敌人！可同时吃掉全图的野怪（,阿兹尔超宠粉OwO,35365051,68960121,524137,7320,456734
天天酷跑用封号的代价换来的视频，测试一下天天酷跑不用手最多能跑多少米。,丿4399小游戏,16080380,68670426,511851,3781,452960
【FPX RNG IG】他们代表着LPL 不管我们是谁对外我们是LPL！,设计猫的电音圈,106100100,68701247,290769,18631,448920
【STN快报第四季14】有一种人性的扭曲，叫做暴雪编剧,STN工作室,7349,69214042,395492,12693,445637
【纯黑】《甜蜜之家》这大概是你看过的最恐怖的版本 上,纯黑在企鹅电竞直播,585267,68800282,363241,9581,430980
手速快到服务器延迟？超音速盲僧，全程卧槽,六神超,31675279,68949150,466163,2550,419437
极致舒适 ！你爽就行！来感受无缝衔接的魅力！ 电影级cg混剪-降临,纸鸢_Somnium,81174791,68885663,258224,5867,414529
《崩坏3》动画短片「希儿」先行预告,崩坏3第一偶像爱酱,27534330,68979695,349039,6337,407137
【嘟督】为什么我家大鹅的叫声跟《动物世界》里的不太一样？,嘟督不噶油,2403047,68752968,310615,6477,402085
王牌特工老番茄,老番茄,546195,68166027,408670,4284,400359
如何让一个游戏玩家当场砸烂电脑？,靖菌命,4059920,69101955,217137,15111,390531
艾希新皮肤！这特效！是软妹币的味道~！,绿毛小熙染OvO,91254197,69007610,437720,5688,389450
[邪不压正]名场面：正经人谁开着直播毛装备啊,观察者V德,9143979,68827832,329604,12730,389122
愚 公 移 山,烽火大魔王_,290585313,68668445,256201,9268,379236
PDD直播看S9抽签仪式问RNG老板心情 RNG老板：这欧洲咱不去了！,猪酱の日常,81966051,68787591,485591,135,357732
【QQ飞车手游 极限计时】 终极大招,17_Xtreme,26982531,68799972,154627,16128,355398
【MC梦想改造家】委托人只是想要部新iphone，于是，设计师1：1还原苹果总部！,钨冬Jim,25974255,69156062,126115,19487,353036
我竟然被变态陪玩小姐姐追着问今年多大了，对不起我再也不骚了...,槐安遗梦,36825256,69360766,255389,15002,349794
【超级小桀】我喜欢偷鸡更喜欢不放弃！十五分钟人生！,超级小桀的日常,29440965,69171060,200423,21104,336944
策划眼中的孙尚香木兰与玩家眼中的孙尚香木兰,不知名的洛某,403251728,68843861,357631,4312,334459
魔兽世界和魔兽争霸CG集（已更新萨鲁法尔之死）,lswinset,12116597,4133945,275891,1881,333918
前方极度舒适！游戏CG女神混剪！享受来自美如画的小姐姐们的视听盛宴吧！！！,大白兔白不白,101575318,68338513,151432,7397,330837
【散人】恐怖人偶馆 诡异气氛下的谜之爱恋,逍遥散人,168598,68989916,215690,7746,329902
我内心有两个人在吵架,水无月菌,1958342,68860805,232128,10283,318324
美服主播Asmon组织近千人野外混战 暴雪被迫出面干预,NasDa,24140344,68648806,387069,240,317133
【玩梗TV5】坏起来了！抽签结束Faker马上开练加里奥，Doinb笑的自扇耳光！LMS：还有哈狗帮的人吗？,国电武术馆馆长,235630215,68919246,278865,8725,315422
塞拉斯吐痰bug：竟然可以无限使用龙女的e技能！,布锅锅,25503580,68769557,314655,1901,314065
【英雄联盟】西部魔影艾希 皮肤预览,英雄联盟,178778949,68935835,374568,608,312263
【毛人与风事件】当事人上线了？2019年9月23日当事人本尊须弥陀亲自参加毛人风主题活动！属实有排面！,酋长漫步录屏组,282564588,68711923,356448,1006,307792
creeper-aw man梗出处,hfhf_,89077517,62220264,157487,1692,306210
真香警告！Switch Lite开箱评测！这谁顶得住啊！NSL依旧符合真香定律！,李老师Leo,14232358,68819485,225172,8838,302732
【阴阳师】想用视频告诉大家，凌晨四点发生了什么…,解说七老爷,64137054,69002396,202406,10490,298177
【电竞全明星Disco】你要跳舞吗,超Carry的柴西,383578614,68618772,191582,13225,297418
用我26万秒换回这几分钟的精彩(不想就此湮没),雨风听楼倚,131403024,68828298,237097,8370,293084
MLXG和LETME看S9抽签：卧槽，RNG要打SKT！,火播君,268536810,68798407,340428,220,292221
野怪爆了青龙刀瞬间来三张天使？神超你*买菜必涨价 超级加倍！,积极向上的十二,361840091,68743298,313597,1297,288733
【云顶之弈】五千绝望护盾！九法双帽子二星卡莎单骑七进七出,ZR一生推,7128890,68678232,343997,179,288549
【白给秀50】CSGO茄子：AK王子 一路走好,117丶,9869749,68984606,287063,4552,288352
王者荣耀：新英雄鲁班大师试玩，机械臂外附魂骨，在线暴打鲁班七号！,纤歌帝,53429754,69099704,317363,150,288295
守望英雄的假期,网易暴雪游戏视频,2929048,68636722,247995,3315,286188
神超不做人云顶篇04期：云顶冲分秘诀，神超心中最强阵容竟是它？,GoDlike_神超,388063772,68945440,219253,7350,285919
【莱莎的炼金工房】直播录像 已通关【1~28P】,黑桐谷歌,43536,68996849,245576,2685,279409
LOL最恐怖套路 活尸傀儡自爆式袭击[有点骚东西],上海滩许Van强,23604445,68434820,199256,12775,278254
当你的女朋友要和你分手,Cherry与昏睡红茶,393643716,68942762,294449,507,277581
2019.09.18炼乳,菜菜录播,425272962,68202594,240864,175,275862
冰呪龙-华美的冰之乐章【怪物猎人生态】,艾森巴赫,2379178,68951146,159118,12925,274714
造桥鬼才丨老外:为什么排行榜前全是中国人？,在下顾小刀,10835521,68856326,227174,7271,269422
《软泥怪皮孩厂》第十四期：猛虎版新宝岛，了解一下？,皇族电子竞技俱乐部官方账号,257851644,68959370,224718,7897,269054
【不好看 我退币】崩坏三 你就是我的家啊——心之归所，就算离开了也要时常回来看看啊～那里有我寄予的时光，单纯的我……,忆花梦落,172513587,68034306,89172,14090,265554
你们女生是真的不知道两万块钱在游戏玩家眼里意味着什么？,戏精小分队,392070416,65191177,189229,3730,262608
【敖厂长】1989年炸裂级沙盒游戏 30年前的无人深空,敖厂长,122879,67455292,166142,12196,262452
黑丝小姐姐本人献上Unity 3D游戏场景，画质也太强了吧！,樱花兔个人工作室,11632604,68894912,220145,1290,256829
【阴阳师周年庆】日轮之城CG展卷,网易阴阳师手游,30973654,68528118,129046,6287,253565
王者荣耀刺客现状,没腿的柯基,5838917,68942712,174303,3817,252962
AP龙女最强套路：不选龙女！永久巨龙形态吐痰 这谁顶得住啊？,葡萄的叮当猫,65538469,68765427,220946,1354,251334
【反向巡礼】LPL新科冠军——FPX,抽风的飞机,47291,68856376,243383,3078,247381
如果所有英雄都按照真实身高进入召唤师峡谷完整字幕版,木易百万,9312238,69139440,268719,350,245488
【游戏推荐】【神优化】十款低配、神优化的单机游戏！,pic-米粉,171369141,68482834,179119,3924,244997
戴上耳机！前方高能！！带你体验一场极致奢华的视听盛宴！！！,名字君Montage,37672137,51689232,111550,4596,241337
LOL云顶之弈：三巨九杰斯，你开挂了？完成版,CC游戏解说,153337678,68568845,236028,3761,237331
英雄联盟技能剪辑+DNF技能音效,快乐飞风,413767858,65453023,119750,10953,237090
【小黑聊怪物】游戏史上最出名的怪物 第一期 （胆小慎入）,彼望黑,385474,69291863,115388,10947,235839
【明日方舟】斯大凛用苏维埃的方式登录骡德岛,可靠de伏特加,50844167,68984024,107277,5751,235745
真·麦林炮手。,-Lmoon-,131895416,68529326,286850,86,234793
