title,author,uid,aid,play,coins,pts
【敖厂长】2019年超辣眼垃圾游戏(PS4/STEAM),敖厂长,122879,69450863,1115778,82333,1268023
【C菌】八岁少女如何度过生命最后一天？《不幸小姐/Little Misfortune》实况连载,渗透之C君,4162287,69511380,229939,27748,819065
炉石传说：【天天素材库】 第164期,天天卡牌,10462362,69469160,533165,6073,448526
【是大腿TOP10】国庆特别篇：薪火传承！中国电竞风雨二十年,起小点是大腿,1565155,69406391,290883,24293,418073
罗汉鬼套路：揍亚索最狠套路 大B兜流石头人,罗汉解说,51896064,69024725,171775,18096,375179
【散人】伟大母亲的奋斗发家史（完结合集）,逍遥散人,168598,68925254,167529,14065,369392
【云顶之弈】凌冬将至，极地亚索冻翻全场！,靠脸吃饭的徐大王,16794231,69226545,208537,13454,341174
陪玩小姐姐竟然给我B站号盗了？【小潮国基网骗】,小潮院长,5970160,69226950,178835,18046,337434
世界上BUG最多的搞笑游戏 每局3000个BUG,黑镖客梦回,10558098,69165109,217169,5477,311744
王老菊教你分身潜行（莽）,怕上火暴王老菊,423895,69417994,225382,7653,290083
剑魔脏套路!肉的同时伤害高吸血又猛，泉水站撸抗十秒都不死,千钧ㅊ,284093321,69280491,185198,12578,280234
【大仙全家桶】大仙首创技能“偏移法”，轻松击杀技能范围外的敌人！,指法芬芳张大仙,1935882,69503909,269465,3470,275025
RNG战队S9全球总决赛出征概念片《征·战》,皇族电子竞技俱乐部官方账号,257851644,69506297,186503,12144,274999
13年前火遍中国的神级“游戏掌机”电子词典能玩什么游戏？,神秘店长A,295711424,69467834,171141,8379,246238
俩老外在中国服务器里疯狂飙中文！甚至还互相教学？,信徒Shinja,798527,67591920,119090,6176,243041
要死10W次才能通关的最虐恐怖游戏，95%的玩家玩了后被逼疯！,NBzhuoc大,152389373,69308026,157888,6974,235782
《30万粉丝纪念作》CF猛龙追人 灭尸绝根 胆敢招惹者 定让他粉身碎骨 玉龙解说穿越火线,称韩D姜玉龙,16097105,69470368,83184,17954,220381
我竟然被变态陪玩小姐姐追着问今年多大了，对不起我再也不骚了...,槐安遗梦,36825256,69360766,161733,6027,199719
