title,author,uid,aid,play,coins,pts
俩老外在中国服务器里疯狂飙中文！甚至还互相教学？,信徒Shinja,798527,67591920,3363007,215416,4736608
【老番茄】烂俗笑话,老番茄,546195,65844602,2421180,296579,4534835
耗时178小时，戴上耳机！感受每一帧都踩点的视听盛宴！,卢本偽的师傅丶r,313724156,68365122,2156972,169031,4099100
罗汉鬼套路：揍亚索最狠套路 大B兜流石头人,罗汉解说,51896064,69024725,2532854,319638,4078826
【敖厂长】1989年炸裂级沙盒游戏 30年前的无人深空,敖厂长,122879,67455292,2447848,269264,3122201
【LOL8周年】这个故事 还没有完结,英雄联盟,178778949,66382748,1242217,95851,2252001
近100小时打磨 百部素材完美结合 感受这视觉巅峰！极度舒爽！- Super Psycho Love,烽火湛蓝,7594110,66690765,1020590,86256,2248571
【云顶之弈】1秒14喷！动物园杰斯打爆全场！,靠脸吃饭的徐大王,16794231,68469102,2004408,165175,2223414
陪玩小姐姐竟然教我怎样做up主？【小潮国基网骗】,小潮院长,5970160,67536654,1230379,98897,1950788
靠谱盘点57：后院起火！两位性感女主播为Doinb直播争宠！糖小幽：滚！！,靠谱电竞,279991456,67498782,1631946,131738,1729180
【互动视频】年度巨制！在B站也能抓神奇宝贝啦！你能抓到全部的精灵吗？,大侦探任天狗,2878451,66207605,799033,64857,1716208
LOL最社会套路 黑手女砍王失传绝技[有点骚东西],上海滩许Van强,23604445,66353403,1010974,133642,1615170
世界上BUG最多的搞笑游戏 每局3000个BUG,黑镖客梦回,10558098,69165109,1606437,52483,1589327
【每天一遍，防止抑郁】王者荣耀,杯子里的妖刀,54920491,66442627,966600,35263,1555473
前方极度舒适！游戏CG女神混剪！享受来自美如画的小姐姐们的视听盛宴吧！！！,大白兔白不白,101575318,68338513,894437,36403,1554589
b站的铁子们，你们的打野靓仔MLXG来了,mlxgzzz,471143290,66391690,1310640,120304,1528692
【C菌】B站三怂又双叒叕被吓飞!《黑相集:棉兰号》双人实况|已完结|字幕放大版,渗透之C君,4162287,66821481,1087089,49921,1505265
【明日方舟】气突苏的罗德岛,画画峰,2989565,67067290,614731,42971,1471136
lol设置里的"按下另一个技能..."到底有什么用？真的能加快连招速度？,葡萄的叮当猫,65538469,68064540,1101129,28766,1434335
99%的人不了解的赛博朋克——游戏文化潮流01期,深红辣酱,383762604,66128569,669929,60398,1413630
aAanza性感羊驼在线DDu-Du DDu-Du,水神姬老师的眼镜,18534696,65890831,1106541,15551,1363342
变态老板点到了偷偷摸摸只会玩鬼畜区的陪玩小姐姐,槐安遗梦,36825256,67526663,1026211,106032,1337631
【是大腿TOP10】83：出来混要讲信用，LOL里那些被实现的骚话！,起小点是大腿,1565155,67084501,955719,75259,1319059
【年度巨献】真实还原开学惨烈战场，分分钟戳中你的心！,纸鸢_Somnium,81174791,65402434,705086,33075,1309366
【主播真会玩八卦篇】93：毛子连麦武田，四国语言的车速太快了，1500块钱的私图你就给我看这个？,长歌与小见见,3682229,66811481,1399365,60156,1268870
minecraft meme ，可谓是每个MC玩家的一生了,团团酱w,349840592,64763720,554875,14771,1219260
【小狼XF】《明日方舟》OF-EX全关卡 无精2/单精2 最速低配攻略 火蓝之心 OF-EX6 OF-EX4 OF-EX5,小狼XF,298484,66455208,1657529,25050,1174378
飞机坠毁！与老坛孤岛求生！！,徐大虾咯,13354765,68853698,1058539,55964,1170019
【嘟督咆哮解说】女鬼欠的风流债居然要我还？《甜蜜之家》（最终话）,嘟督不噶油,2403047,67714304,614308,56951,1160518
【游戏侦查冰】游戏公司为什么要上市,芒果冰OL,617285,69222967,545426,62108,1115095
【LOL喜庆歌曲】打野《易燃易爆炸》,潘老6,2631944,68090180,596536,48953,1106984
【出山】崩3版，初闻不知曲中意，再听已成曲中人。,死亡人鱼,5725190,67410264,309142,45925,1049006
聚印象TOP秀26：掌心佐伊突破次元壁 泄露后期最高机密,聚印象视频,32365949,69036523,517641,92309,1047061
戴上耳机！前方高能！！带你体验一场极致奢华的视听盛宴！！！,名字君Montage,37672137,51689232,530543,21696,1039922
DNF发展史——十一年,川同学不穿童鞋,6065166,66616468,441346,54300,1035419
【年度最强MC番剧】天灾之下·第三集【同调】,月影Yancie,3186399,67662132,260933,63310,1016664
【史诗/震撼/崩坏3RD】ANNALS|崩坏编年史,T--K,25467124,66938671,207154,42082,1007958
《罗德DISCO》,午后游荡,253713741,67348293,417077,30129,991510
【该细还得细】FGO国服《Serva Fes2019从者·夏日·庆典》夏活/泳装三期攻略,削人棍专用BGM,47780275,66898751,561316,44737,984893
【本气黑猫】明日方舟攻略合集（突袭5-3 5-7 H5-1 H5-3 H5-4 LS-5  CE-5 SK-4绝境作战 芯片 物资筹备 剿灭作战切城龙门）,本气黑猫,38829,51121699,2105268,15085,976583
这是一只能够毁灭人类的鹅!,中国BOY超级大猩猩,562197,68793636,725630,34075,947432
creeper-aw man梗出处,hfhf_,89077517,62220264,517293,4671,933832
没想到你好这一口！！明日方舟干员们的沙雕日常#6,时风____,14816481,68645513,483045,42197,930726
[王者/史诗]5分钟让你震撼到完全不一样的王者，让我们开始吧！毁灭这人间！全军出击完整版！,一只正能量的小集集,13401043,68998347,246244,30861,926855
【崩坏3三周年MAD】梦醒·前行,ALEX井君不会打音游,2014513,66830898,248633,36936,925492
爆肝100小时 只为这两分半的巅峰体验 不吹不黑全程高能,Crazy-face,37439823,67236393,544780,24570,924415
卢本伟之忍住不笑大挑战，你能坚持多久？？？,花芝虹,9336404,63120995,558281,14671,921736
戴上耳机！高燃预警！感受全英雄台词给你带来的视听盛宴！！,觅森青,5504100,55441063,432319,24632,915054
17张牌你能秒我？？你能秒杀我？？17张牌你今天能把我卢本伟秒了，我当场就把这个电脑屏幕吃掉！！！,铁路吴彦祖,28824825,12611527,904548,5409,914736
【明日方舟】夏活结束后，全干员推荐排行榜+精2推荐值+技能专精建议,卡特亚,43222001,68438079,385650,38766,887466
王老菊教你硬核传道01,怕上火暴王老菊,423895,68318839,854573,33633,880017
史上自由度最高的开放世界沙雕游戏！,白游医,432823413,68510614,1038537,19641,878799
毛子PK武田：一个俄罗斯人和一个日本人用中文交流...当场爆笑,后海大鲨雕丶,98733265,66114753,881089,11368,873040
神还原！用华农兄弟完美打开GTA5抢劫模式！,Ty丶童心未泯,88070980,67101330,594020,36764,861148
【王者荣耀/台词混剪/全程高能】无人可见 无人能敌,冥王府逍遥,112364312,64193652,403760,12013,857459
游戏史上最肉BOSS！18小时才打得死的怪什么样？,神秘店长A,295711424,69238512,1091367,19031,851446
【饥荒】用饥荒的方式打开86版《西游记》片头曲《云宫讯音》,FerociousMagikarp,7004723,66439911,364963,50330,846385
阿离新皮肤粉色泳装，戴着李信送的项链快乐起舞，王者荣耀变装p图,百里小黄人,427713777,66853694,752573,10210,841347
the shy:我在IG打上单的那些日子,提着刀的胖虎,287529225,64278345,822344,27691,831217
【老E】憨批游戏组合 02,EdmundDZhang,433351,66231953,821335,27111,828901
【王者荣耀/史诗/台词向】感受一下王者荣耀的魅力吧！,野良不吃鱼a,27379721,63212179,453340,14018,824518
【搞K点】被玩家怒喷后，游戏公司都是怎么做的？腾讯EA应对秀了,Kyo酱肉丝,437448316,66834198,591431,39143,807879
英雄联盟技能剪辑+DNF技能音效,快乐飞风,413767858,65453023,427679,38250,802076
电子竞技没有死亡之组 自制S9催泪出征短片 LPL加油,电竞肝帝,383326579,68829737,471089,39221,799163
你们女生是真的不知道两万块钱在游戏玩家眼里意味着什么？,戏精小分队,392070416,65191177,647132,13016,796904
超帅，烬之开场，LOL巴西赛区决赛开幕式,荒林生穗,7466834,67069539,764379,7359,796454
[S9选拔赛]9月8日 TES vs IG,哔哩哔哩英雄联盟赛事,50329118,67054514,1852458,8075,795974
游戏史上最难的锤子游戏，我通关了！！！,浅唱君Jacky,29191734,64543758,627562,43974,794486
【祢 豆 子】  可爱跑步机？！,HK黑客,2724095,67764620,629042,23270,784183
这个马里奥保证你全程都口吐芬芳,Rosegarden丶,111482382,66388475,454585,37395,767755
《生化危机2重制版》克莱尔粉红色军医服装MOD,z蔚蓝z,92288580,67506395,733226,2449,766883
【逗鱼时刻】第219期 你看我这手6不6,天天卡牌,10462362,67473671,1331847,19754,763593
耗时72小时，戴上耳机，感受这泪燃的八分钟！,柚丶小豆,170483929,64514258,334637,24183,759256
【Top10】游戏史上让人卧槽不止的十大画质mod,奥兰菌,5009981,66851263,569512,13670,755947
【阴阳师】3年了，你还在坚持什么,那年杏花微雨,13794262,66275341,280855,32385,755506
对于游戏版号！韩国终于急了，为什么还是没有一款韩游过审？,老管子游戏,29067952,55518148,590419,49035,745314
当我要告别绝地求生 奇迹发生了..,花少北丶,2206456,66722969,454095,33712,743210
【散人】史上最难FC游戏梦幻复刻 打哭到流泪,逍遥散人,168598,66864563,507004,30224,738366
RNG UZI S9宣传片 致陪伴了整个青春的uzi，我只是个无名之辈，但我希望你能夺冠。,Dao道道子,2940300,67664981,582388,25133,733003
【互动视频】究竟是真人版的GTA 还是看门狗？,森纳映画,1724598,66887252,537306,15539,731626
曾经4399背后的操盘手 太可怕了...,独立菌儿,102984190,65620083,419711,13981,710068
【裸眼3D】金克斯冲出屏幕的视觉效果！！,只尤蜗,152969532,64707014,596339,17861,706067
要死10W次才能通关的最虐恐怖游戏，95%的玩家玩了后被逼疯！,NBzhuoc大,152389373,69308026,505999,22707,705206
那些年莫名停运的游戏！因太性感被家长喷死的网游你见过吗【侦探P】,侦探P,419526376,68646071,896836,7747,700720
