title,author,uid,aid,play,coins,pts
用雪糕棍制作了一台造浪机,司马好奇,388560897,69173826,969235,102715,1649201
爹就是爹，儿就是儿,小龙哥co,351427067,55892248,893901,15147,1384826
习近平跟袁隆平的悄悄话，被我听到了,广东共青团,330383888,69420853,1670574,43625,1262147
只要思想不滑坡，办法总比困难多！,摇曳兔,36394728,69226764,1263078,6056,1139200
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,515190,14483,1130636
播音系师哥教你如何让“声音变得更加好听”，一学就会！一用就灵，不灵不要币！拒绝声卡战士！,高冷小姜,449825072,68876584,297587,18191,1076925
医学博士：如何做到每天合理睡眠？ I 如何解决一学习就困？,兔叭咯,7788379,68512912,563362,19402,1024073
尝试吃自助餐把老板吃破产！结果老板还送了我瓶红酒！,敬汉卿,9824766,69175123,1805286,35963,1007537
中国地图出来那一幕，我眼睛湿了,谁在深海的菠萝里,432858056,68856088,512221,24678,1006970
“终于找到我爸痴迷邓丽君的原因了……”,小爱大叔,345685773,68761865,688341,7262,913520
这小姐姐一定是TVB的配音员吧，简直像的不要不要的~,小飞虫hhh,28830022,69017457,808791,8092,864483
负  能  酿,小明为啥不合法,269499025,69277938,624481,12942,853101
又一个UP主要退出B站，去拍抖音视频赚钱！？,nG家的猫,39893537,67421911,425007,57594,833144
华农兄弟：山药带我们去摘野生猕猴桃，顺便摘了一点核桃,华农兄弟,250858633,69165560,1633079,22959,814352
当中国地图出来那一幕，我眼泪都出来了！真是太棒了,卧龙寺,258457966,68899174,498156,17496,804019
安倍晋三录视频祝新中国成立70周年 用中文问好,山东共青团,228832527,69143627,1256541,4637,791840
试吃500一公斤的新西兰“深海鳌虾”，刺身中的极品真的好吃吗,翔翔大作战,196356191,69274857,1729729,17570,789674
爷爷每天孤独一人，中午只吃白面条，老人们的辛酸谁能懂？,正能量孙鼎,440547139,69241370,573810,80893,777690
【C座802】悲催小伙帮老板写杂志，没想老板提出这种过分要求，小伙欲哭无泪,正经C座802,434716461,69267863,435697,53375,768840
试吃鲜活牡丹虾！这辈子吃过最好吃的刺身！！太爱你了！！！,大祥哥来了,2920960,69099896,925617,36275,768627
【朱一旦】76 在街边被记者们围住，问我月薪多少,朱一旦的枯燥生活,437316738,69289400,1779892,12590,767950
别让我泳装了,假的校花,138885741,69383572,845490,26951,759354
这喷嚏威力真大,猫耳乱乱,607588,69244833,712224,3914,748349
b站600万播放量能赚多少钱?一次性花完是什么体验？,我是芒十一,27674245,67434877,435290,67642,728731
【农药组合】九天雷霆双蹬腿！华农兄弟和山药魔鬼联动！,卿初萸蓝,175478009,69278122,508460,28543,711770
这段视频我将珍藏一生，是我永远的快乐源泉~看一次我都笑一次,管管丶,49688838,65625263,509381,3470,679586
一盆炸串，四大包泡面，侄女过来大sao又加餐，最后收底真过瘾,徐大sao,390461123,69288106,1103287,13055,667920
男子突袭女主播房间，结果....,孤独的美食基,4474705,69355001,723264,13432,651434
厨师长教你：“干煸肥肠”的家常做法，香辣酥脆，先收藏了,美食作家王刚R,290526283,69231435,810212,6948,637508
进京领奖前的袁隆平，快乐得像个孩子！“啯是哪个suai锅锅？”,青年湖南,43563506,69267906,772265,9696,636464
别人学校的运动会,zero浪人,281974261,68037046,1237480,261,628350
影   流   之   主,北极熊剩飯,173492116,62162985,662428,4152,616700
我给黑粉们写了一首歌,老坛胡说,279583114,69394708,392806,31505,590878
欧美女明星看到肌肉男的真实反应,微博YouTube精彩视频,412719797,67690394,702193,382,589324
真实国内网贷催收录音，听到第三段就崩溃了！！！,子文v5,285050153,69008764,509815,2292,587648
大晚上的一个人去吃汉堡 结果目睹抢劫现场,假美食po主,26139491,69218909,688626,18403,576959
不要笑挑战地狱级别，全程高潮停不来，输了严厉惩罚自己,大胡子魏,438880209,69359393,638104,15147,571080
100块vs1300块日本寿司有什么区别？一女子吃完她说。。。,纳豆奶奶,6574487,69195551,588195,16529,568066
原来电影里重机枪的配音是它配的,瘫倒的Aqua,249976627,69319159,666836,1039,558036
我和力元君怎么认识的？,徐大虾咯,13354765,69110183,459425,19960,551796
不好笑不要钱 女排姑娘的群口相声,夏猴猴,53067367,69095790,406861,6827,547081
papi酱不定期更新的的抖音合集——9月,papi酱,1532165,69146318,612431,6705,546475
你再跟我说一遍猫是液体？？？,喵来啦_,33918431,69374346,394910,19091,536556
如何增强自信心？聊一聊以前因自卑受欺负的经历（分享变自信的方法）,拉宏桑,11870568,69243116,346295,20424,534278
漆二娃vlog：“香辣牛蛙”，道菜的特点就是要舍得放“宽油”,馋小漆,443278110,69185596,792697,10090,524746
真·美食博主终于到100万粉丝了，感谢大家厚爱“读评论”特别篇,记录生活的蛋黄派,337521240,69274085,454454,22061,519233
【互动】养成向：当你的女友变成丧尸，只能把她监禁,绝不早到小吱吱,11616487,69252237,387706,10326,518923
