title,author,uid,aid,play,coins,pts
播音系师哥教你如何让“声音变得更加好听”，一学就会！一用就灵，不灵不要币！拒绝声卡战士！,高冷小姜,449825072,68876584,631294,41395,2401344
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,908080,22377,1653641
【党妹】vlog｜在飞机上洗澡！？全世界最豪华的阿联酋航空头等舱测评！,机智的党妹,466272,68944415,1493620,93001,1552306
王者荣耀真人硬核模仿合辑（一）,吃吧大小贰,208130286,68746222,835928,59755,1535766
用雪糕棍制作了一台造浪机,司马好奇,388560897,69173826,856892,91769,1516536
小伙挑战冰岛鲨鱼肉，这鲨鱼肉远远闻上去就比鲱鱼臭好几倍,敬汉卿,9824766,68759178,2419606,89270,1458669
当中国地图出来那一幕，我眼泪都出来了！真是太棒了,卧龙寺,258457966,68899174,1133168,32973,1380952
爹就是爹，儿就是儿,小龙哥co,351427067,55892248,780058,14109,1348062
医学博士：如何做到每天合理睡眠？ I 如何解决一学习就困？,兔叭咯,7788379,68512912,772246,29991,1318325
“终于找到我爸痴迷邓丽君的原因了……”,小爱大叔,345685773,68761865,1320233,10516,1314339
Van要来中国了！,神秘的白小黑,54759887,68722610,1429861,11854,1275665
华农兄弟：抓6只竹鼠去王刚跟山药家玩，尝一下他们烤竹鼠的厨艺,华农兄弟,250858633,68974878,2379513,67558,1268354
试吃鲜活牡丹虾！这辈子吃过最好吃的刺身！！太爱你了！！！,大祥哥来了,2920960,69099896,1686204,90153,1223793
这小姐姐一定是TVB的配音员吧，简直像的不要不要的~,小飞虫hhh,28830022,69017457,1236360,11702,1104543
【朱一旦】71 每年的这一天，都会变身潮男，祭奠爱情,朱一旦的枯燥生活,437316738,68615520,1638409,38916,1059074
假如游戏进高考：好好学习走位，不要攀比装备！,papi酱,1532165,68726964,1359436,31348,986361
我和力元君怎么认识的？,徐大虾咯,13354765,69110183,790994,49356,922696
试吃588一桌的“傣族孔雀宴手抓饭”，满满一桌菜堪比满汉全席,翔翔大作战,196356191,68824322,1895868,29388,914623
探秘上海一顿吃了40万的餐厅，什么菜竟然这么贵！,我是郭杰瑞,176037767,68695439,1776278,29295,910839
影   流   之   主,北极熊剩飯,173492116,62162985,1298268,7933,910468
当你用工地英语跟外国美女尬聊。。,老坛胡说,279583114,68853773,713271,41503,909828
只需要4种原料的超简单duang duang『牛奶冻』 ̊ଳ ̊,皇家流沙包,15288260,68704795,384812,15500,905860
悉尼街头惊现汉服快闪《我和我的祖国》,听月小姐姐,391963374,68855807,463062,46051,894836
几个熊孩子来家里蹭网玩游戏，我不断拔网线，险些把他们逼疯...,东尼ookii,285499073,68574273,835240,43482,874406
全B站最快的男人,沙雕饲养员乐乐,289844962,67686078,857111,4643,865246
百万粉up创作激励能有多少? 兑现承诺一次花掉！！!,罗汉解说,51896064,67099564,341636,84903,858655
知乎8万点赞！堪比人生外挂！教你厚黑心理技巧,阿里巴巴与四十只鸡,32426640,68216174,274859,13745,852094
学习农国栋师傅花三万块制作【佛跳墙】，打破全网最贵记录！,天蓬大元帅帅帅,436431116,68924548,578450,60501,838067
只要思想不滑坡，办法总比困难多！,摇曳兔,36394728,69226764,899887,3982,836662
人类已经无法阻止哈士奇了,和你们一起,20216590,67296060,613474,5446,833948
真实国内网贷催收录音，听到第三段就崩溃了！！！,子文v5,285050153,69008764,959305,3995,826255
万恶之源：谁TM买小米,我叫夜猫儿,386436034,66512542,894110,2973,811719
又一个UP主要退出B站，去拍抖音视频赚钱！？,nG家的猫,39893537,67421911,420124,53838,807519
慧学通高效学习法 教你如何废掉孩子,黑玛瑙,834635,68348993,363601,21067,799824
中国地图出来那一幕，我眼睛湿了,谁在深海的菠萝里,432858056,68856088,441879,17686,798014
这段视频我将珍藏一生，是我永远的快乐源泉~看一次我都笑一次,管管丶,49688838,65625263,650743,4485,797652
【全程高能】请看好你的硬币！,欢乐颂nana,103913891,68761888,329101,46255,771840
一个人去吃饭结果拍到路人被骂了一顿 最后被保洁员安慰。。。,假美食po主,26139491,68902239,944895,34981,769918
【中字】如果同一个场景反复出现在你眼前,译制组长小哈板,320488860,68946179,965096,3241,768544
中国一学生携防弹衣入美被拒，一句灵魂拷问！令美国网友陷入沉思,空格魂,16576379,68767286,1751237,2929,764983
猫：我还想再来一次,我是AD不是钙奶,471092278,68425367,689773,3882,753413
明天来财务处结一下工资,七月七日.,33138926,66057002,847046,2900,750914
4元一只，一口爆浆！其他生蚝都目瞪口呆(｡ì _ í｡),盗月社食遇记,99157282,68848058,1329065,12147,745724
在军训学生面前喝冰镇可乐差点被教练打,某布君,37291782,68412699,875445,17560,742240
B站国庆办了个漫展！up主们纷纷表示要去！,LexBurner,777536,68930825,969902,14043,739295
安倍晋三录视频祝新中国成立70周年 用中文问好,山东共青团,228832527,69143627,1047496,3626,732331
男生不会告诉你的普遍小癖好,冷清小,289095357,68792824,652554,15862,730712
反人类饮水机的正确使用方法¿¿¿,猫耳乱乱,607588,68663978,736196,2802,722219
