title,author,uid,aid,play,coins,pts
习近平跟袁隆平的悄悄话，被我听到了,广东共青团,330383888,69420853,1642687,42979,1249630
华农兄弟：帮摄影小哥把板栗摘回去，顺便把南瓜也全部摘回去,华农兄弟,250858633,69408894,1068473,13505,680172
把可口可乐咖啡+放到加湿器里面完全可以兴奋肝一晚上？,敬汉卿,9824766,69506429,965005,16769,661422
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,217418,6697,535361
负  能  酿,小明为啥不合法,269499025,69277938,350873,7415,523517
大sao吃重庆火锅，鸭肠当面条吃，四人份配手擀面，肚子吃大一圈,徐大sao,390461123,69403472,564343,15706,497122
四伯买了一套牛鞭，王刚做成香辣味型的家常菜，四伯说味道好极了,美食作家王刚R,290526283,69486779,601102,2946,490238
为庆祝我百万粉丝，亲戚盖了栋上百万的房子给我，硬核庆祝,在下哲别,416128940,69515864,304992,26094,485444
【朱一旦】77 致富有道，别学小暴，破产之日，虽迟旦到,朱一旦的枯燥生活,437316738,69400725,634000,3108,474895
别让我泳装了,假的校花,138885741,69383572,477991,12103,472447
放假了，少女独自在家跳羊驼舞！！【欣小萌】,-欣小萌-,8366990,69427114,406186,6710,468207
报告老师，这有位同学蹭课还睡觉,风度翩翩的猪肉佬e,399389665,69381527,430926,10990,466913
只要思想不滑坡，办法总比困难多！,摇曳兔,36394728,69226764,363191,2074,465256
你再跟我说一遍猫是液体？？？,喵来啦_,33918431,69374346,311686,12049,439621
我觉得大众是不是放弃竞争了？,卧龙寺,258457966,69442993,447339,407,394732
不要笑挑战地狱级别，全程高潮停不来，输了严厉惩罚自己,大胡子魏,438880209,69359393,397197,9751,383841
缓缓打出一个  ❓,弓长死皮赖脸,25730578,67207604,275680,1666,380572
中国地图出来那一幕，我眼睛湿了,谁在深海的菠萝里,432858056,68856088,173208,9414,380485
芝士就是力量！小伙在家做韩式芝士排骨，也太香了吧！,记录生活的蛋黄派,337521240,69473388,312613,12024,377815
安倍晋三录视频祝新中国成立70周年 用中文问好,山东共青团,228832527,69143627,370256,1302,353733
5个兄贵深夜闯入恐怖无人医院发现四十年前病历表,楼上的老张,28642491,69484715,155395,18756,350712
“终于找到我爸痴迷邓丽君的原因了……”,小爱大叔,345685773,68761865,198787,2299,345042
爹就是爹，儿就是儿,小龙哥co,351427067,55892248,185212,3025,333855
暴 躁 店 员,面包不过三岁就帅炸了,21561747,66827330,206030,1405,323973
解  脱  者,中野二奶,183920054,69286120,363573,212,322866
如何让一只猫瞬间去世,猫耳乱乱,607588,69398131,322466,337,321849
【小潮院长】小伙花1000元疯狂扭蛋？收到手办后开心到变形！,小潮院长,5970160,69472642,216891,8913,317995
瘟  疫  之  源,Bullet蛋蛋,1576507,69282322,341140,198,313706
播音系师哥教你如何让“声音变得更加好听”，一学就会！一用就灵，不灵不要币！拒绝声卡战士！,高冷小姜,449825072,68876584,83660,4621,303541
医学博士：如何做到每天合理睡眠？ I 如何解决一学习就困？,兔叭咯,7788379,68512912,141355,5122,303257
别人学校的运动会,zero浪人,281974261,68037046,353067,83,302694
影   流   之   主,北极熊剩飯,173492116,62162985,263842,1656,301691
放假的都进来看看！国庆没假放的我为什么笑的如此开心？,力元君,19642758,69509286,235735,8089,295389
男子突袭女主播房间，结果....,孤独的美食基,4474705,69355001,296839,4012,292844
原来电影里重机枪的配音是它配的,瘫倒的Aqua,249976627,69319159,281384,460,289161
进京领奖前的袁隆平，快乐得像个孩子！“啯是哪个suai锅锅？”,青年湖南,43563506,69267906,258741,3435,286715
这段视频我将珍藏一生，是我永远的快乐源泉~看一次我都笑一次,管管丶,49688838,65625263,192062,1379,281237
现代女性的崩溃：丧偶式育儿的痛，有谁能懂？,大连老湿王博文,56065480,69473011,152414,17793,277342
这才是猛男该看的东西,灭霸的套,383035624,69368870,294267,492,276057
神户牛肉没那么神！100块就能吃到！100块的神户牛和1000块的神户牛有什么区别？,绵羊料理,18202105,69443808,238737,5534,272880
我不仅要和你吵架，还要减肥让自己嘴动得更快！,狂风桑,1893045,69499654,178641,9486,265481
我给黑粉们写了一首歌,老坛胡说,279583114,69394708,190058,10246,265109
用雪糕棍制作了一台造浪机,司马好奇,388560897,69173826,120181,12330,263996
爷爷每天孤独一人，中午只吃白面条，老人们的辛酸谁能懂？,正能量孙鼎,440547139,69241370,163826,23111,261937
这可能是最早的nmsl♥,这个名字什么的,60432530,67000039,240970,444,261751
我又佛了,二大妈来喽,474540853,69381999,201550,8795,261085
普通人改变命运的机会 大约8年一次。,商业小纸条,434185303,69446577,179240,2519,255239
我在考虑要不要也换台手机！,阿彪疯了,6543166,69288725,294730,80,249083
