title,author,uid,aid,play,coins,pts
百万粉up创作激励能有多少? 兑现承诺一次花掉！！!,罗汉解说,51896064,67099564,2291977,804978,7265047
老板：这个瓜请给我削成一般人吃不起的样子！,三毛水果艺术,352248648,66615043,5051493,722464,5679406
【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了,200斤的老艾,34232005,56927206,3545486,83496,5377706
我被抖音网红抄袭，但是我却把视频删了,杰克辣条,346342151,66285422,3437565,517100,4223522
信誓蛋蛋的道歉,信誓蛋蛋,32786875,68039778,5514460,359071,3939995
知乎8万点赞！堪比人生外挂！教你厚黑心理技巧,阿里巴巴与四十只鸡,32426640,68216174,1483060,68497,3833734
我花了五十万盖了一所希望小学！我有史以来最贵的视频！,敬汉卿,9824766,65684153,2113528,483859,3549531
【DIY木刀】紫光檀1:1可拉刀光龙刃 看到最后一定不会后悔,才疏学浅的才浅,2200736,66779018,1258539,259417,3442958
这段视频我将珍藏一生，是我永远的快乐源泉~看一次我都笑一次,管管丶,49688838,65625263,3548350,30678,3368303
b站600万播放量能赚多少钱?一次性花完是什么体验？,我是芒十一,27674245,67434877,2737623,417950,3274010
为了追到学姐，我撒钱逗她开心，我的一个故事05,钢铁直男必老板,3116281,67003350,2188820,204325,2916469
【互动视频】性取向测♂试！,特别中二的q3君,8937568,65760443,2823802,150358,2842669
50+个蛋总结出史上最硬核的蒸蛋教程，喃猫良心出品，蒸蛋必胜法宝【原版】,喃猫小厨房,471314986,66367989,862982,122324,2811195
【人间绝句】盘点那些震古烁今的人间诗句。,一个爱吃的猪,60509716,65008873,702521,57737,2745249
播音系师哥教你如何让“声音变得更加好听”，一学就会！一用就灵，不灵不要币！拒绝声卡战士！,高冷小姜,449825072,68876584,714954,46016,2671517
【折纸小课】外国很火的小恶魔纸飞机，飞的又快又稳！,到车请故意,280754190,66136114,571123,31867,2403804
又一个UP主要退出B站，去拍抖音视频赚钱！？,nG家的猫,39893537,67421911,1660811,195968,2370877
你们凭什么侮辱袁隆平？！请把荣誉还给他！从不后悔让你们吃饱饭的——袁隆平,神秘黑总,8687742,64527955,1101726,189567,2366581
谨以此歌献给所有键盘侠 祝他们早日爆炸,任性的KIMKILLS,25623387,57983137,1323456,42832,2356414
影   流   之   主,北极熊剩飯,173492116,62162985,5143711,28872,2315599
【老番茄】我潜入谷歌了！,老番茄,546195,67904809,2301842,135785,2269774
阿烽的妈妈失踪了,渔人阿烽,374716732,66525091,2903027,225933,2223591
开学第一天就女装去上学的男孩子，同学们都裂开了...丨vlog#6,晔晔才不是萌妹,26297829,66383384,4903926,67038,2135547
男子参加选秀模仿蔡徐鲲打篮球，惊呆了观众评委...,波多狸,28573533,51199752,2374733,128157,2127809
不能我一个人笑死，都给我点进来听【黄晓明】唱歌！,走路会顺拐,356507026,63628896,3159106,22940,2125939
人类一败涂地真人版,猫耳乱乱,607588,67208215,3074893,18024,2102650
油管如何屏蔽中国的声音,NathanRich火锅大王,394067394,66714089,1612642,143446,2066986
直男第一次去女仆店会发生什么？！,★⑥檤轮囬★,295723,66291923,3552958,76418,2054988
如何快速毁掉一个人一天的好心情:),一片青菜叶,34458020,65535997,1664683,26268,2039446
医学博士：如何做到每天合理睡眠？ I 如何解决一学习就困？,兔叭咯,7788379,68512912,1281880,52850,2033508
抖音外放是吧！还开到最大是吧！,春风里丶,137105323,60906187,1974785,67394,1997973
这他妈也太炫酷了吧！,Dennis12138,4910594,63101203,2123686,24442,1997717
慧学通高效学习法 教你如何废掉孩子,黑玛瑙,834635,68348993,1047868,57966,1996021
两个王者之间的对话...,柚仙喔,10321012,53198717,2504046,22717,1982363
把星巴克全部产品都点一遍要多少钱？一个月工资没了！,波靖仔,5771902,66706858,1587070,187762,1963632
论男人如何恶心男人,老道想吃肉,342911897,54145990,2315827,19619,1962836
【华农蹦迪】自带水泥，村口集合！当华农兄弟扭臀遇上各种bgm，你们要的魔性鬼畜,卿初萸蓝,175478009,66087119,2519681,89782,1952603
“大家好，我要去中国香港了！”,歪果仁研究协会,32820037,66592980,2371527,152763,1923571
打造“女团腿” 解决小腿肚 韩国超人气运动博主拉伸小腿运动 超级有效！每天跟我一起十分钟吧！瘦腿100%见效！,弹跳的土豆,199846636,57541329,730970,3517,1920158
