title,author,uid,aid,play,coins,pts
超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,8KRAW_OFFICIAL,21151219,69241910,1921589,330202,6611258
新中国密码：15665，611612！,共青团中央,20165629,69162538,755380,31209,1181883
习近平为共和国勋章获得者颁授勋章,浙江共青团,384298638,69383130,840929,26900,900962
出于无聊，我统计了古代393位帝王的死因,无桥233,1760723,68992451,637587,13059,853964
【混剪/百年中国苦难斗争史】一寸山河，一寸血！（谨以此片献给先烈）,_易杯酒,274989626,66925766,127214,16672,469400
旗杆挂砖头、蒙眼走正步、贴脸比排面.....阅兵“复制粘贴”有绝招支撑,小央视频,222103174,69161001,403926,7782,451731
中国各省区vs世界各国GDP？【分钟可视化】,狸子LePtC,2654670,69480072,349247,4451,371557
新华社悄悄发了一串密码：15665611612！看的人都哭了……,广东共青团,330383888,69144325,287607,4268,368580
骁话一下：一穷二白意外频发，70年前的革命者如何成功操办开国大典,观察者网,10330740,69175775,265392,12757,363936
英雄是怎样被「侮辱」的——杨振宁的遭遇,-阿健-,18690024,67229368,164110,16081,358617
咱们袁爷爷去北京领奖啦！一身西装，超帅,厉害了我的国up主,218376518,69334092,271139,8087,311603
【睡前消息23】埃塞：工业不发达，我要建大坝 埃及：水资源匮乏，你建我就打,观视频工作室,54992199,69134291,258020,6277,287167
参观完大陆阅兵后 台媒酸了,景德镇梁朝伟,10317469,69244405,307195,18,275508
你能把玻璃砸破，我把玻璃吃了，面对印度的嘲笑，我们用事实回应...,DOG旧档案,54040,69350492,302732,58,274189
政治可以考90分？张雪峰：你爷爷肯定是个红军,努宝见闻录,470743793,67000873,230948,544,271504
世上有几人能活到这短片结束？,尽整没用的,7428971,52012946,101537,2835,267815
蔡徐坤拿了华语金曲奖？华语乐坛成为下一个唱衰对象了吗？【独树一帜27】,树根龙门阵,99336697,67479858,136810,13303,244907
袁隆平爷爷：我的经费都是秒到账,宁失于心,383824638,63390012,257933,1445,244753
【科技袁人】听说中国科学家挣钱了，我们就放心了,科技袁人,419501714,69180207,209657,3570,237661
螃蟹陷阱,野外生存天麒,437942770,69154272,283063,94,236239
人流与剖腹产手术的区别，太过于真实了！,卧龙寺,258457966,68824541,182722,1381,235514
一个人辞职后能有多开心？,西柯斯基,111654291,69157142,233538,173,230568
【普京】俄罗斯阅兵看起很叼一副要去干架的样子,什么都想做的小祥子,400685736,69240804,217969,170,229928
【经济泡沫1/4】一朵花换一栋楼？疯狂的荷兰郁金香和长春君子兰,李永乐老师官方,9458053,69184579,137294,6588,224825
20年后再来看《丑陋的中国人》，事实比文字更具说服力~,亚食人,80304,52556831,113001,9073,224097
