title,author,uid,aid,play,coins,pts
超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,8KRAW_OFFICIAL,21151219,69241910,1114414,214949,4291668
总理，您听到了吗？飞机再也不用飞两遍了,共青团中央,20165629,68873605,3608804,125331,3025791
【全网最清晰1080P】开国大典彩色修复完整版,浙江共青团,384298638,68508487,524376,49161,1440525
人流与剖腹产手术的区别，太过于真实了！,卧龙寺,258457966,68824541,1502485,12042,1222164
【混剪/百年中国苦难斗争史】一寸山河，一寸血！（谨以此片献给先烈）,_易杯酒,274989626,66925766,252304,36979,913587
出于无聊，我统计了古代393位帝王的死因,无桥233,1760723,68992451,485148,9742,643881
英雄是怎样被「侮辱」的——杨振宁的遭遇,-阿健-,18690024,67229368,287597,29007,597424
张召忠说168：漂亮！歼-20七机编队，歼-10C飞越珠峰，中国战机全程高能！,张召忠,33683045,68749114,552550,21521,580816
人是如何陷入自卑和抑郁的？又该如何跳出？从小狗实验说起,我是EyeOpener,43645887,68626604,181155,23574,552912
20年后再来看《丑陋的中国人》，事实比文字更具说服力~,亚食人,80304,52556831,289566,25726,538083
一张纸真的不能对折超过7次？外国男子不信邪，搬出液压机亲测…@油兔不二字幕组,油兔不二字幕组,15967711,68899050,720773,208,502970
我竟然花2600元买了颗钛合金悠悠球？【涛哥测评】,涛哥测评,2522486,68914919,476654,13694,498269
【睡前消息22】中国在浙江沿岸救下了一条触礁的……蒙古船？！,观视频工作室,54992199,68867125,464001,9775,461922
马杜罗赠普京军刀，普京又……,观察者网,10330740,69045299,501893,5030,456782
【回形针PaperClip】为什么你炒股总是亏钱？,回形针PaperClip,258150656,68967083,248841,12104,434385
世上有几人能活到这短片结束？,尽整没用的,7428971,52012946,152148,4048,380324
引起极度舒适的木头浸水的声音（戴上耳机体验）,闲情减旧,275880286,66036118,158433,1273,375845
变态心理学 北京大学,BLGX,434173653,59846519,102465,1934,366119
达人秀魔术揭秘后，知名魔术师悬赏找我？我要站出来,魔力飞哥,30520341,68719381,278019,18609,365657
旗杆挂砖头、蒙眼走正步、贴脸比排面.....阅兵“复制粘贴”有绝招支撑,小央视频,222103174,69161001,311985,5786,354776
安倍晋三用中文向大家问好,广东共青团,330383888,69152637,367942,803,350923
白银段位的鸭子,喝酒抽烟会变胖,171703422,66448100,408360,30,343925
政治可以考90分？张雪峰：你爷爷肯定是个红军,努宝见闻录,470743793,67000873,310248,560,338913
【最强技术宅？】这大概是B站最硬核的bad apple！,咩2016,22179720,63148356,145947,19627,321030
为什么历史上的农民起义，西方就没赢过几回？【为什么历史03】,太阳星sunstar,11684621,66989974,210332,7656,312566
【70周年/燃泪混剪】带您回顾70年历史成就，每一步都值得骄傲!,言君剪辑狮,162501749,65795137,165614,8537,306856
女生坐进劳斯莱斯的第一分钟会做什么事情？,极速拍档,25150941,68634848,339266,224,305072
鸡汤都是骗人的！比尔·盖茨：虽然我从哈佛退学了，但我当时是可以随时回去的,YouTube听力精选,6926237,68832156,262749,291,301017
【木鱼说 120】你见过视线中这样的漂浮物吗？这种现象正常吗？,木鱼水心,927587,68769628,251801,5331,299936
中国军人又帅出新高度！这是你从未见过的男神天团！,军粉V,27472735,68089521,118755,9605,294927
【经济泡沫1/4】一朵花换一栋楼？疯狂的荷兰郁金香和长春君子兰,李永乐老师官方,9458053,69184579,177318,9216,289863
【考研英语完型】遵循这四大步骤，我的完型只错了一个（附完型速查手册领取方式）,小R学姐-考研,437333012,68744444,56545,1867,285646
【科技袁人】听说中国科学家挣钱了，我们就放心了,科技袁人,419501714,69180207,244316,5206,276223
【sin】如何使用笔记本电脑学习 | 学习网站安利及使用方向 *荣耀MagicBook Pro锐龙版,一条正弦,11733609,68569912,65909,5130,272895
[搬] The S 纸板火柴函道双喷,wdygggh,121473911,68525620,231583,1190,269206
一堂课让你懂得英语语法百分之九十五,小熊熊HELLO,183751118,47618740,45605,1628,267231
【Photoshop 教程】史上最容易听懂的PS入门基础教程（更新完毕：多的是你不知道的事）,doyoudo,20503549,4548006,87629,2114,258875
这时候底盘就显得有些低了|350z,落桂子,1390863,69026808,247210,80,258563
【屎O说】看过这场拉力赛，才知道什么才是真“男人”！,STN工作室,7349,68747683,188492,6413,252984
【19教资】科目二教育知识与能力（中学）,meng百元大锭,416261012,55235297,181155,267,252150
为什么大多数人永远不会真正成功？,ONE字幕组,14005706,68876841,61022,1278,245633
本田成流氓品牌，跟大众一样歧视中国！,一鹿有车出品,355596637,68874148,145744,10460,245218
高等数学 樊顺厚 全288课,Putao688,33424578,18965449,94464,964,241856
[全36集][日本大叔用中文教日语][出口仁][大家学标准日本语][初级][中级][高级][中日双字][日语入门][日语教程],表哥冲鸭,10237259,56627825,42201,1866,241349
【官方双语】旋转物体的表现为何如此诡异？【Veritasium真理元素】,Veritasium真理元素,94742590,68923111,122872,2471,240937
【思维+】第一期 被进化遗忘的牙齿,思维实验室,14583962,69162317,193088,5039,238770
【高等数学】上海交通大学-乐经良,RM泽群,97668916,19027609,88004,1144,238084
螃蟹陷阱,野外生存天麒,437942770,69154272,282678,165,237059
目前最有杀气的1984年大阅兵！,破译专家池步洲,37569314,26546498,203639,730,236943
蔡徐坤拿了华语金曲奖？华语乐坛成为下一个唱衰对象了吗？【独树一帜27】,树根龙门阵,99336697,67479858,127873,12215,230083
油管大神分享的运镜转场方法（手机超实用的运镜方法）,剪辑小书房,402322040,67455173,50868,1422,227450
吴谦大校这番话让人想哭。周总理，您听到了吗？飞机再也不用飞两遍了。,青年湖南,43563506,68851302,184475,4237,226953
国庆阅兵展示新装备是“秀肌肉”？吴谦大校：有些人的逻辑非常奇怪,中国日报,21778636,68864318,217082,1184,220895
我的手上有马云了,韩美娟就是我,359237832,68481511,231808,123,219875
[小甲鱼]零基础入门学习Python,IT搬運工,25560915,4050443,106296,630,217368
日语初学者福利！全套日语五十音写法示范教学！（平假名篇）,妮酱日语小课堂,323987490,66927221,27759,1380,215981
刚租的劳斯莱斯，本来想装b...结果....出车祸了,打球吗网友,350296726,68989166,245424,93,215935
没接住的那一瞬间，他连自己埋哪儿都想好了,姬家紫月,103516730,67154383,207278,151,215589
[学习]英语音标：让你终生难忘的几分钟！,太宇可斯,27593118,56810226,66741,1092,215124
真.四维！给你看看真正的四维时空！,眼见为识,430948380,68379395,111626,6334,214784
普克卡瓦血屋谜案（上），新西兰史上最扑朔迷离的案件,X调查,339233162,68662619,167597,5898,210119
Pr教程全57集,贝塔珐,11646984,33803637,52144,620,205859
真相！日本妹子回答为什么超短裙一年比一年短？看完中国女生沉默了,mey3328,437673805,68871378,201571,74,205114
华为Mate30 Pro 慢动作下划火柴是什么亚子？,Jaygee02,188264625,69215364,216528,91,203757
咱们袁爷爷去北京领奖啦！一身西装，超帅,厉害了我的国up主,218376518,69334092,175242,5034,202535
小姐姐穿小裙子学漂移！如何三小时学会漂移！？350Z漂移赛车,盛嘉成,86439234,68896516,149930,6917,202291
【何同学】一看就懂！用水讲明白为什么5G更快,老师好我叫何同学,163637592,66210564,110204,10563,200955
金灿荣：在伏尔泰、孟德斯鸠的著作里，中国是个理想国,金灿荣频道,452161580,68758273,163224,3251,200712
[Pr教程]0基础急速上手视频制作！UP主必备！,天JIANG,21143599,5540953,71539,2171,191923
泌尿科医师的内裤指南，科普选内裤,田中人蜡笔小聪,28732643,67158858,146028,534,189700
实测拜灭士的灭蟑效果：恐怖的连锁反应，一个吃全家死,好奇五先生,173947574,68935094,131607,4159,189675
小白本科生如何做硬件项目：首选自平衡小车（大佬分享）,达尔闻,430777205,68873615,99547,1287,187982
一个人辞职后能有多开心？,西柯斯基,111654291,69157142,195785,150,186734
十大良心网站推荐,文森特先生V,290067690,62421509,40918,2218,186664
1920年的手摇手电筒的修复,油管记者sola,24235204,68926642,199622,125,184236
内容过于真实！你以为不生孩子是你的自由，其实你根本没得选 <举人说10>,江湖举人,9303228,67221429,130975,3078,184168
金融全行业具体薪酬公开，各细分行业的鄙视链+具体收入+职业发展，up主投行生涯简史，人生如逆旅，我亦是路人,巫师财经,472747194,68401584,51898,4764,181386
我们的一生，在这部短片前1分钟就结束了,黑白键伯辽兹,135398825,49146332,71072,1685,180508
自制坦克双流传动,神州将军DIY工作室,385025067,69056494,179375,565,174368
【鬼谷说】软骨鱼：头铁真汉子 亿年五五开,芳斯塔芙,72270557,68379346,122809,5223,172937
呼兰云栖大会现场吐槽程序员(一小时完整版),代码搬砖工,224429246,69095180,107451,476,170531
开什么样的车叫没面子,备胎说车,50063223,68949025,104165,7630,170425
袁隆平爷爷：我的经费都是秒到账,宁失于心,383824638,63390012,171559,1210,169049
