title,author,uid,aid,play,coins,pts
超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,8KRAW_OFFICIAL,21151219,69241910,807175,115253,2752118
总理，您听到了吗？飞机再也不用飞两遍了,共青团中央,20165629,68873605,377493,11478,597551
习近平为共和国勋章获得者颁授勋章,浙江共青团,384298638,69383130,462897,15450,582315
中国各省区vs世界各国GDP？【分钟可视化】,狸子LePtC,2654670,69480072,349247,4451,371557
出于无聊，我统计了古代393位帝王的死因,无桥233,1760723,68992451,189513,4020,300166
金灿荣：朝鲜战争是立国之战，这一仗打完，我们收获是很大的,观察者网,10330740,69480840,214321,4306,275587
七分钟Word技巧大全,卧龙寺,258457966,67924239,49387,1156,209285
【混剪/百年中国苦难斗争史】一寸山河，一寸血！（谨以此片献给先烈）,_易杯酒,274989626,66925766,47917,5636,173913
绣春囊之谜 吴氏/癸酉本石头记 红楼梦结局也许找到了 红楼梦系列第8期,女王泡面,2539073,69457594,74351,13411,168593
袁隆平爷爷：我的经费都是秒到账,宁失于心,383824638,63390012,159107,899,157825
袁隆平，“帅不帅？你觉得你自己帅不帅？？”,广东共青团,330383888,69377387,125212,1959,157130
英雄是怎样被「侮辱」的——杨振宁的遭遇,-阿健-,18690024,67229368,68545,6514,150035
旗杆挂砖头、蒙眼走正步、贴脸比排面.....阅兵“复制粘贴”有绝招支撑,小央视频,222103174,69161001,120743,2228,149364
【回形针PaperClip】游戏手机到底好在哪？,回形针PaperClip,258150656,69520821,118836,1952,143394
政治可以考90分？张雪峰：你爷爷肯定是个红军,努宝见闻录,470743793,67000873,112038,295,142972
你能把玻璃砸破，我把玻璃吃了，面对印度的嘲笑，我们用事实回应...,DOG旧档案,54040,69350492,158031,34,142371
【普京】俄罗斯阅兵看起很叼一副要去干架的样子,什么都想做的小祥子,400685736,69240804,113592,81,126856
咱们袁爷爷去北京领奖啦！一身西装，超帅,厉害了我的国up主,218376518,69334092,95897,3053,122474
参观完大陆阅兵后 台媒酸了,景德镇梁朝伟,10317469,69244405,121119,5,116068
韩国世越号沉没的真相:活人献祭为复活朴槿惠闺蜜父亲？,AbbeyLau是爱比哟,44586238,69445090,81906,2301,107309
世上有几人能活到这短片结束？,尽整没用的,7428971,52012946,39094,1086,99334
【混乱博物馆】你的眼睛为何如此贫穷,混乱博物馆,97177641,69515908,60247,2529,93771
【简单开盒】国庆节给自己的礼物！机甲之城1/120新版 深度强袭 高达模型,谢双超,2029306,69487476,67870,1251,78289
什么是“神”,你看这个碗大又圆,13871587,69307331,45950,307,73090
毛主席周总理国庆走下天安门 坐下和大家一起看焰火【全网最全历史影像】,珂seeker,191129954,69461176,53495,1120,72399
20年后再来看《丑陋的中国人》，事实比文字更具说服力~,亚食人,80304,52556831,37132,2833,71143
中国军人又帅出新高度！这是你从未见过的男神天团！,军粉V,27472735,68089521,26462,2025,70569
7座就算卖1美元也没人想要的小岛，你会想要吗？,亮生活-Brighside,392812482,68933405,72222,25,70064
地球online-后口动物用嘴炮打爆地球OL（细数历代地球霸主）,牧场机神,18216699,69450001,48418,1477,66763
混乱or秩序，弱小or强大？ 公元1000年的世界都在干什么？【猩猿崛起15】,太阳星sunstar,11684621,69363300,39020,2466,63104
【第7弹】说一口50年前的粤语是一种怎样的体验？,粤语卜卜斋,49637627,69496373,40534,2735,61043
【从书说起】美国“造不如买”，德国“山寨技术”，原来剧本你们都拿过？,观视频工作室,54992199,69398720,55481,505,60893
了解这个秘密，你恨不得马上放下手机去学习,猪猪数学提分砖家,103753399,69485367,14583,1518,60311
蔡徐坤拿了华语金曲奖？华语乐坛成为下一个唱衰对象了吗？【独树一帜27】,树根龙门阵,99336697,67479858,34307,3201,59448
金灿荣：我年轻的时候也特崇拜西方，现在很喜欢中华文化,金灿荣频道,452161580,69342318,50552,393,57903
三轮车：敢开的人和敢座的人总是能玩到一起,前方高能丶丶丶,95614810,69411907,62949,6,57524
【躺倒大自然】雨林大火？环保游行？中国：赶紧种颗树压压惊,科技袁人,419501714,69405599,48420,909,57046
日语初学者福利！全套日语五十音写法示范教学！（平假名篇）,妮酱日语小课堂,323987490,66927221,7210,326,56769
【军武MINI】桌面上的阅兵 坦克篇,CRAZY262,324879,69431452,53112,477,56769
【小狼】耗时一千小时打造，魔兽世界银鳞胸甲,小狼TOWER,1110510,69315211,41790,2218,55709
三千年盛开一次的优昙婆罗花,竟是满身垃圾的无赖？却是人类的友军？,萝王2号,11264229,69448100,43052,1032,55436
【隼形目】燕雀之躯鸿鹄之志，鸢鹰雕鹫宁有种乎？,龙女之声,18706318,69415283,34604,1728,54492
一张纸真的不能对折超过7次？外国男子不信邪，搬出液压机亲测…@油兔不二字幕组,油兔不二字幕组,15967711,68899050,56763,16,52706
实用！2分钟视频教你辨别阅兵式上的飞机,中国日报,21778636,69472001,42017,337,51822
【最强技术宅？】这大概是B站最硬核的bad apple！,咩2016,22179720,63148356,22557,3142,50340
不就是踩点吗？强迫症福音！大阅兵史上最强盘点。,青年湖南,43563506,68406364,42403,163,49213
487期：鬼火少年无牌无证超速超载追尾面包，致3死1伤！,小明不背锅,31814567,69399496,43727,1033,48514
