title,author,uid,aid,play,coins,pts
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,1250644,22081,1445457
【咬人猫X露露】今天不上班！跳猛男版！新 宝 岛！,=咬人猫=,116683,67456873,663034,9834,699613
【小仙若】I'm So Hot❤,一只小仙若,16539048,69151682,545365,5987,673523
【楽小漫】关掉灯跳芒种 ♦ 一想到你我就………,楽小漫,378034,69139772,427497,13566,664265
IDOL【BML2019单品】,BML制作指挥部,403748305,68749758,290537,8547,397478
【欣小萌】今天天气好，去天台蹦个迪,-欣小萌-,8366990,68815060,315831,3022,383042
【礼赞70年】在香港街头起舞《我和我的祖国》,白纱裙舞蹈,79394495,69130227,168567,11174,294185
这双人舞甜到我满地找牙！Sean&Kaycee深情演绎编舞False Confidence 官方版+饭拍版+花絮,lana酱好纠结,4537274,68029806,118267,1811,285356
【青鸢】Deep blue town 超元气夏日清凉作！抓住夏天的尾巴～,青鸢Cyan-,11605312,69448012,97801,3922,247742
【Ymei】Worth It～爸妈不在家撒野蹦迪！快来偷偷看！！,歪妹Ymeiyo,8176727,69336346,108410,1903,225843
【万恶之源/have a nice day】剑圣易大师源计划皮肤的舞蹈原来来自这里，我看完中毒了（二）,二哈不是犬,53767875,49119241,108801,2106,205240
这舞多骚啊~   学会了就无敌了！！！ 开心的时候跳,那个天使掏手枪了,290054950,48286845,86614,1330,194762
【全盛舞蹈工作室】惊艳四座❤《芒种》中国风爵士编舞MV,TranScend全盛舞蹈工作室,41683,66896179,92870,5171,190090
【王老吉】[芒种]配[千盏]-毫无违和感 爱想想不想gun,王老吉-洁洁,9618426,69333108,92074,1504,186351
【猛男/新宝岛】现场原版舞蹈,果冻史莱姆,20120,54332101,194314,113,177481
【IDeG】Adios-EVERGLOW超美翻跳｜来接受长腿小姐姐的shoot吧！,IDeG酱,353424529,68979518,129715,393,174323
【葬爱】趁宿舍没人跳一次kill this love,锥锥又改名了,36771850,68611639,150293,3115,173713
【目子】芒种 一想到你我就wuwuwu~,目目目目目子,15840422,69379473,73123,1991,171099
全程高能！群舞还原《哈利波特》名场面,开眼视频App,20423027,68644125,63507,1196,152944
【地表最猛男】新 宝 岛（结果城管来了…）,短腿小萝卜_babycarrot,349219867,67593138,108714,2526,145630
【椭奇】芒种，一想到你我就……,Tocci椭奇,7375428,68966318,83723,2291,141818
【李子璇×Señorita】豆哥豆弟豆姐！踩点向,不明白同学,234648247,67472502,106146,1132,138143
【纸兔】皮卡丘完整版挑战 一口气跳了2个小时！比原版还长 快说我跳完瘦了,纸兔Pika,319137463,53624521,92078,5532,132470
【紫颜】芒种,紫颜-小仙紫,35579222,69516179,45864,4172,131040
紫宁微博五百万福利翻跳twice 《feel special》,张紫宁的十环箭靶,314535144,69419300,116712,301,127389
QQ飞车小橘子跳芒种舞,小雅yana,28761475,65711829,116466,95,126457
にゃらめ—ベノム,桜美雪,15597107,68335467,63495,1460,125724
【小花茶】❤️爱杀宝贝ed❤️真人版～防止抑郁～～,小花茶xs,430705094,69389634,64717,749,124101
火箭少女主唱张紫宁化身韩系爱豆 翻跳twice - feel special,紫宁Winnie网宣站,65244913,69419243,95564,831,123711
【柠檬】♥ダメよ♥不要啊-不行阿~不能掉眼泪-,柠檬磨磨叽,21656841,69473878,57627,862,120891
Señorita 这版本跳到真有感觉~,赵龙哲,457135607,65271440,63496,591,120366
【小袜子】宣美-LALALAY♡踩着细高跟腿精了一回♡2P竖屏,小袜子爱雪宝宝,45061078,68969487,57588,408,119323
【夏酥酥】激昂壮志 ❤,夏酥酥_,4568488,69054243,69134,643,117453
【@小萌】Pick Me❤️心动了吗？P2竖屏,小萌才不天然,1949755,69292287,43186,1361,115062
【苏司喵】换7套装翻跳Twice"Feel Special"全曲 兔瓦斯,苏司喵susiemeoww,211381797,69162443,85459,786,113919
【美豚】肉感水手升级版竖屏❤T-ara so crazy完全疯了,PhD_美豚,286035743,69225995,43814,693,111396
在万人军训现场跳EXO的love shot是什么体验？,chul-,14312625,67924689,78211,539,104979
【萌球球】金请夏—Chica 剪了短发跳性感高冷的舞是种什么体验？失踪人口回归,萌球球喵喵,21023385,69325302,35935,888,103810
【露叶】10秒就沦陷！性感可爱小恶魔❤Sweet Devil❤2P竖屏高能,Ruya露叶,3052449,68959590,57300,964,102721
关晓彤《你XX》1000%还原向 魔改《up主之歌》,一马平川的妥妥,23085689,68631528,74351,1095,97550
【富婆七奈】心如止水♡2p雨中跳舞，惨剧发生,富婆七奈,397044296,67461801,54229,777,95543
ins上的日本小姐姐跳Old Town Road,很炸很燃！！,村口的搬运工吴亦凡,39552023,66695590,38275,505,95147
【紫嘉儿】芒种♥昼夜皆撩人[原创编舞],紫嘉儿,2743119,67309146,54876,1864,94744
发   条   魔   灵,预测2060年前见外星人,8321323,68094221,61523,325,90962
【极乐净土】别人家的超性感物理老师！【青岛实高】,伯毅君临天下,112376276,39998869,71685,627,90677
【奈绫】K/DA-POPSTARS★ 一人演绎MV 毫无求生欲的翻跳 ★,奈绫,928054,69263819,46961,930,87490
【醋醋】我来到二次元了！电子天使~,醋醋cucu,2689967,68928144,61107,1522,87272
东莞理工学院城市学院 UH-OH翻跳～,eda小胖鱼,22954953,69063331,67569,346,83036
