title,author,uid,aid,play,coins,pts
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,2253959,40743,2200097
【欣小萌】今天天气好，去天台蹦个迪,-欣小萌-,8366990,68815060,1903606,33971,1537416
【小仙若】I'm So Hot❤,一只小仙若,16539048,69151682,827814,12410,1057497
【咬人猫X露露】今天不上班！跳猛男版！新 宝 岛！,=咬人猫=,116683,67456873,1034477,14812,963759
【楽小漫】关掉灯跳芒种 ♦ 一想到你我就………,楽小漫,378034,69139772,412580,18885,721725
关晓彤《你XX》1000%还原向 魔改《up主之歌》,一马平川的妥妥,23085689,68631528,619468,11230,677101
にゃらめ—ベノム,桜美雪,15597107,68335467,378464,9433,660630
【醋醋】我来到二次元了！电子天使~,醋醋cucu,2689967,68928144,335541,16562,638364
【椭奇】芒种，一想到你我就……,Tocci椭奇,7375428,68966318,334796,13475,631487
全程高能！群舞还原《哈利波特》名场面,开眼视频App,20423027,68644125,294669,4684,560608
【I'm so hot】性感翻跳 细高跟肉丝初尝试 天气还热吗 来蹦个迪,从前慢365,43930023,68740409,337408,4328,549232
这双人舞甜到我满地找牙！Sean&Kaycee深情演绎编舞False Confidence 官方版+饭拍版+花絮,lana酱好纠结,4537274,68029806,248153,3592,538145
这舞多骚啊~   学会了就无敌了！！！ 开心的时候跳,那个天使掏手枪了,290054950,48286845,190026,2966,405446
QQ飞车小橘子跳芒种舞,小雅yana,28761475,65711829,409511,375,398031
【全盛舞蹈工作室】惊艳四座❤《芒种》中国风爵士编舞MV,TranScend全盛舞蹈工作室,41683,66896179,193141,10863,380435
【万恶之源/have a nice day】剑圣易大师源计划皮肤的舞蹈原来来自这里，我看完中毒了（二）,二哈不是犬,53767875,49119241,203522,3757,371437
【露叶】10秒就沦陷！性感可爱小恶魔❤Sweet Devil❤2P竖屏高能,Ruya露叶,3052449,68959590,156568,3990,354042
日本婚礼高能舞蹈~ダンシング・ヒーロー (Eat You Up)~,吃遍北海道,81984023,68719686,280428,1170,347654
【猫饼】羊驼拟人化！,香菜猫饼,10278125,68751489,271872,6335,346127
IDOL【BML2019单品】,BML制作指挥部,403748305,68749758,241394,7120,340823
【短短】I'm so Hot我好热～辣,一只小短短,10139490,68459133,238731,1006,315610
【猛男/新宝岛】现场原版舞蹈,果冻史莱姆,20120,54332101,377359,213,315047
【兔总裁】芒种，一想到你我就...,兔总裁s,15385187,68278652,257880,1640,308942
16岁高中生趁父母不在家……………………………………跳舞哈哈（穗珍位）,朴bigbig,382228295,68599241,275132,839,284076
【阿叶君】广寒宫✿巨兔蹦迪,进击的阿叶君,7815300,68847577,117520,7154,283184
【莓可】只有你才是我的珍爱『UH-OH』好酷儿~,莓可-w-,5028996,68818627,116385,4652,276700
【IDeG】Adios-EVERGLOW超美翻跳｜来接受长腿小姐姐的shoot吧！,IDeG酱,353424529,68979518,199050,832,275563
【葬爱】趁宿舍没人跳一次kill this love,锥锥又改名了,36771850,68611639,238867,4900,270393
ins上的日本小姐姐跳Old Town Road,很炸很燃！！,村口的搬运工吴亦凡,39552023,66695590,103989,1379,268123
【夏酥酥】激昂壮志 ❤,夏酥酥_,4568488,69054243,115145,1768,265321
【经典翻跳】玉人舞 ❀ 舞剧《孔子》节选,白纱裙舞蹈,79394495,68752705,142544,5012,255114
发   条   魔   灵,预测2060年前见外星人,8321323,68094221,186064,972,255019
【纸兔】皮卡丘完整版挑战 一口气跳了2个小时！比原版还长 快说我跳完瘦了,纸兔Pika,319137463,53624521,174610,10471,247357
世界舞蹈大赛，青少年现代双人舞冠军演绎冠单《Someone You Loved》，钢琴大提琴伴奏，这舞蹈、光线与意境，也太美了吧！,Marvin_Mei,311008797,66407733,84824,1743,222023
这！就是街舞！苏卡不列 名场面,景云酱,352322597,64555879,123225,5278,221800
【西瓜新】姨母团傲慢舞❤Abracadabra,西瓜新,397289,69011268,77743,1587,215580
Señorita 这版本跳到真有感觉~,赵龙哲,457135607,65271440,102847,831,199619
No.25【豆豆】 Girl's day Something怨妇风性感翻跳,爱学习爱跳舞的豆豆xi,319421983,68753210,111126,777,193402
【狗儿x乐歌】炫酷骚拽Bad Guy！,乐歌,2337891,69000373,90748,5851,182201
【地表最猛男】新 宝 岛（结果城管来了…）,短腿小萝卜_babycarrot,349219867,67593138,141773,3212,181979
【Abbily艾比】T-ara 《完全疯了》.korean ver  舞蹈翻跳,我叫Abbily,32899075,68290031,181053,346,181818
【BDF2019】恭喜你参加了一个万人企划！BDF2019宅舞大赛幕后全纪录,舞蹈区锦鲤姬,32708657,68836395,150434,895,181319
【1M】May J Lee 编舞《South of the Border》,1MILLION_OFFICIAL,35836017,68949135,105636,1404,179482
【李子璇x野狼DISCO】她来了她来了，她踩着魔性的BGM走来了，围观李子璇社会摇,酒酒八十亿,39624995,68755115,154712,1839,172704
