title,author,uid,aid,play,coins,pts
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,476347,8727,701995
【咬人猫X露露】今天不上班！跳猛男版！新 宝 岛！,=咬人猫=,116683,67456873,222140,3100,287976
【青鸢】Deep blue town 超元气夏日清凉作！抓住夏天的尾巴～,青鸢Cyan-,11605312,69448012,97801,3922,247742
【楽小漫】关掉灯跳芒种 ♦ 一想到你我就………,楽小漫,378034,69139772,148476,3859,241893
【欣小萌】芒种，一想到你我就……,-欣小萌-,8366990,67457647,122399,1566,159407
【Ymei】Worth It～爸妈不在家撒野蹦迪！快来偷偷看！！,歪妹Ymeiyo,8176727,69336346,84410,1207,153952
这双人舞甜到我满地找牙！Sean&Kaycee深情演绎编舞False Confidence 官方版+饭拍版+花絮,lana酱好纠结,4537274,68029806,52372,858,132145
【紫颜】芒种,紫颜-小仙紫,35579222,69516179,45864,4172,131040
紫宁微博五百万福利翻跳twice 《feel special》,张紫宁的十环箭靶,314535144,69419300,116427,282,126819
【柠檬】♥ダメよ♥不要啊-不行阿~不能掉眼泪-,柠檬磨磨叽,21656841,69473878,57627,862,120891
火箭少女主唱张紫宁化身韩系爱豆 翻跳twice - feel special,紫宁Winnie网宣站,65244913,69419243,94944,722,120444
【小仙若】I'm So Hot❤,一只小仙若,16539048,69151682,87975,743,118301
【礼赞70年】在香港街头起舞《我和我的祖国》,白纱裙舞蹈,79394495,69130227,67701,3614,111446
这舞多骚啊~   学会了就无敌了！！！ 开心的时候跳,那个天使掏手枪了,290054950,48286845,39534,654,93959
【小花茶】❤️爱杀宝贝ed❤️真人版～防止抑郁～～,小花茶xs,430705094,69389634,51115,516,91349
【万恶之源/have a nice day】剑圣易大师源计划皮肤的舞蹈原来来自这里，我看完中毒了（二）,二哈不是犬,53767875,49119241,49607,988,91105
【猛男/新宝岛】现场原版舞蹈,果冻史莱姆,20120,54332101,82737,54,79751
IDOL【BML2019单品】,BML制作指挥部,403748305,68749758,49143,1427,76305
【全盛舞蹈工作室】惊艳四座❤《芒种》中国风爵士编舞MV,TranScend全盛舞蹈工作室,41683,66896179,36064,1986,76283
にゃらめ—ベノム,桜美雪,15597107,68335467,30745,757,64697
【小野妹子w】桃花笑 ✿ 你可曾看到 红尘纷扰,小野妹子w,9153331,69508173,26848,1046,63454
广场蹦迪《野狼Disco》！我自闭了！【岚西】,岚西啊喵,11473818,69436966,45673,387,62772
【目子】芒种 一想到你我就wuwuwu~,目目目目目子,15840422,69379473,31394,696,60133
在万人军训现场跳EXO的love shot是什么体验？,chul-,14312625,67924689,42201,321,59507
【萧璇】来一波童年回忆吧❤王心凌金曲小串烧【彩虹的微笑+当你+爱你】,萧璇宝宝阿,386608226,69528865,28261,1054,59330
【露叶】俏皮活力ICY❤ 你会喜欢的,Ruya露叶,3052449,69421091,17066,1086,57712
QQ飞车小橘子跳芒种舞,小雅yana,28761475,65711829,56012,41,57314
【葬爱】趁宿舍没人跳一次kill this love,锥锥又改名了,36771850,68611639,48999,915,55980
【扑棱桃】SISTAR-Shake it ♠在秋天躁动起来吧~,扑棱桃子,15245239,69468151,20963,301,54153
全程高能！群舞还原《哈利波特》名场面,开眼视频App,20423027,68644125,20532,358,53898
一人就是一个舞团！翻拍MV《have a nice day》源计划剑圣舞蹈 每天一遍防止抑郁,十月冷少,28869648,67565675,30773,2920,50316
【地表最猛男】新 宝 岛（结果城管来了…）,短腿小萝卜_babycarrot,349219867,67593138,39858,899,49842
【糖小V&椰汁兔】trouble maker【细高跟的双倍快乐】,_糖小V_,2851020,69210369,15857,474,49833
【奈绫】K/DA-POPSTARS★ 一人演绎MV 毫无求生欲的翻跳 ★,奈绫,928054,69263819,28435,455,48052
【晓丹】原创编舞−霜降−欢乐国风,晓丹小仙女儿,21648772,69502486,12221,1330,46672
【小黑】桃花笑❤竖屏❤国庆快乐！,小黑咕嘿嘿嘿嘿,814727,69491767,15630,356,46159
【苏司喵】换7套装翻跳Twice"Feel Special"全曲 兔瓦斯,苏司喵susiemeoww,211381797,69162443,35217,259,45463
【纸兔】皮卡丘完整版挑战 一口气跳了2个小时！比原版还长 快说我跳完瘦了,纸兔Pika,319137463,53624521,31218,1760,44158
【夏酥酥】激昂壮志 ❤,夏酥酥_,4568488,69054243,25084,236,44057
发   条   魔   灵,预测2060年前见外星人,8321323,68094221,28222,149,42880
关晓彤《你XX》1000%还原向 魔改《up主之歌》,一马平川的妥妥,23085689,68631528,31950,484,41950
天使容颜震撼全家的力度！中国13岁弟弟翻跳十七hit让国外姐姐落泪！【绝美饭拍】,男故的妈妈妈妈妈妈,70826341,69398300,30041,211,40882
【阿呆】盛夏好声音-SNH48,阿呆每天都不想动,49676,69513354,16105,668,39760
【李子璇×Señorita】豆哥豆弟豆姐！踩点向,不明白同学,234648247,67472502,31022,366,39479
【紫宁】Feel Special舞蹈翻跳,麦锐娱乐,111806383,69418074,34876,355,39442
ROSÉ：三年了！这舞我还会跳！blackpink,Kpop日常,32782335,69463403,35561,15,39419
【极乐净土】别人家的超性感物理老师！【青岛实高】,伯毅君临天下,112376276,39998869,29963,264,38124
Señorita 这版本跳到真有感觉~,赵龙哲,457135607,65271440,19432,172,37011
【IDeG】Adios-EVERGLOW超美翻跳｜来接受长腿小姐姐的shoot吧！,IDeG酱,353424529,68979518,27433,80,36821
ins上的日本小姐姐跳Old Town Road,很炸很燃！！,村口的搬运工吴亦凡,39552023,66695590,13519,182,35513
【椭奇】芒种，一想到你我就……,Tocci椭奇,7375428,68966318,19405,524,35323
【这才是腰！】乌克兰美蛇腰小小美女Julia Tsipa在Gala show上的一段演出！,狂了个狂狂,20901828,64500143,23134,110,33033
【阿叶君】《国家》手势舞♥️我在湖南岳阳表白我的国♥️,进击的阿叶君,7815300,69484461,16378,1498,32721
【不齐舞团】篮球火！暴露年龄系列，你喜欢元大鹰还是东方翔?,不齐舞团,267685040,69492725,28573,243,31006
【猛男版】新宝岛！震惊，一初中猛男团竟在众目睽睽之下跳猛男舞!,Chinese_Hu,28462307,67618740,27657,316,30970
【王老吉】[芒种]配[千盏]-毫无违和感 爱想想不想gun,王老吉-洁洁,9618426,69333108,21679,175,30039
【猛男猛女版新宝岛】父母不在家，儿童乐开花~,小唯萌主-,12119403,69445281,23944,317,29706
其它的HAVANA弱爆了！看看国外大神都怎么跳的！舞蹈热舞,匿名者工作室,291330302,67035657,15744,87,28812
《巴赫的最后一天》堪称为世界上最美芭蕾。舞者PolinaSemionova。太美了我必须分享给大家(OvO),不知鱼f,362215320,67479115,9071,108,28524
世界舞蹈大赛，青少年现代双人舞冠军演绎冠单《Someone You Loved》，钢琴大提琴伴奏，这舞蹈、光线与意境，也太美了吧！,Marvin_Mei,311008797,66407733,10728,175,28379
【麻衣】生日作❤NICE BODY 阿婆的秘密要曝光啦！,麻衣QAQ,18563812,69215588,12729,223,28009
【紫嘉儿】芒种♥昼夜皆撩人[原创编舞],紫嘉儿,2743119,67309146,15166,477,27981
【兔总裁】芒种，一想到你我就...,兔总裁s,15385187,68278652,22942,120,27944
【Abbily艾比】T-ara 《完全疯了》.korean ver  舞蹈翻跳,我叫Abbily,32899075,68290031,26863,50,27822
在飞机场跳防弹少年团《IDOL》！爽到飞起！【党瞳西螺萍零爱】,机智的党妹,466272,61469829,17513,573,27625
【JOJO】当护卫队全体跳起黑帮摇,摸摸摸摸你傻,34616293,52678750,18973,481,27420
【富婆七奈】心如止水♡2p雨中跳舞，惨剧发生,富婆七奈,397044296,67461801,15858,190,27041
【白小白】《人间不值得》中国风爵士编舞镜面练习室,Ticki白小白,89305083,69392567,17864,230,26618
【短短】I'm so Hot我好热～辣,一只小短短,10139490,68459133,19628,65,25282
【Ellen和Brian】BTS郑号锡鸡汤面Chicken Noodle Soup (feat. Becky G) 舞蹈翻跳！,Ellen和Brian,399114140,69407586,14802,506,24936
典狱之司 使命之徒,小半刚刚好,165841260,50887221,10946,265,24325
【大钟】《一笑倾城》原创编舞舞蹈练习室.,-大钟,16071868,68116902,10946,140,24153
【猛女版】新 宝 岛（声优沙雕最为致命）,苏婉눈,17334941,66709666,19754,230,23911
BLACKPINK  练习室舞蹈 合集 已更！,扑进你怀里丫,52149822,10357547,17138,44,23820
“士兵之舞”苏联士兵的哥萨克传统舞蹈【全网最高请】,古德飞行艇,930644,21051483,10113,201,23808
这！就是街舞！苏卡不列 名场面,景云酱,352322597,64555879,13883,516,23762
【小薇君】竖屏版 ★小鹿乱撞★ 撞到心上了,小薇君_NemO,4898221,66999268,18826,81,23535
【萌球球】金请夏—Chica 剪了短发跳性感高冷的舞是种什么体验？失踪人口回归,萌球球喵喵,21023385,69325302,9957,135,23219
【西四】芒种❤一想到你我就~,西四炸弹,521444,67407045,16333,306,23112
【popping】我惊了！12岁美少女KULIKOVA ARINA的popping表演 下一个Dytto?,Sin0213,84222360,66955165,11107,85,23026
军训已过半，慰问舞蹈演出合集来一波！(●°u°●) 」,四川农业大学,237109569,67057036,23119,11,22841
【猫饼】猫步轻俏,香菜猫饼,10278125,68172159,15434,180,22826
这男团有点厉害！央视邀请超越一众大咖获得打歌一位,萌力小怪,408660906,68867144,24283,0,22094
网络延迟太高的下场《笨比天鹅》,猫耳乱乱,607588,66631774,12250,100,21983
【芭蕾混剪✨】美少年Julian Mackay - 有你的四月快要过去了♪,颜汐Mikyo,5023914,50902009,6110,224,21752
我是不齐舞团队长，今天我要做一件特别的事,队长-CAIN,301031193,69503546,14562,895,21721
No.25【豆豆】 Girl's day Something怨妇风性感翻跳,爱学习爱跳舞的豆豆xi,319421983,68753210,15833,77,21622
