title,author,uid,aid,play,coins,pts
【猛男版】新 宝 岛,果厨果厨果,930099,53851218,8893027,165434,7741618
【咬人猫X露露】今天不上班！跳猛男版！新 宝 岛！,=咬人猫=,116683,67456873,6087631,147479,4501696
【欣小萌】芒种，一想到你我就……,-欣小萌-,8366990,67457647,3885657,89000,3010014
这双人舞甜到我满地找牙！Sean&Kaycee深情演绎编舞False Confidence 官方版+饭拍版+花絮,lana酱好纠结,4537274,68029806,1854412,30981,2891323
【全盛舞蹈工作室】惊艳四座❤《芒种》中国风爵士编舞MV,TranScend全盛舞蹈工作室,41683,66896179,1450361,82397,2346488
每天一遍，快乐工作。职场舒压操，防止抑郁...,浙江共青团,384298638,65692964,738754,12071,1391312
【万恶之源/have a nice day】剑圣易大师源计划皮肤的舞蹈原来来自这里，我看完中毒了（二）,二哈不是犬,53767875,49119241,980055,18266,1355019
【兔总裁】芒种，一想到你我就...,兔总裁s,15385187,68278652,1721161,14164,1336360
Señorita 这版本跳到真有感觉~,赵龙哲,457135607,65271440,719096,6441,1245610
这！就是街舞！苏卡不列 名场面,景云酱,352322597,64555879,656108,33229,1122654
【小仙若】I'm So Hot❤,一只小仙若,16539048,69151682,915789,13153,1121931
这舞多骚啊~   学会了就无敌了！！！ 开心的时候跳,那个天使掏手枪了,290054950,48286845,538651,8674,1104135
蛇舞S小美人Sofia Yavtushenko 肚皮舞 - Dariyam Cup 2019,美蛇精,192946802,64139412,645087,6084,1050059
一人就是一个舞团！翻拍MV《have a nice day》源计划剑圣舞蹈 每天一遍防止抑郁,十月冷少,28869648,67565675,639570,84215,1041386
【地表最猛男】新 宝 岛（结果城管来了…）,短腿小萝卜_babycarrot,349219867,67593138,1013358,34170,1026581
【泡芙喵】芒种｜“一想到你我就～”即兴,泡芙喵-PuFF,1526101,66164896,1062501,12054,1022521
【微小微】芒种 & 一想到你我就·····,仙女110,6997378,67175464,1088110,31270,1010246
【伢伢】最仙芒种❀进来看仙女！一想到你我就...？,伢伢gagako,632887,67373125,500523,18131,955605
ins上的日本小姐姐跳Old Town Road,很炸很燃！！,村口的搬运工吴亦凡,39552023,66695590,378669,4928,940125
【猫饼】猫步轻俏,香菜猫饼,10278125,68172159,582262,15798,923332
にゃらめ—ベノム,桜美雪,15597107,68335467,533947,12334,912413
【紫嘉儿】芒种♥昼夜皆撩人[原创编舞],紫嘉儿,2743119,67309146,453416,27727,891429
【楽小漫】关掉灯跳芒种 ♦ 一想到你我就………,楽小漫,378034,69139772,561056,22744,882837
在万人军训现场跳EXO的love shot是什么体验？,chul-,14312625,67924689,950398,8128,868405
世界舞蹈大赛，青少年现代双人舞冠军演绎冠单《Someone You Loved》，钢琴大提琴伴奏，这舞蹈、光线与意境，也太美了吧！,Marvin_Mei,311008797,66407733,342213,6647,861669
【西四】芒种❤一想到你我就~,西四炸弹,521444,67407045,696432,19150,853546
比美丽芭蕾还要累的:快速打造小蛮腰-腹肌-马甲线-人鱼线（一周见效）,肉肉小玫瑰,85595505,52218043,219882,1307,826155
【纸兔】皮卡丘完整版挑战 一口气跳了2个小时！比原版还长 快说我跳完瘦了,纸兔Pika,319137463,53624521,666936,41060,807253
关晓彤《你XX》1000%还原向 魔改《up主之歌》,一马平川的妥妥,23085689,68631528,723020,16168,795710
网络延迟太高的下场《笨比天鹅》,猫耳乱乱,607588,66631774,492654,3851,787640
【这才是腰！】乌克兰美蛇腰小小美女Julia Tsipa在Gala show上的一段演出！,狂了个狂狂,20901828,64500143,675954,2515,749776
【蛋仙】Genie 说出你的愿望-少女时代 细高跟,蛋仙超级困,4796303,68501609,437948,8644,749401
【猛男/新宝岛】现场原版舞蹈,果冻史莱姆,20120,54332101,1688348,1102,722571
【惠子】期待」,变态辣惠子酱,9459684,66658234,512219,7897,718941
【白小白】《芒种》中国风爵士编舞镜面练习室,Ticki白小白,89305083,66178139,415591,7316,714146
【1M】May J Lee 编舞《EX》,1MILLION_OFFICIAL,35836017,66385915,569470,5171,698225
【椭奇】芒种，一想到你我就……,Tocci椭奇,7375428,68966318,354201,13999,655207
军训已过半，慰问舞蹈演出合集来一波！(●°u°●) 」,四川农业大学,237109569,67057036,1029654,840,655174
【短短】I'm so Hot我好热～辣,一只小短短,10139490,68459133,471259,3108,648773
【醋醋】我来到二次元了！电子天使~,醋醋cucu,2689967,68928144,342683,16747,645001
全程高能！群舞还原《哈利波特》名场面,开眼视频App,20423027,68644125,324582,5147,643806
【富婆七奈】心如止水♡2p雨中跳舞，惨剧发生,富婆七奈,397044296,67461801,354636,5862,630508
发   条   魔   灵,预测2060年前见外星人,8321323,68094221,530883,2164,626188
【JOJO】当护卫队全体跳起黑帮摇,摸摸摸摸你傻,34616293,52678750,449661,13639,623021
【不齐舞团】《芒种》原创编舞！超甜的舞蹈送给甜甜的你,不齐舞团,267685040,64888204,592233,4051,611007
QQ飞车小橘子跳芒种舞,小雅yana,28761475,65711829,877658,672,586996
毛妹古典舞,手扶拖拉夫斯基,13195380,66771151,367956,1671,585513
【猛女版】新 宝 岛（声优沙雕最为致命）,苏婉눈,17334941,66709666,557357,7559,567358
【I'm so hot】性感翻跳 细高跟肉丝初尝试 天气还热吗 来蹦个迪,从前慢365,43930023,68740409,347219,4403,557054
【芭蕾|让她降落】“芭蕾之冠”吉赛尔混剪—如果你能让她降落,Zecho_z,11749026,65282244,199263,5857,548137
【哀子】❤芒种❤一想到你我就wuwuwuwu~♪♪♪~,いとう哀,1678535,67352606,366190,7732,548018
【小薇君】竖屏版 ★小鹿乱撞★ 撞到心上了,小薇君_NemO,4898221,66999268,379454,2598,528448
【猛男版】新 宝 岛    翻跳（高清重置版）——AKA daisuki,Aka_大好きDaisuki,391698877,61213942,466956,10624,527089
【Abbily艾比】T-ara 《完全疯了》.korean ver  舞蹈翻跳,我叫Abbily,32899075,68290031,596503,1927,496644
【极乐净土】别人家的超性感物理老师！【青岛实高】,伯毅君临天下,112376276,39998869,406696,3503,495927
【双猫】❤️wiggle wiggle❤️韩国舞台上禁止的舞蹈是什么样子的ヾ(=･ω･=)o,-一杯超级甜的双猫-,434412735,67254145,230896,5033,487328
【萧璇】Bad Guy ❤在水泥地痛快热舞的Bad Girl,萧璇宝宝阿,386608226,66957079,256325,6310,476713
减肥也要听BTS！ 坚持每天15分钟BTS有氧减肥健身操 让你瘦成一道闪电(So What/Boy With Luv/Dionysus/DOPE),KaYoung,2394557,67300311,116449,681,470610
BLACKPINK  练习室舞蹈 合集 已更！,扑进你怀里丫,52149822,10357547,387068,973,467661
【莓可】夜店蹦迪风『ME&YOU』嗨起来！,莓可-w-,5028996,64560315,325742,2893,458966
【JOJO / COS】荒木庄的猛男新宝岛 · 加减乘除舞 · 我真是high到不行啊！！！,大花花肆,1564825,67949656,189309,10470,451857
在飞机场跳防弹少年团《IDOL》！爽到飞起！【党瞳西螺萍零爱】,机智的党妹,466272,61469829,306041,9408,443002
【肖战】115秒心动镜头 你能扛住几秒？,老天赏饭吃,37567700,64224412,136178,4650,436608
【猛男版】新宝岛！震惊，一初中猛男团竟在众目睽睽之下跳猛男舞!,Chinese_Hu,28462307,67618740,414000,4586,428972
【青鸢】芒种❤️旗袍姐姐，要你想我,青鸢Cyan-,11605312,67317972,218073,4719,427997
【自用】去头尾，每天一小时减脂，瘦全身 （周六野 + 林芊妤 + 天鹅拉伸）,Essie536,5923407,64690212,86671,1706,423223
【pipi-萍萍】永远 【很有感觉的夜景】,pipi-萍萍,269558,68276638,222373,15650,421482
《巴赫的最后一天》堪称为世界上最美芭蕾。舞者PolinaSemionova。太美了我必须分享给大家(OvO),不知鱼f,362215320,67479115,131617,1754,416708
【萌爱moi】难以抗拒！偷心小恶魔❤sweet devil❤喜欢对吧,萌爱moi,1600113,54556871,221124,4715,412576
