title,author,uid,aid,play,coins,pts
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,1337604,145616,2669720
【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,BML制作指挥部,403748305,68736420,818665,77026,2039996
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,326257,69860,1411080
【震惊】我竟发现了歌曲《我和我的祖国》乐谱中不为人知的秘密,安念Lanny,30057852,69160134,1007606,46596,1405143
“开口跪”哥又一首《知否知否》惊艳央视综艺，马来西亚凉凉哥显惊人反串音色！,凉凉哥邝珌万,473962743,68875967,999711,28430,989261
见识什么叫大神级别的dubstep  bbox,YINJIEi,289847870,67095143,526771,7650,834120
日本网友神作《消失吧痛经》，唱出了每个女孩子的心声啊啊啊！,不正经的日语卡片,291043358,69294193,285596,6648,823234
《我是歌手》全七季最经典的现场LiveShow!（超清/高音质/个人收藏版）,狼探阿狗,205961300,68793164,268587,7230,767050
人民日报MV《我爱你中国》,哔哩小红旗,86335477,69054573,405712,13481,734236
父亲写的散文诗,小碗面加鸡蛋,65713147,67602790,325780,31820,692858
the real suger baby已知最高画质,一嗷垚,30194033,45031807,317151,4271,617463
【GAI周延】此生无悔入《华夏》-高燃版,广东共青团,330383888,67574132,273237,10080,576579
东北第一狠人孙红雷领衔极限男人帮版《野狼disco》，什么水平？,董润祺,10977842,66892552,429337,9684,563482
【国风合唱 · 盛世】庆祝新中国成立70周年 | 绯村柯北、猫饭、Smile_小千、小爱的妈、安九、徐远书、叶里、NL不分、流浪的蛙蛙、 HITA、银临、奇然l,共青团中央,20165629,69266436,167898,24173,552652
【明日方舟】《野驴disco》魔鬼填词&沙雕演唱！每天两遍，六星道歉！,渊渊の奇妙冒险,440454918,69353091,124010,21944,525533
日语版《芒种》翻唱【花丸晴琉/花寄女生宿舍】,花丸晴琉Official,441381282,67792202,197932,16954,517494
一首歌唱出中国70年风雨历程《这就是中国》洛天依、言和、龙牙原创曲,初心社米库喵,25666164,69132126,151096,18455,503919
【】试着唱了 疑心暗鬼 葛叶 NIJISAN【】,葛叶Official,434563422,69297390,125438,13559,481683
【主播真会玩Show艺篇】14：我爱你中国，祝祖国70周年生日快乐！,长歌与小见见,3682229,69158572,284634,26163,468086
【某幻/老番茄】最强脱发王,老番茄,546195,67439251,222290,15967,456564
把《野狼disco》和《芒种》融合，毫无违和感【果奶mix】,穗乃果奶,9405678,67749079,165990,11087,408848
网易云看到的这个神级MV简直震撼到了歌曲名Cymatics,骑猪专业户,181051265,54819056,143845,3732,403838
【WNS中字】190927 j-hope 'Chicken Noodle Soup (feat. Becky G)' MV,WNS_WeNeedBTS,14025362,69169979,186439,4008,393788
【排骨教主x洛天依】《起始》——中华人民共和国成立70周年献礼,山东共青团,228832527,69379912,141805,16701,391384
白天听1遍~不瞌睡\(^o^)/晚上听10遍~睡得香！♪high school musical village♪,heiakimMusic,246221012,68853356,95456,5446,366193
【说好不咕】循环亿遍 忘记原唱！爆笑洗脑改编《说好不哭》,杰里德Jared,104207471,69382349,231634,16407,366160
当首都机场响起《我和我的祖国》，旅客全都停下来合唱，老外一脸懵,音乐Wu哥,193262326,62014715,309126,3402,348894
油管转发300万视频：两小孩用口技还原小马丁的animals,总于在油管上找到了!,安吾の万年筆,400332033,64812845,173995,4533,347319
【菠萝赛东】这是我听过奶味最足的野狼disco,菠萝家的少年乖乖,33272276,68767730,245692,2729,314622
日语版《说好不哭》翻唱【鹿乃/花寄女生宿舍】,鹿乃ちゃん,316381099,68746541,130332,9305,311728
澳洲搞怪三闺蜜展示自二战起到现在，各种组合乐队的演唱风格,卧龙寺,258457966,69218396,174062,1381,308886
布丁生米熟饭的生日祝福已经成功被周深查收哦~【生日专属花絮】,bilibili星访问,32660634,69299761,255906,2856,303510
容身之所（电影《罗小黑战记》印象曲）,双笙子,2103351,69246974,93046,11105,288710
本届《中国新说唱》唯一被传的神曲《野狼disco》，这个听了上头,嘟嘟有毒,437705088,65690840,327712,128,286831
13年前的《精舞门》在抖音又火了起来，罗志祥疯狂评论,全球牛人汇总,324054510,69128742,331349,35,284279
【菌子】野狼disco❤沙雕萌妹在线洗脑唱跳rap,浅野菌子,8581342,69053106,174577,6497,274969
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,耳朵听了能怀孕,78110942,56920510,129159,6671,272730
与你坠入爱河，我已情不自禁,JessandGabriel,55419866,68223667,133190,3012,270827
《说好不哭》民间最强超A货翻拍版本，向杰伦&阿信带给我们过去的青春致敬,我是腾爷,474599178,69009959,187939,6739,266011
【Gluneko】《说好不哭》,Gluneko,301940,69117716,125845,11744,265729
