title,author,uid,aid,play,coins,pts
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,4944766,640408,8767815
【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,BML制作指挥部,403748305,68736420,580154,66786,1669776
日语版《说好不哭》翻唱【鹿乃/花寄女生宿舍】,鹿乃ちゃん,316381099,68746541,657585,74181,1623118
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,380752,62327,1314907
【震惊】我竟发现了歌曲《我和我的祖国》乐谱中不为人知的秘密,安念Lanny,30057852,69160134,806193,41085,1228215
东北第一狠人孙红雷领衔极限男人帮版《野狼disco》，什么水平？,董润祺,10977842,66892552,1089646,28614,1140605
网易云看到的这个神级MV简直震撼到了歌曲名Cymatics,骑猪专业户,181051265,54819056,393884,10332,1005333
the real suger baby已知最高画质,一嗷垚,30194033,45031807,549674,7619,973925
【主播真会玩Show艺篇】14：我爱你中国，祝祖国70周年生日快乐！,长歌与小见见,3682229,69158572,506023,64038,949054
与你坠入爱河，我已情不自禁,JessandGabriel,55419866,68223667,560841,11265,903175
白天听1遍~不瞌睡\(^o^)/晚上听10遍~睡得香！♪high school musical village♪,heiakimMusic,246221012,68853356,237542,13910,902062
“开口跪”哥又一首《知否知否》惊艳央视综艺，马来西亚凉凉哥显惊人反串音色！,凉凉哥邝珌万,473962743,68875967,789158,21989,871912
日语版《芒种》翻唱【花丸晴琉/花寄女生宿舍】,花丸晴琉Official,441381282,67792202,354031,29553,843471
【GAI周延】此生无悔入《华夏》-高燃版,广东共青团,330383888,67574132,396536,13519,796889
人民日报MV《我爱你中国》,哔哩小红旗,86335477,69054573,465612,16151,794223
《我是歌手》全七季最经典的现场LiveShow!（超清/高音质/个人收藏版）,狼探阿狗,205961300,68793164,250620,6994,754384
“国漫吉祥物”周深回家了，现场又抢东西又脱鞋【bilibili星访问 第47期】,bilibili星访问,32660634,68812995,651942,15218,749421
【菠萝赛东】这是我听过奶味最足的野狼disco,菠萝家的少年乖乖,33272276,68767730,605794,7228,671111
【野狼disco】网吧disco,肥宅雪橇,5465995,68853694,345843,30221,647649
大悲咒 (高音质悦耳版) (珍藏精选版),卧龙寺,258457966,63812725,226887,9022,641305
IU  《BBIBBI》来感受一下神级剪辑～,慕白iv,366761707,68244264,341115,4226,621092
《七里香》七国语言版！让全世界听懂中文歌！为周杰伦打CALL❤【飞鸟乐团】,飞鸟乐团,27201651,68399109,295077,22286,613317
TWICE最新专辑Feel Special MV+打歌舞台合集(更至190929人歌),pcyxjy,16720403,67104528,881526,1269,612539
【某幻/老番茄】最强脱发王,老番茄,546195,67439251,332334,20658,605550
把《野狼disco》和《芒种》融合，毫无违和感【果奶mix】,穗乃果奶,9405678,67749079,256350,17183,605035
父亲写的散文诗,小碗面加鸡蛋,65713147,67602790,268162,26315,565503
油管转发300万视频：两小孩用口技还原小马丁的animals,总于在油管上找到了!,安吾の万年筆,400332033,64812845,295684,7573,555513
【王一博】《不忘》陈情令泰国见面会,MY_BABY_LION,3349743,68639332,149820,4241,553918
我用36包方便面做了一把电吉他，来一曲囧妹的neon,音色还不错呢！,NiceGuitar100,383009679,68713420,518326,3369,553571
【官方】王菲献唱电影《我和我的祖国》主题曲 唱响国庆档最强音,哔斯卡金像奖,32708626,68786342,648919,7628,548987
周杰伦 《说好不哭》完整英文版 （Cover：罗艺恒 Laurence）,罗艺恒Laurence,416023896,68549173,249270,15312,544663
【菌子】野狼disco❤沙雕萌妹在线洗脑唱跳rap,浅野菌子,8581342,69053106,330033,13463,522706
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,耳朵听了能怀孕,78110942,56920510,254117,12490,516149
当首都机场响起《我和我的祖国》，旅客全都停下来合唱，老外一脸懵,音乐Wu哥,193262326,62014715,517056,4619,507169
本届《中国新说唱》唯一被传的神曲《野狼disco》，这个听了上头,嘟嘟有毒,437705088,65690840,704858,276,504645
【音阙诗听/赵方婧】芒种，一想到你我就……,音阙诗听,55775966,64186665,446572,6868,503934
