title,author,uid,aid,play,coins,pts
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,529280,65532,1362049
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,232362,53354,1056370
【明日方舟】《野驴disco》魔鬼填词&沙雕演唱！每天两遍，六星道歉！,渊渊の奇妙冒险,440454918,69353091,124010,21944,525533
日本网友神作《消失吧痛经》，唱出了每个女孩子的心声啊啊啊！,不正经的日语卡片,291043358,69294193,164803,3840,489850
见识什么叫大神级别的dubstep  bbox,YINJIEi,289847870,67095143,259656,4655,472487
【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,BML制作指挥部,403748305,68736420,238511,10240,462017
【排骨教主x洛天依】《起始》——中华人民共和国成立70周年献礼,山东共青团,228832527,69379912,141805,16701,391384
【震惊】我竟发现了歌曲《我和我的祖国》乐谱中不为人知的秘密,安念Lanny,30057852,69160134,205321,5684,336246
【那兔 · 原创曲】不忘那年【小连杀】,共青团中央,20165629,69488035,108344,16175,321927
“开口跪”哥又一首《知否知否》惊艳央视综艺，马来西亚凉凉哥显惊人反串音色！,凉凉哥邝珌万,473962743,68875967,211089,6474,308447
容身之所（电影《罗小黑战记》印象曲）,双笙子,2103351,69246974,93046,11105,288710
the real suger baby已知最高画质,一嗷垚,30194033,45031807,133444,1856,276730
日语版《芒种》翻唱【花丸晴琉/花寄女生宿舍】,花丸晴琉Official,441381282,67792202,92065,8694,274168
父亲写的散文诗,小碗面加鸡蛋,65713147,67602790,117631,10705,259166
【GAI周延】此生无悔入《华夏》-高燃版,广东共青团,330383888,67574132,112766,4377,257457
你肯定不信这是虚拟歌姬！赤羽最新主打歌「404 Not Found」抢先听！,星尘Official,15817819,69376404,51935,7221,256248
【周深】生日直播左手指月啊啊啊啊啊啊啊！,soufficule,7221912,69413393,163309,1797,250282
人民日报MV《我爱你中国》,哔哩小红旗,86335477,69054573,124749,4008,249736
一首歌唱出中国70年风雨历程《这就是中国》洛天依、言和、龙牙原创曲,初心社米库喵,25666164,69132126,57663,9082,237191
把《野狼disco》和《芒种》融合，毫无违和感【果奶mix】,穗乃果奶,9405678,67749079,89798,6190,227711
