title,author,uid,aid,play,coins,pts
102位UP主花式演绎《我和我的祖国》,哔哩哔哩弹幕网,8047632,68818070,5474046,705940,9786730
【原创】00后半年呕心沥血震撼大作《心》,陌然MajorC,16437668,67605913,2262960,545907,8861953
【某幻/老番茄】最强脱发王,老番茄,546195,67439251,4026769,462773,7306517
东北第一狠人孙红雷领衔极限男人帮版《野狼disco》，什么水平？,董润祺,10977842,66892552,5242793,175554,4172889
大悲咒 (高音质悦耳版) (珍藏精选版),卧龙寺,258457966,63812725,1402457,62402,3795211
网易云看到的这个神级MV简直震撼到了歌曲名Cymatics,骑猪专业户,181051265,54819056,1230567,32706,2909604
【音阙诗听/赵方婧】芒种，一想到你我就……,音阙诗听,55775966,64186665,4425815,76957,2828315
日语版《芒种》翻唱【花丸晴琉/花寄女生宿舍】,花丸晴琉Official,441381282,67792202,1186788,114456,2774458
the real suger baby已知最高画质,一嗷垚,30194033,45031807,1668017,21946,2492512
用《芒种》的伴奏唱《光年之外》，收获耳朵的双重惊艳！【池年】,池年,2341174,65793304,829059,87339,2477340
油管转发300万视频：两小孩用口技还原小马丁的animals,总于在油管上找到了!,安吾の万年筆,400332033,64812845,1511718,40453,2402472
父亲写的散文诗,小碗面加鸡蛋,65713147,67602790,1366801,129346,2226361
教你如何6分钟听完B站这十年最火的18首神曲！,杨可爱Ukulele,249608727,65272624,853377,110530,2216669
【周董新歌《窝窝头》】2019暖心之作 喝了爷爷泡的茶 来一口妈妈的窝窝头(手动滑稽),取名困难的y仔,20695565,65838431,2099151,119135,2174045
【山新&图特哈蒙】东北府&罗小白《晚安喵》,山新,14082,66928370,1012185,97249,2135548
【古琴X筝X琵琶X笛箫X鼓】《长安十二时辰幻想曲》清平乐魔改 唐代装束X铠甲复原,古琴诊所,10128411,66556493,515234,86531,2067832
【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,BML制作指挥部,403748305,68736420,818665,77026,2039996
与你坠入爱河，我已情不自禁,JessandGabriel,55419866,68223667,1621994,27903,2012309
【GAI周延】此生无悔入《华夏》-高燃版,广东共青团,330383888,67574132,1121869,40738,1985838
一想到你我就了，《芒种》rap,丁继元xx,365682141,65295160,852227,85416,1903586
把《野狼disco》和《芒种》融合，毫无违和感【果奶mix】,穗乃果奶,9405678,67749079,982617,64935,1842569
生まれた意味などなかった。 / まふまふ,Mafumafu_Channel,387994725,65921336,545446,55112,1807706
【红石音乐】芒种,吾名加大,86874547,66745117,817076,92525,1805746
历经半年，反复修改！ 只为这四分钟的完美！！！,色匠啦,160094748,64683837,661436,77536,1766131
日语版《说好不哭》翻唱【鹿乃/花寄女生宿舍】,鹿乃ちゃん,316381099,68746541,700332,77519,1753811
你 是 我 的 猫,JE小張,12302434,64904567,537886,59563,1743050
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,耳朵听了能怀孕,78110942,56920510,1022975,48220,1720421
【超燃国风曲】超梦令·全站阵容最豪华的合唱曲？【超梦计划】,超梦计划,435987249,67465607,599676,49087,1534142
!,AR-32763,4694544,63789384,816409,11917,1496757
年少有为魔改日语版 【沙雕歌词警告】,A路人,391679,66303882,711226,65900,1446477
【Bad Guy】duh～这可能是我听过最独特的翻唱,半盒米饭,344146963,56730951,800620,11321,1421756
