title,author,uid,aid,play,coins,pts
【全明星rap】精舞门  进来嗨就完事了,倒悬的橘子,40966108,69044720,897943,82060,1755889
我是你爹,枪弹轨迹,515993,69045071,1275347,39671,1504953
【派大星】我李云龙什么诗词接不上？,浅初阳,328371739,69236782,479361,34279,914088
【派大星的独白】一个关于正常人的故事,洛温阿特金森,30222764,60731116,317852,25001,771913
电视剧《中华大当家》——京城料理对决篇,泽野螳螂,398510,69342487,228602,41777,681039
【爱情公寓rap】张伟：你是软蛋 他是淫贼 我是穷鬼,红豆稀饭中,250648682,67749327,315736,15903,590044
【韩美娟】野狼disco,吃素的狮子,808171,68888354,321234,8866,502146
闹太套的真正版本！,OELoop,6171645,67432049,209339,14577,470381
【全明星】芒种,潮汕好男人,19071708,65408651,311697,7301,445641
【卢本伟主演】头号玩家！第二集：卢本伟身陷九九八十一难，能否通关？,哦呼w,59905809,67530671,197907,20657,420816
【吕秀才】差不多书生,远远队长,14059441,69260734,282546,14932,408696
【芒种】化学版：进来挑战一下？,-De-lighty-,303707624,67655026,174353,5623,397661
【妻管严鬼混】对不起老婆，我昨晚又出去鬼混了！,约谈人参,9117212,68864754,130565,7839,367244
【哲学】说好不♂哭,王思妇丶,2192108,69035850,200739,12864,358129
【川普】我为祖国当卧底（高能泪目）,AB鲜,281149281,54802112,266688,6588,348454
谁tm买小米？,点点唐He,268514192,68981125,262627,2754,304953
【赌怪单曲】来一波番茄连招！,冰绎,6249909,67403858,121327,9392,298780
【华农兄弟】一烤竹鼠我就口水直流【芒种】,还有一天就放假了,7792521,66240119,153764,10276,297875
【赵本山】野狼disco,浅笑安然呐,69205685,66849986,175131,7936,295024
【装机猿】我的新机 唱 RAP 装机,鬼畜↑可乐♂,2621902,69338478,157892,11686,276642
【蔡徐坤】芒种,高三泡,40214206,65790846,178666,4296,263726
【川普】鬼灭之刃！川之呼吸 壹之型 精忠报国！,宇智波悠云,104550909,69279561,114552,7748,257760
【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,小可儿,185546,19390801,182638,5180,255506
油管上一个亿的特朗普的鬼畜，xswl。,一只甜柠檬呀,410471599,51532753,178924,1851,252603
【泠鸢rap】一人我喝奶醉,圣剑少女の爱,8580108,67661207,135087,5167,249845
【名场面】茄子被刀记,墨菲potato,5938236,69162951,188087,3424,247943
【沙雕广告】阻力健累人鞋,白勺啊达,5260378,69044195,107779,5683,229292
我们研究了一下 这可能是《芒种》最初原版,鸡鸡·夫斯基,548824,66839997,134821,4043,218835
【全明星】野狼disco,铁盒里的我,16973851,69116615,136077,5896,217950
【岳不群】我的祖国就是牛,傲视在俗世上,8981370,69472939,79025,19141,214834
【卢本伟主演】-死侍 全程高能骚话不断,刘泽秀V,21951780,67701855,136079,3378,213603
【面筋哥】野筋disco（多明星助阵）,睿智君弹皮筋,82516016,69216906,187335,3115,211246
【茄子】iPhone 来电铃声白给加强版,三维弹球,3130947,69406750,76452,8509,208313
【爱情公寓VS家有儿女】我才是对子之王！,阿Test,6516752,66539761,83365,7718,194641
【华农兄弟】竹鼠竹鼠，你为何总是中暑？【野狼Disco】,小猪P_,2283296,66517529,103208,6443,192054
【洗脑循环】最终鬼畜奥利给，一次给个够,小古君,1375214,69080181,106982,3915,181009
(野狼Disco)赌怪高能踩点rap,哆魔熊,9863222,67819337,86957,4890,180289
人人都骂孙笑川，人人都是孙笑川,你爸知道吗,2884981,67300373,117525,3503,180041
【喵内】猛男disco！喵内第一猛男衔领极限猛男版《野狼disco》,莫名的蓝移,35684503,67232903,76189,5804,178610
我整个人都Fu*k了！！,TØm,7980111,4864032,111444,1746,178223
【章鱼哥的歌】我是章鱼哥，一个未被发现的天才。,达君-DJTatsuo,938014,66917821,70940,4403,176305
【JOJO的奇妙物语】DIO的恋爱循环,茶荼猹,24318342,67530567,61131,4536,172019
《仙剑皮侠传》第十二集-PDD大司马旭旭宝宝包子王佩游乐王子孙亚龙马飞飞,山海zoom,213216169,69487176,100551,8094,170946
【枪声音乐】全站最好听的《芒种》守望版枪声音乐（误）,岛田家的败家子,40524713,69197258,101911,4412,168186
【五五开】穷开挂,茶几君梦二,51766,18193325,109325,2382,165879
【卢本伟】芒种 都是我的错（泪目）,爱学习的人,6893742,65155454,107809,2302,157745
你爹是我儿,采紫葳的凌霄子,20615621,69287807,101910,1703,150669
8848新科娘手机,夜雨星繁y,39422678,69121669,85353,2232,149961
【五五开】滚去学习！,碧天蓝钻,7275647,67405968,67673,3953,149806
【哲学】苏卡不列♂,无色牛奶,4156732,69296291,77929,2688,149647
芒种 全站最好听的枪声音乐（误）,bili哔哩-浪浪,399102956,68499269,73000,4567,146248
【全明星Rap】黑喂狗！,伊丽莎白鼠,375375,3327562,85740,2381,135534
【全明星】我是练习鬼畜两年半的电音之王,天真的小马,47699114,51001926,62955,3139,133936
【派大星接电话全明星】——没有我李云龙接不了的电话！没有我李云龙对不了的嘴型！,可靠de伏特加,50844167,58024319,78278,2312,132186
【循环向】跟着雷总摇起来！Are you OK！,Mr.Lemon,609687,2271112,88703,2028,132184
【章鱼哥】芒种 (绝对踩点节奏),卧室菌,76801976,66149539,61509,3047,131127
【洪世贤】渣狼disco-一个渣男的心路历程,蟑螂侠OL,3253385,67724066,67861,3860,130884
【剑网三】用一首芒种黑遍全门派,花谷云师弟,7824567,69214013,76243,2502,122486
每天一遍，走出道德绑架,白熊ONEヽ,25333161,60194806,67433,2521,120559
【全明星rap】山寨机disco,猫店,24314825,68903751,73613,2541,120089
【全明星】野狼disco,痒局长,322892,67437580,68015,2445,116528
【共和国勋章获得者】说好不哭，却已泪目,珊小糊,284215961,68371691,95481,2266,113843
华农兄弟和山药踢树踢出《极乐净土》，内有炫目慎重点入,小海鱼丶,24909251,69317655,106903,566,111684
说好不哭 我是你爹,混音师水月,9880411,69474058,111829,194,111134
【装机猿】这是瞧谁家境贫寒不起呢！,黑猫的泪水,111161461,69144334,93074,1640,110000
【电音单曲】卢本伟牛逼！！！,一咸菊菊,26311441,17449594,58689,2086,106523
华农兄弟：每天回家都会看到我竹鼠在装死,Myoisia,1416447,68463602,72758,3205,101643
【JOJO】rero出了五部处刑曲,矢木_,333672728,69343637,59421,646,101280
【Hanser鬼畜】滴滴～奶粉味婴儿车发车啦！,布偶Seph,52834280,67456359,45346,2404,101145
【思念是一种病】川建国感慨祖国70周年,奥内豆腐,241811058,69338045,69756,1947,96444
【韩美娟】我也可以是念诗之王！【改革春风吹满地】,两只八哥鸟,222978818,67320998,77026,764,95230
【川普】《好日子》为祖国母亲庆生,统菊长Fy,21383608,68903376,62375,1974,94980
【李云龙】峥嵘重现 盛世如愿（高能泪目）,吸鼠山庄,197293091,69252875,50727,3554,93383
【罗小黑鬼畜】东北虎：以后我们就是哥们了,原来是克酱呀呀,15534451,67232501,47174,2557,92526
【朱一旦rap】鉴表专家(原创BGM),红色激情,25422790,68936737,72429,1334,92224
轮到沙雕勇者给你洗脑了,瞬间爆炸型LowSing,1770706,69205916,72241,832,90678
【明日方舟】九九八十一（燃燃燃！！）,兰六一,1925741,67577524,31901,2967,89331
【央视段子手】朱广权：再用一首rap把你征服！,鋃月,2827946,66622423,44484,1839,87261
【鬼畜全明星】当我们过气老去，是否还有人记得我们？,惜缘、过去,159122,68479635,32477,3028,87254
喵内~喵内~喵内~,九条可怜,2385744,54570490,52272,865,87044
主播真会玩鬼畜篇01：我是全英雄联盟最骚的骚猪!,起小点是大腿,1565155,4606803,66532,969,84939
韩美娟竟然上过春晚！还跳舞了?,夜深风轻_,437185219,67377467,57276,1569,81617
【韩美娟】记得双击么么哒～,昔日友人,1706344,66587133,64150,777,81472
Van_Z,59式娘,85957836,34477246,86852,30,81036
【卢本伟开学】全校唯一男同学被美艳学姐疯狂骚扰，每天苦不堪言，放学都是扶墙而行,推背兔の,96070394,66466065,42640,1637,81008
李云龙：打仗真他娘的有意思,树深时见鹿dear,1398957,9199431,60248,807,78994
【广告鬼畜】这次轮到小胖了！,漏水房屋,453498112,66731007,22701,2323,78862
【神医RAP】我还治不死你？,点滴菌,102885422,12012048,52647,913,78759
【PVZ】僵尸博士汤姆猫,川先僧sunami,16544864,68998916,38870,1849,77846
【卡姆】8848烂梗王手机,保加利亚烂梗王,10895253,69392471,67937,997,77273
【JOJOの奇妙高音】青JO高原,冰攻厂BeSo,9068441,66714362,33498,2232,75994
窝窝头，一块钱四个,热心网友小车神,15458320,64655828,61660,634,74986
【节奏已100%准确】大祥哥教你敲出一首无人区,有信仰的CCJ,133513716,69266016,65431,1253,72239
【李云龙】曹操,伪心的小浩子,51992866,69092658,42497,2731,72052
【卢本伟】重要的是”得de得“的节奏感,字最那,297334996,69008474,48248,1208,70597
【王境泽】乱世巨星,Ryuuuuuuu,450084,22444246,53804,427,70261
【8848】诸葛村夫骂腔代言8848粗鄙手机,你敢用吗?,K-洛克,3410461,67358612,34016,1416,69703
【鬼畜方舟】卢天使大战梅蔡虚坤,特笑师,2209180,69156830,37781,1393,69496
【赌怪史诗级rap】慈善disco,五月Rambo,11758387,67909743,28362,2257,68908
【小明&老王】此物天下绝响,此物天下绝响,8679425,3037947,41386,1427,68140
