title,author,uid,aid,play,coins,pts
【全明星rap】野狼disco 最骚版本,倒悬的橘子,40966108,68740307,1570527,103661,2442598
我是你爹,枪弹轨迹,515993,69045071,1434165,43580,1603734
【派大星的独白】一个关于正常人的故事,洛温阿特金森,30222764,60731116,607590,51130,1416649
【妻管严鬼混】对不起老婆，我昨晚又出去鬼混了！,约谈人参,9117212,68864754,535214,31942,1221454
【韩美娟】野狼disco,吃素的狮子,808171,68888354,701947,21373,856118
芒种 全站最好听的枪声音乐（误）,bili哔哩-浪浪,399102956,68499269,496586,37890,810758
【赵本山】野狼disco,浅笑安然呐,69205685,66849986,465090,23729,723863
【哲学】说好不♂哭,王思妇丶,2192108,69035850,364407,35127,706079
【爱情公寓rap】张伟：你是软蛋 他是淫贼 我是穷鬼,红豆稀饭中,250648682,67749327,376216,15300,615308
【全明星】芒种,潮汕好男人,19071708,65408651,401298,13119,598263
我的名字叫赌怪!,OELoop,6171645,63206112,348562,15669,585419
从现在开始这里叫做卢本伟电音节,小可儿,185546,66758443,261412,17078,575738
【派大星】我李云龙什么诗词接不上？,浅初阳,328371739,69236782,271541,20881,568378
【川普】我为祖国当卧底（高能泪目）,AB鲜,281149281,54802112,418568,10666,529532
【蔡徐坤】芒种,高三泡,40214206,65790846,367270,9737,526720
【华农兄弟】一烤竹鼠我就口水直流【芒种】,还有一天就放假了,7792521,66240119,280583,19115,522320
我们研究了一下 这可能是《芒种》最初原版,鸡鸡·夫斯基,548824,66839997,309199,10978,490816
【奥巴马×川普】野狼disco,茶几君梦二,51766,68553279,271625,13395,467437
【卢本伟主演】头号玩家！第二集：卢本伟身陷九九八十一难，能否通关？,哦呼w,59905809,67530671,230429,20413,463604
【爱情公寓VS家有儿女】我才是对子之王！,阿Test,6516752,66539761,181199,19325,426555
【章鱼哥的歌】我是章鱼哥，一个未被发现的天才。,达君-DJTatsuo,938014,66917821,167757,11587,426293
华农兄弟：每天回家都会看到我竹鼠在装死,Myoisia,1416447,68463602,301411,14150,420396
【全明星rap】山寨机disco,猫店,24314825,68903751,243694,11888,412983
谁tm买小米？,点点唐He,268514192,68981125,337622,4532,393462
油管上一个亿的特朗普的鬼畜，xswl。,一只甜柠檬呀,410471599,51532753,293991,3192,384805
【华农兄弟】竹鼠竹鼠，你为何总是中暑？【野狼Disco】,小猪P_,2283296,66517529,205748,13587,375485
(野狼Disco)赌怪高能踩点rap,哆魔熊,9863222,67819337,187946,10876,363506
【喵内】猛男disco！喵内第一猛男衔领极限猛男版《野狼disco》,莫名的蓝移,35684503,67232903,150612,11812,355733
【鬼畜全明星】当我们过气老去，是否还有人记得我们？,惜缘、过去,159122,68479635,135791,15849,355726
【赌怪单曲】来一波番茄连招！,冰绎,6249909,67403858,143402,10228,335248
【全明星】野狼disco,痒局长,322892,67437580,168676,6092,287762
【泠鸢rap】一人我喝奶醉,圣剑少女の爱,8580108,67661207,170775,5527,280909
人人都骂孙笑川，人人都是孙笑川,你爸知道吗,2884981,67300373,190211,5875,275035
【天使降临到我身边】喵内话,文临z,296616625,68437510,110347,8572,271421
氵每  纟帛  ♫  鱼包  孛力,TØm,7980111,66539236,130579,5179,267531
【芒种】化学版：进来挑战一下？,-De-lighty-,303707624,67655026,113870,3523,265358
【卢本伟】芒种 都是我的错（泪目）,爱学习的人,6893742,65155454,197379,4403,263227
【卢本伟主演】-死侍 全程高能骚话不断,刘泽秀V,21951780,67701855,174485,3914,262614
【章鱼哥】芒种 (绝对踩点节奏),卧室菌,76801976,66149539,118692,6874,261962
每天一遍，走出道德绑架,白熊ONEヽ,25333161,60194806,144285,5684,260749
【马云】玫瑰花的葬礼,今天该你发红包了,354561913,68618130,190560,7491,256372
【毛人风】我全都要！我是主播！我是会长！我还要洗白,苍燃老贼,4921875,68467100,219730,6821,253337
【卢本伟开学】全校唯一男同学被美艳学姐疯狂骚扰，每天苦不堪言，放学都是扶墙而行,推背兔の,96070394,66466065,117814,6083,252789
【吕秀才】差不多书生,远远队长,14059441,69260734,155046,9530,247203
【朱一旦rap】鉴表专家(原创BGM),红色激情,25422790,68936737,192868,4484,244232
【名场面】茄子被刀记,墨菲potato,5938236,69162951,182212,3502,243548
【全明星】我是练习鬼畜两年半的电音之王,天真的小马,47699114,51001926,106087,5793,238410
【LOL】冠世一战,Yx小斯,2407230,68491728,167966,6585,235520
【明日方舟】旋转吧！罗德岛,真岛Kulian,4320542,68618787,101135,5856,234576
【五五开】滚去学习！,碧天蓝钻,7275647,67405968,101471,5983,233999
【循环向】跟着雷总摇起来！Are you OK！,Mr.Lemon,609687,2271112,157711,3781,230125
【全明星】野狼disco,铁盒里的我,16973851,69116615,129706,6853,225754
【全明星Rap】黑喂狗！,伊丽莎白鼠,375375,3327562,140189,3900,218588
【装机猿RAP】电脑是被你气坏的吧？那你能帮我吗,鬼畜↑可乐♂,2621902,66497382,115178,6195,217942
