title,author,uid,aid,play,coins,pts
【全明星rap】精舞门  进来嗨就完事了,倒悬的橘子,40966108,69044720,301112,24679,711577
电视剧《中华大当家》——京城料理对决篇,泽野螳螂,398510,69342487,228602,41777,681039
我是你爹,枪弹轨迹,515993,69045071,270833,9066,464967
【派大星】我李云龙什么诗词接不上？,浅初阳,328371739,69236782,207820,13398,417395
【爱情公寓rap】张伟：你是软蛋 他是淫贼 我是穷鬼,红豆稀饭中,250648682,67749327,188371,11027,365076
【派大星的独白】一个关于正常人的故事,洛温阿特金森,30222764,60731116,129370,10287,328261
请 带 上 水 泥 ！,点点唐He,268514192,69445867,148199,13124,284052
【芒种】化学版：进来挑战一下？,-De-lighty-,303707624,67655026,107031,3460,257355
【岳不群】我的祖国就是牛,傲视在俗世上,8981370,69472939,79025,19141,214834
【全明星】芒种,潮汕好男人,19071708,65408651,152289,3057,214740
【韩美娟】野狼disco,吃素的狮子,808171,68888354,127388,3387,210800
【茄子】iPhone 来电铃声白给加强版,三维弹球,3130947,69406750,76452,8509,208313
【川普】鬼灭之刃！川之呼吸 壹之型 精忠报国！,宇智波悠云,104550909,69279561,91067,5949,197069
【吕秀才】差不多书生,远远队长,14059441,69260734,127500,5402,187779
【川普】我为祖国当卧底（高能泪目）,AB鲜,281149281,54802112,123538,3090,176920
《仙剑皮侠传》第十二集-PDD大司马旭旭宝宝包子王佩游乐王子孙亚龙马飞飞,山海zoom,213216169,69487176,100551,8094,170946
【卢本伟主演】头号玩家！第二集：卢本伟身陷九九八十一难，能否通关？,哦呼w,59905809,67530671,73589,7480,157535
【妻管严鬼混】对不起老婆，我昨晚又出去鬼混了！,约谈人参,9117212,68864754,45983,2971,136845
【装机猿】我的新机 唱 RAP 装机,鬼畜↑可乐♂,2621902,69338478,80152,5194,135594
【赵本山】野狼disco,浅笑安然呐,69205685,66849986,73001,3405,128297
闹太套的真正版本！,OELoop,6171645,67432049,56992,3481,124193
【泠鸢rap】一人我喝奶醉,圣剑少女の爱,8580108,67661207,62054,2564,119230
油管上一个亿的特朗普的鬼畜，xswl。,一只甜柠檬呀,410471599,51532753,75655,781,112609
说好不哭 我是你爹,混音师水月,9880411,69474058,111829,194,111134
【卢本伟主演】-死侍 全程高能骚话不断,刘泽秀V,21951780,67701855,67058,1835,105637
【华农兄弟】一烤竹鼠我就口水直流【芒种】,还有一天就放假了,7792521,66240119,53605,3413,103792
【赌怪单曲】来一波番茄连招！,冰绎,6249909,67403858,40673,3084,96232
【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,小可儿,185546,19390801,67063,1852,96167
【面筋哥】野筋disco（多明星助阵）,睿智君弹皮筋,82516016,69216906,80202,1171,91449
【沙雕广告】阻力健累人鞋,白勺啊达,5260378,69044195,42299,2058,90255
【思念是一种病】川建国感慨祖国70周年,奥内豆腐,241811058,69338045,64790,1770,89446
【爱情公寓VS家有儿女】我才是对子之王！,阿Test,6516752,66539761,34379,3066,82129
我们研究了一下 这可能是《芒种》最初原版,鸡鸡·夫斯基,548824,66839997,50329,1462,80589
【洪世贤】渣狼disco-一个渣男的心路历程,蟑螂侠OL,3253385,67724066,39738,2415,79416
【卡姆】8848烂梗王手机,保加利亚烂梗王,10895253,69392471,67321,968,76298
【JOJO】rero出了五部处刑曲,矢木_,333672728,69343637,43862,460,74185
【韩美娟】我也可以是念诗之王！【改革春风吹满地】,两只八哥鸟,222978818,67320998,60396,565,74009
