title,author,uid,aid,play,coins,pts
【派大星的独白】一个关于正常人的故事,洛温阿特金森,30222764,60731116,3372061,306482,6683753
【全明星】芒种,潮汕好男人,19071708,65408651,4348380,227256,5285475
【华农兄弟】一烤竹鼠我就口水直流【芒种】,还有一天就放假了,7792521,66240119,3134397,322760,5042931
【卢本伟主演】头号玩家！第二集：卢本伟身陷九九八十一难，能否通关？,哦呼w,59905809,67530671,2636857,363366,4938399
【蔡徐坤】芒种,高三泡,40214206,65790846,3252071,125406,3723016
【韩美娟】记得双击么么哒～,昔日友人,1706344,66587133,3541069,82095,3159819
我们研究了一下 这可能是《芒种》最初原版,鸡鸡·夫斯基,548824,66839997,2493818,111926,2978244
我的名字叫赌怪!,OELoop,6171645,63206112,2172479,115743,2905053
【全明星rap】野狼disco 最骚版本,倒悬的橘子,40966108,68740307,1799445,116454,2770066
【爱情公寓VS家有儿女】我才是对子之王！,阿Test,6516752,66539761,1292136,161065,2766145
【章鱼哥】芒种 (绝对踩点节奏),卧室菌,76801976,66149539,1451903,105010,2746568
【爱情公寓rap】张伟：你是软蛋 他是淫贼 我是穷鬼,红豆稀饭中,250648682,67749327,2129871,118856,2629819
从现在开始这里叫做卢本伟电音节,小可儿,185546,66758443,1300122,81724,2345904
【赵本山】野狼disco,浅笑安然呐,69205685,66849986,1735651,82608,1982261
氵每  纟帛  ♫  鱼包  孛力,TØm,7980111,66539236,976830,50167,1880853
我是你爹,枪弹轨迹,515993,69045071,1704998,52646,1870368
【全明星】芒种,柴可夫司徒,93890857,66373606,838566,77981,1825760
【JOJOの奇妙高音】青JO高原,冰攻厂BeSo,9068441,66714362,651956,82114,1809545
【李云龙】芒种,采紫葳的凌霄子,20615621,65700091,1153292,83327,1782021
【韩美娟rap】寄个烧鸡么么哒,红色激情,25422790,68065973,1805144,48098,1751932
【卢本伟】芒种 都是我的错（泪目）,爱学习的人,6893742,65155454,1817699,46103,1746918
【华农兄弟】竹鼠竹鼠，你为何总是中暑？【野狼Disco】,小猪P_,2283296,66517529,1610299,80229,1746240
【章鱼哥的歌】我是章鱼哥，一个未被发现的天才。,达君-DJTatsuo,938014,66917821,767897,52172,1735134
【泠鸢rap】一人我喝奶醉,圣剑少女の爱,8580108,67661207,1036031,45095,1617200
【卢本伟开学】全校唯一男同学被美艳学姐疯狂骚扰，每天苦不堪言，放学都是扶墙而行,推背兔の,96070394,66466065,878195,54534,1602883
(野狼Disco)赌怪高能踩点rap,哆魔熊,9863222,67819337,930077,67491,1563563
【芒种】化学版：进来挑战一下？,-De-lighty-,303707624,67655026,721699,25352,1496866
【装机猿RAP】电脑是被你气坏的吧？那你能帮我吗,鬼畜↑可乐♂,2621902,66497382,841972,58893,1465640
油管上一个亿的特朗普的鬼畜，xswl。,一只甜柠檬呀,410471599,51532753,1392689,15120,1400866
【赌怪单曲】来一波番茄连招！,冰绎,6249909,67403858,641111,48143,1384814
【明日方舟】↖阿↗普↘鲁↙派↗,可靠de伏特加,50844167,66740852,568913,36638,1323715
【赵本山】杠精必死,天真的小马,47699114,63567839,959592,51741,1322316
【妻管严鬼混】对不起老婆，我昨晚又出去鬼混了！,约谈人参,9117212,68864754,581197,34913,1312342
窝窝头，一块钱四个,热心网友小车神,15458320,64655828,1457690,22387,1286009
【派大星】我李云龙什么电话没接过？,浅初阳,328371739,67767349,764384,43861,1246097
【全明星】野狼disco,痒局长,322892,67437580,801163,36864,1227927
【中国功夫】鲲鲲有神功,茶几君梦二,51766,66325689,724940,31653,1226254
【经典老番】这窝窝头多少钱一个？,白熊ONEヽ,25333161,65391275,906558,32153,1212986
【哲学】芒♂种,王思妇丶,2192108,66785055,690538,48868,1187695
【川普】我为祖国当卧底（高能泪目）,AB鲜,281149281,54802112,1288621,31319,1173248
【喵内】猛男disco！喵内第一猛男衔领极限猛男版《野狼disco》,莫名的蓝移,35684503,67232903,508152,38034,1107591
【芒种】你知道什么是 哦~哦~哦 吗,点点唐He,268514192,65865814,682986,31411,1073440
【罗小黑鬼畜】东北虎：以后我们就是哥们了,原来是克酱呀呀,15534451,67232501,691627,32976,1058776
调音师的准确率已达100%,球球特别大,40489639,64385125,544022,29485,1000004
【鬼畜全明星】当我们过气老去，是否还有人记得我们？,惜缘、过去,159122,68479635,321898,50896,997116
赌怪献唱！吃老子超级加倍！！！,猫店,24314825,65811228,689902,25725,981164
【Hanser鬼畜】滴滴～奶粉味婴儿车发车啦！,布偶Seph,52834280,67456359,418232,27439,969819
【韩美娟】野狼disco,吃素的狮子,808171,68888354,829335,24760,958320
【Minecraft】用我的世界奏一曲超好听的《芒种》,大不6仙,12724008,66451559,263425,29128,945796
【窝窝头鬼畜】窝头循环——花泽香菜对不起，嘿嘿！,醉饮千觞,458866,65761746,667587,19427,932259
前方高能 小六唢呐吹一首《芒种》,穗乃果奶,9405678,66208590,761566,30123,902508
【洪世贤】渣狼disco-一个渣男的心路历程,蟑螂侠OL,3253385,67724066,513038,30198,888208
芒种 全站最好听的枪声音乐（误）,bili哔哩-浪浪,399102956,68499269,520880,39202,886138
【全明星Rap】黑喂狗！,伊丽莎白鼠,375375,3327562,637519,18645,884799
【五五开】滚去学习！,碧天蓝钻,7275647,67405968,426201,23338,884500
【卢本伟主演】-死侍 全程高能骚话不断,刘泽秀V,21951780,67701855,688750,17944,872861
【循环向】跟着雷总摇起来！Are you OK！,Mr.Lemon,609687,2271112,636300,15957,844535
茄子和他的朋友们用桌子演奏开火车的bgm,0GreatOcean0,13248198,66773707,391138,42748,839520
《蜘蛛侠1》卢本侠（上）,酸奶木瓜,424090305,66702666,443882,32571,835838
【芦苇公寓】卢本伟骚猪大司马真人CS（完整版）,万花筒肚脐眼,313465699,65333244,544292,21461,829806
【明学名场面】店长黄晓明大战大厨卢本伟,超音速君,57676402,65442595,472377,23106,823610
【秦国配音】8848丢人手机（5期）,拖更的青橙,2072688,67040119,422618,30095,815367
喵内~喵内~喵内~,九条可怜,2385744,54570490,506759,8543,813306
【佛说】我向佛祖许愿，佛说不让恰烂钱,黑猫的泪水,111161461,66259854,422810,24421,812782
【全明星】以父之名 百万调音,幽默官,48503385,65435437,407627,33258,811346
【火花全明星】142秒听完鬼畜区50句粗鄙之语第四季！,火花工作室,170654598,63878941,368430,25688,809362
【赌怪史诗级rap】慈善disco,五月Rambo,11758387,67909743,310148,30519,793394
【明日方舟】九九八十一（燃燃燃！！）,兰六一,1925741,67577524,238906,30155,791142
【电音单曲】卢本伟牛逼！！！,一咸菊菊,26311441,17449594,598610,14580,790149
【JOJO的奇妙物语】DIO的恋爱循环,茶荼猹,24318342,67530567,285113,19714,778860
【赵本山】Bad Guy,大烩员,24684337,58149114,503328,18485,752694
【特效向】游乐王子vs全明星【上】,豪言の经理,22770727,66115135,560851,17726,723269
人人都骂孙笑川，人人都是孙笑川,你爸知道吗,2884981,67300373,562229,16288,711431
【经典老番】艺术的童话,布洛芬丶,312772023,67926792,248926,42392,699534
【朱一旦】野狼disco,菲林君,14043628,68355286,624698,17607,692545
电视剧《中华大当家》——京城料理对决篇,泽野螳螂,398510,69342487,228602,41777,681039
【央视段子手】朱广权：再用一首rap把你征服！,鋃月,2827946,66622423,355503,16125,676647
【蔡徐坤】野鸡Disco,尽梨了银不了,12945654,67914511,389844,20581,645433
【神医RAP】神医联手，治死方休,在下魔术羊,273974085,62797024,303982,19836,627828
【李云龙】说好不哭,夜雨星繁y,39422678,68071854,490444,25208,624917
【神医RAP】我还治不死你？,点滴菌,102885422,12012048,482556,8553,611328
【足力健】你再骂老人鞋，孙笑川代言,墨菲potato,5938236,66608037,293989,14515,609378
主播真会玩鬼畜篇01：我是全英雄联盟最骚的骚猪!,起小点是大腿,1565155,4606803,501170,7759,606266
韩美娟竟然上过春晚！还跳舞了?,夜深风轻_,437185219,67377467,474557,12525,599848
美娟掏心窝高能rap《美娟心里话》！蝴蝶姑娘给你洗脑 你还不来看吗  啾咪~,赤叶铃,121066364,67084153,558740,6194,595679
【韩美娟rap】有因必有果，你的报应就是我,Mr丶虾仁蒸饺,77849017,66772274,512905,5851,594211
【8848】蔡比手机,栗圆ly,22553659,62860049,393822,7129,588136
【广告鬼畜】这次轮到小胖了！,漏水房屋,453498112,66731007,163022,18013,584547
【鬼畜新世界23】 环太平洋2019,三木刃,11997177,61438509,292674,28225,583091
【马云X马化腾】钱种（一想到钱我就~心头难受）,龙大人不喷火,25911961,66373065,295533,15359,580326
【鸡你太美】水手,超级大杂鱼,23770333,65287125,311821,15825,568148
【冯巩】芒种  一弹到三弦你就噢噢噢噢,焦大仙啊,10769250,66499284,307957,23168,557017
【爱情公寓rap】全《爱情公寓》最骚的子乔！抖腿停不下来！,风云熊,38347595,66839866,314031,10034,545615
【耳光侠】用耳光打出一首芒种，史上最骚耳光侠,无眠菌,280047801,65974673,368826,10802,542701
【马云/马化腾】失钱阵线联盟,小海咸鱼,23058813,63245612,364315,23581,541139
【王境泽】乱世巨星,Ryuuuuuuu,450084,22444246,468771,3976,539418
[亚索]霍元甲，前方沙雕高能，喷饭慎入！！！,快乐君丶,106292204,63029627,288946,20665,528001
【小明&老王】此物天下绝响,此物天下绝响,8679425,3037947,315487,11270,525925
【朱一旦】我是差不多先生，差不多的单身，差不多的见缝插针,非烟客,36726653,68332494,595353,9502,516024
【爱情公寓】一口气全念对,十三Mye,3792124,9505347,496765,6207,513316
